
[00:00:00.000 --> 00:00:01.400]  大家祝福平安
[00:00:01.400 --> 00:00:03.200]  相信每個人都知道
[00:00:03.200 --> 00:00:08.440]  物想退收是一個很寶貴的屬靈傳統
[00:00:08.440 --> 00:00:13.540]  但是我們往往很少會走去物想退收
[00:00:13.540 --> 00:00:18.080]  反而近年我們很多人都會說Me Time
[00:00:18.080 --> 00:00:22.820]  每個人都會走去一些Me Time的時間
[00:00:22.820 --> 00:00:28.120]  因為可能可以令我們離開一些煩擾
[00:00:28.120 --> 00:00:31.040]  一個人原來都可以盡興
[00:00:31.040 --> 00:00:35.000]  沉默看星 聽到月兒呼應
[00:00:35.000 --> 00:00:39.080]  繼而平靜 到放一人之境
[00:00:39.080 --> 00:00:42.540]  嘩!這種感覺多棒
[00:00:42.540 --> 00:00:45.840]  大家也可以更加想像
[00:00:45.840 --> 00:00:50.120]  如果那一刻耶穌一起在
[00:00:50.120 --> 00:00:56.360]  陪你去聽風 看月光
[00:00:56.360 --> 00:00:58.600]  甚至和你有些對話
[00:00:58.600 --> 00:01:01.160]  那一刻多棒
[00:01:01.160 --> 00:01:04.700]  其實在《約翰福音》五章裏面
[00:01:04.700 --> 00:01:07.300]  都有一個一人之境
[00:01:07.300 --> 00:01:10.780]  有一個一個人在的境況
[00:01:10.780 --> 00:01:12.940]  我們一起去再看看
[00:01:12.940 --> 00:01:16.080]  《約翰福音》五章一朝九節
[00:01:16.080 --> 00:01:20.280]  這個人的處境又是怎樣呢?
[00:01:20.280 --> 00:01:23.420]  經文一開始不是提一個人
[00:01:23.420 --> 00:01:30.460]  反而是很詳細地說這個人所在的地方
[00:01:30.460 --> 00:01:33.860]  經文第一節是這樣說的
[00:01:33.860 --> 00:01:38.600]  「這是以後東正猶太人的一個節日
[00:01:38.600 --> 00:01:41.000]  耶穌就上耶路撒冷去
[00:01:41.000 --> 00:01:45.740]  在耶路撒冷靠著陽門有一個寺子
[00:01:45.740 --> 00:01:50.040]  在白蘭話叫做「北士大」
[00:01:50.040 --> 00:01:52.640]  旁邊有五個男子
[00:01:52.640 --> 00:01:55.780]  這裏躺著黑眼的
[00:01:55.780 --> 00:01:58.520]  腐褪的血氣
[00:01:58.520 --> 00:02:02.720]  富幹的許多病人」
[00:02:02.720 --> 00:02:04.900]  「北士大」這個詞
[00:02:04.900 --> 00:02:07.200]  其實是在說這個地方
[00:02:07.200 --> 00:02:12.800]  在耶路撒冷聖殿山東北面的一個小谷
[00:02:12.800 --> 00:02:17.540]  附近是聖殿的陽門
[00:02:17.540 --> 00:02:19.780]  大家聽到這個名字都猜得到
[00:02:19.780 --> 00:02:25.580]  是被那些憲制的羊牛出入的後門
[00:02:25.580 --> 00:02:29.920]  但其實這個名字本身有一個意思
[00:02:29.920 --> 00:02:31.120]  很有意思的
[00:02:31.120 --> 00:02:34.120]  是一個叫「傾流之處」
[00:02:34.120 --> 00:02:36.360]  說到傾流之處
[00:02:36.360 --> 00:02:38.460]  你就會猜到這個詞
[00:02:38.460 --> 00:02:41.600]  就跟它的中文譯名不同
[00:02:41.600 --> 00:02:44.640]  「北士大」完全不同的
[00:02:44.640 --> 00:02:46.200]  是一個相反的
[00:02:46.200 --> 00:02:48.740]  它說的這個谷
[00:02:48.740 --> 00:02:55.240]  其實形勢是一個天然的儲水池
[00:02:55.240 --> 00:02:56.480]  很大的
[00:02:56.480 --> 00:02:58.480]  不小的
[00:02:58.480 --> 00:02:59.980]  其實在當時
[00:02:59.980 --> 00:03:06.220]  在耶路撒冷裏面一個很主要的儲水池
[00:03:06.220 --> 00:03:10.800]  考古發現這個池
[00:03:10.800 --> 00:03:15.140]  好像一個日字的形狀
[00:03:15.140 --> 00:03:17.760]  一個很大的長方形
[00:03:17.760 --> 00:03:21.240]  中間有一個狼子分割了
[00:03:21.240 --> 00:03:23.540]  變成兩個小字
[00:03:23.540 --> 00:03:29.480]  所以就有五個狼子在當中
[00:03:29.480 --> 00:03:34.820]  約翰提到一個讀者
[00:03:34.820 --> 00:03:36.320]  要留意一件事
[00:03:36.320 --> 00:03:41.260]  要用希伯來文去理解「北士大」
[00:03:41.260 --> 00:03:48.200]  原來希伯來文的意思是「憐憫自惡」
[00:03:48.200 --> 00:03:50.660]  所以你明白
[00:03:50.660 --> 00:03:53.700]  在第三節指出
[00:03:53.700 --> 00:03:58.100]  在這裏躺臥了一些黑眼的
[00:03:58.100 --> 00:04:00.240]  腐腿的
[00:04:00.240 --> 00:04:02.540]  血氣枯乾的
[00:04:02.540 --> 00:04:04.840]  有很多病人
[00:04:04.840 --> 00:04:06.180]  在這裏做什麼?
[00:04:06.180 --> 00:04:07.280]  等
[00:04:07.280 --> 00:04:12.580]  等天父傾流出來的那份憐憫
[00:04:12.580 --> 00:04:20.980]  這裏很詳細講到這個人所在之處之後
[00:04:20.980 --> 00:04:25.760]  鏡頭就慢慢放到這個人的身上
[00:04:25.760 --> 00:04:27.700]  在第五節
[00:04:27.700 --> 00:04:31.300]  他沒有講到這個人有什麼病
[00:04:31.300 --> 00:04:33.000]  按照他的回應
[00:04:33.000 --> 00:04:35.140]  你能夠知道
[00:04:35.140 --> 00:04:39.900]  他起碼看得到水洞
[00:04:39.900 --> 00:04:42.940]  又能夠走得遠一點
[00:04:42.940 --> 00:04:46.940]  而且能夠生存這麼多年
[00:04:46.940 --> 00:04:48.920]  所以你應該猜到
[00:04:48.920 --> 00:04:50.580]  他不是黑眼
[00:04:50.580 --> 00:04:51.980]  又不是腐腿
[00:04:51.980 --> 00:04:54.580]  或者血氣枯乾
[00:04:54.580 --> 00:04:57.260]  甚至可以講得清楚一點
[00:04:57.260 --> 00:05:00.060]  他應該不是絕症
[00:05:00.060 --> 00:05:02.260]  或者是重病
[00:05:02.260 --> 00:05:06.160]  事實上經文很特別
[00:05:06.160 --> 00:05:09.700]  他沒有關心過他有什麼病
[00:05:09.700 --> 00:05:12.540]  他只關心他在哪裏
[00:05:12.540 --> 00:05:14.000]  他在哪裏躺臥
[00:05:14.000 --> 00:05:16.380]  在哪裏住的意思
