
[00:00:00.000 --> 00:00:05.080]  今天我們看到創世紀的時候
[00:00:05.080 --> 00:00:10.300]  我們想試試做一些比對研究的工作
[00:00:10.300 --> 00:00:14.600]  我和你分享一個史詩
[00:00:14.600 --> 00:00:18.220]  這個史詩是一個巴比倫的史詩
[00:00:18.220 --> 00:00:22.180]  這個巴比倫史詩叫做《阿達哈斯史詩》
[00:00:22.180 --> 00:00:24.180]  《Adrachasis Epic》
[00:00:24.180 --> 00:00:29.140]  這個是屬於公元前1800年的時間
[00:00:29.140 --> 00:00:31.140]  大概是阿布拉罕的時間
[00:00:31.140 --> 00:00:36.980]  大家記得阿布拉罕是從舊巴比倫的地帶出來的
[00:00:36.980 --> 00:00:39.700]  當時是舊巴比倫的帝國
[00:00:39.700 --> 00:00:42.480]  講到一個王叫做Adrachasis
[00:00:42.480 --> 00:00:44.480]  他的名字的意思
[00:00:44.480 --> 00:00:47.180]  阿達哈斯
[00:00:47.180 --> 00:00:49.180]  就是大有智慧的意思
[00:00:49.180 --> 00:00:51.180]  Exceedingly wise
[00:00:51.180 --> 00:00:52.340]  這個人
[00:00:52.340 --> 00:00:58.580]  有一個藝術家將這個故事畫了畫
[00:00:58.580 --> 00:01:01.400]  這樣就比較容易讓我們了解
[00:01:01.400 --> 00:01:03.400]  到底裡面發生了什麼事
[00:01:03.400 --> 00:01:05.400]  我們讀這個故事的時候
[00:01:05.400 --> 00:01:08.580]  想一想有什麼地方和創世紀相似
[00:01:08.580 --> 00:01:11.380]  有什麼地方和創世紀相似
[00:01:11.380 --> 00:01:13.380]  但是有很大分別
[00:01:13.380 --> 00:01:17.380]  這個《阿達哈斯史詩》
[00:01:17.380 --> 00:01:19.380]  開頭的時候是這樣說的
[00:01:19.380 --> 00:01:24.100]  他說起初地上有男神女神
[00:01:24.100 --> 00:01:27.600]  男神女神不是那些帥哥帥妹
[00:01:27.600 --> 00:01:31.340]  創世之前的眾神官
[00:01:31.340 --> 00:01:33.340]  所以有男神有女神
[00:01:33.340 --> 00:01:36.660]  有一些低等的神
[00:01:36.660 --> 00:01:39.940]  他們要耕作土地才有東西吃
[00:01:39.940 --> 00:01:43.660]  他們想神明會餓
[00:01:43.660 --> 00:01:44.660]  是需要吃東西的
[00:01:44.660 --> 00:01:46.660]  因為有很多苦工要做
[00:01:46.660 --> 00:01:48.660]  所以非常艱辛
