
[00:00:00.000 --> 00:00:02.000]  大家好 大家午安
[00:00:02.000 --> 00:00:06.240]  不知道大家在公寓之後有什麼消遣
[00:00:06.240 --> 00:00:10.740]  我沒得出街 看多了電視劇
[00:00:10.740 --> 00:00:14.800]  發現這個世界各地很多人一放工的時候
[00:00:14.800 --> 00:00:17.660]  都很喜歡去喝兩杯
[00:00:17.660 --> 00:00:21.260]  疫情之下這個情況更加嚴重
[00:00:21.260 --> 00:00:24.600]  我留意到網上顯示
[00:00:24.600 --> 00:00:31.040]  英國、美國、台灣、香港都有關注
[00:00:31.040 --> 00:00:34.720]  疫情之下喝多了的情況
[00:00:34.720 --> 00:00:38.360]  其實說真的 這幾年
[00:00:38.360 --> 00:00:44.000]  朋友和我自己都是這樣 喝多了
[00:00:44.000 --> 00:00:47.500]  甚至去學一下品酒
[00:00:47.500 --> 00:00:54.540]  到底是因為大家壓門撩賴 沒得旅行
[00:00:54.540 --> 00:01:02.140]  還是借酒消愁 逃避現實 遺老送別
[00:01:02.140 --> 00:01:05.740]  我希望大家心中有數
[00:01:05.740 --> 00:01:09.140]  既然大家有一份興趣
[00:01:09.140 --> 00:01:12.540]  不如和大家說說酒吧
[00:01:12.540 --> 00:01:15.540]  要在這裡先提一提
[00:01:15.540 --> 00:01:20.140]  聖經裏面提醒我們不要醉酒
[00:01:20.140 --> 00:01:23.340]  不過是容許我們喝酒的
[00:01:23.340 --> 00:01:26.340]  很多處的經文都有提及
[00:01:26.340 --> 00:01:29.340]  其中有一段很有趣的
[00:01:29.340 --> 00:01:34.140]  就是《約翰福音》二章一至十一節
[00:01:34.140 --> 00:01:36.140]  「迦南婚宴」
[00:01:36.140 --> 00:01:39.540]  有趣之處是在這個婚宴裏面
[00:01:39.540 --> 00:01:43.940]  是「酒吧!先這樣吧!」
[00:01:43.940 --> 00:01:49.540]  事情發生在耶穌見完拿達葉之後的三天
[00:01:49.540 --> 00:01:54.540]  婚宴在耶穌的成長地拿撒勒
[00:01:54.540 --> 00:01:58.540]  北邊的十四里的一個地方
[00:01:58.540 --> 00:02:01.340]  叫做迦南去舉行
[00:02:01.340 --> 00:02:05.540]  耶穌和祂的母親和門徒都獲邀出席
[00:02:05.540 --> 00:02:07.340]  我們其實不太清楚
[00:02:07.340 --> 00:02:11.340]  為什麼這個主人家和耶穌有什麼關係
