
[00:00:00.000 --> 00:00:07.760]  我們又再來另一個部份,就是講到地理和《釋經》有什麼關係
[00:00:07.760 --> 00:00:12.000]  有很多《聖經》的經文,如果你知道地理的時候
[00:00:12.000 --> 00:00:17.200]  那個意義、神學的信息就會更加清楚和更加表明出來
[00:00:17.200 --> 00:00:24.480]  在這裡我給一些經文給大家去嘗試去掌握一下
[00:00:24.480 --> 00:00:31.920]  並且有些地理上的動態可以跟大家解釋
[00:00:31.920 --> 00:00:37.200]  然後看回這些經文的時候,意義就會非常不同
[00:00:37.200 --> 00:00:44.080]  以色列、巴斯坦地是古代世界的中心
[00:00:44.080 --> 00:00:46.080]  Center of the world
[00:00:46.080 --> 00:00:49.120]  《聖經》有些經文是講這件事
[00:00:49.120 --> 00:00:52.160]  地理當然也是講這件事
[00:00:52.160 --> 00:00:55.680]  所以有些概念我們可以嘗試去掌握
[00:00:55.680 --> 00:00:57.680]  以色列有很多地名
[00:00:57.680 --> 00:01:05.120]  不同的人在歷史裡面都會叫以色列這塊地方有不同的名字
[00:01:05.120 --> 00:01:11.120]  有時候叫它以色列、Israel
[00:01:11.120 --> 00:01:14.880]  或者叫它巴斯坦
[00:01:14.880 --> 00:01:16.880]  巴斯坦主要是在第二世紀的時候
[00:01:16.880 --> 00:01:19.840]  羅馬帝國為這塊地起名
[00:01:19.840 --> 00:01:24.480]  用菲利士這個字叫這塊地的名字
[00:01:24.480 --> 00:01:26.480]  叫它巴斯坦
[00:01:26.480 --> 00:01:28.480]  Palestine
[00:01:28.480 --> 00:01:30.480]  之前就是菲利士
[00:01:30.480 --> 00:01:34.880]  所以這個名字就流傳到現在
[00:01:34.880 --> 00:01:36.880]  叫做巴斯坦
[00:01:36.880 --> 00:01:38.880]  Israel, Palestine
[00:01:38.880 --> 00:01:40.880]  有些人會叫它聖地
[00:01:40.880 --> 00:01:42.880]  聖地旅行團
[00:01:42.880 --> 00:01:44.880]  聖地學習團
[00:01:44.880 --> 00:01:46.880]  去聖地旅遊
[00:01:46.880 --> 00:01:48.880]  叫做Holy Land
[00:01:48.880 --> 00:01:50.880]  這個有宗教性的意思
[00:01:50.880 --> 00:01:56.160]  之前那兩個就是比較政治性的名稱
[00:01:56.160 --> 00:01:58.160]  另一個名稱就是聖地
[00:01:58.160 --> 00:02:00.160]  Holy Land
[00:02:00.160 --> 00:02:02.160]  為什麼呢
[00:02:02.160 --> 00:02:04.160]  因為在耶路撒冷
[00:02:04.160 --> 00:02:13.200]  是世界上三大獨神宗教信仰的基地
[00:02:13.200 --> 00:02:17.200]  三個最大的獨神宗教
[00:02:17.200 --> 00:02:19.200]  Monotheism
[00:02:19.200 --> 00:02:21.200]  Monotheistic Faith
[00:02:21.200 --> 00:02:25.200]  都是以耶路撒冷為它的發源地
[00:02:25.200 --> 00:02:27.200]  或者基地
[00:02:27.200 --> 00:02:29.200]  哪三個呢
[00:02:29.200 --> 00:02:31.200]  基督教當然
[00:02:31.200 --> 00:02:33.200]  舊約新約
[00:02:33.200 --> 00:02:35.200]  整個的新舊約傳說
[00:02:35.200 --> 00:02:37.200]  基督教Christianity
[00:02:37.200 --> 00:02:41.200]  當然就是以耶路撒冷為它的基地
[00:02:41.200 --> 00:02:43.200]  猶太教
[00:02:43.200 --> 00:02:45.200]  只是認定舊約
[00:02:45.200 --> 00:02:47.200]  所謂希伯來聖經
[00:02:47.200 --> 00:02:49.200]  是他們的經典
[00:02:49.200 --> 00:02:51.200]  是他們的正典
[00:02:51.200 --> 00:02:53.200]  對猶太教來說
[00:02:53.200 --> 00:02:55.200]  這個耶路撒冷
