
[00:00:00.000 --> 00:00:04.840]  Sawick Gorge就是其中一個中央山區
[00:00:04.840 --> 00:00:08.080]  下到西邊的其中一個山谷
[00:00:08.080 --> 00:00:10.880]  叫做Sawick Valley
[00:00:10.880 --> 00:00:12.880]  在哪裏呢?
[00:00:12.880 --> 00:00:16.560]  你見到我點了出來
[00:00:16.560 --> 00:00:18.560]  但我只能點一點
[00:00:18.560 --> 00:00:20.560]  一個谷當然不是一點
[00:00:20.560 --> 00:00:22.560]  Sawick Valley
[00:00:22.560 --> 00:00:24.560]  你見到這裏有一個山谷
[00:00:24.560 --> 00:00:28.560]  然後這個山谷一直上去
[00:00:28.560 --> 00:00:30.560]  然後上去就去到哪裏呢?
[00:00:30.560 --> 00:00:32.560]  就是去到耶路撒冷
[00:00:32.560 --> 00:00:34.560]  所以這個就是Sawick Gorge
[00:00:34.560 --> 00:00:41.560]  在整個山區有不同的山谷下來
[00:00:41.560 --> 00:00:43.560]  有好幾個
[00:00:43.560 --> 00:00:45.560]  其中一個最重要的就是Sawick Gorge
[00:00:45.560 --> 00:00:50.560]  如果你甚至看看今天的路線的編排
[00:00:50.560 --> 00:00:54.560]  很多時候都是跟著這樣的谷去跟
[00:00:54.560 --> 00:00:56.560]  這個就是Sawick Gorge
[00:00:56.560 --> 00:00:59.560]  38上來然後上到1號公路
[00:00:59.560 --> 00:01:02.560]  1號公路就是一個很重要的幹線
[00:01:02.560 --> 00:01:05.560]  很重要的公路
[00:01:05.560 --> 00:01:09.560]  就是由這個沿海平原上去耶路撒冷
[00:01:09.560 --> 00:01:13.560]  跟著1號公路一直上去
[00:01:13.560 --> 00:01:15.560]  就去到這個山谷的
[00:01:15.560 --> 00:01:19.560]  所謂山地的中間最重要的地方
[00:01:19.560 --> 00:01:22.560]  就是整個的分水嶺
[00:01:22.560 --> 00:01:24.560]  然後就去到耶路撒冷這個地方
[00:01:24.560 --> 00:01:26.560]  所以跟著1號公路
[00:01:26.560 --> 00:01:28.560]  你一路開車的時候就會看到
[00:01:28.560 --> 00:01:33.560]  由平原一直開車上去
[00:01:33.560 --> 00:01:40.560]  平原一直跟著公路
[00:01:40.560 --> 00:01:44.560]  你就上到山區
[00:01:44.560 --> 00:01:47.560]  其中一個的谷就是剛才所說的
[00:01:47.560 --> 00:01:49.560]  這個Sawick Gorge
[00:01:49.560 --> 00:01:53.560]  整個的自然的山谷
[00:01:53.560 --> 00:01:57.560]  這個地方在哪裡呢
[00:01:57.560 --> 00:01:59.560]  拍照這個地方
[00:01:59.560 --> 00:02:01.560]  這個地方就是近耶路撒冷
[00:02:01.560 --> 00:02:05.560]  就是跟著耶路撒冷
[00:02:05.560 --> 00:02:07.560]  耶路撒冷出一點點
[00:02:07.560 --> 00:02:09.560]  找一下耶路撒冷
[00:02:09.560 --> 00:02:11.560]  耶路撒冷出一點點
[00:02:11.560 --> 00:02:13.560]  就有一個郊野公園
[00:02:13.560 --> 00:02:15.560]  所以這裡是山谷以上的地方
[00:02:15.560 --> 00:02:18.560]  你會看到有這些梯田
[00:02:18.560 --> 00:02:22.560]  梳理谷在聖經裡面提過
[00:02:22.560 --> 00:02:24.560]  史詩紀第十六章
[00:02:24.560 --> 00:02:28.560]  說這是以後參孫的故事
[00:02:28.560 --> 00:02:31.560]  有座梳理谷愛上的一個女子叫做大莉拉
[00:02:31.560 --> 00:02:33.560]  其實她就是菲律賓人
[00:02:33.560 --> 00:02:34.560]  梳理谷
[00:02:34.560 --> 00:02:36.560]  梳理是什麼意思呢
[00:02:36.560 --> 00:02:38.560]  Sawick
[00:02:38.560 --> 00:02:40.560]  其實就是葡萄藤的意思
