
[00:00:00.000 --> 00:00:14.000]  我們每個月講一個專題叫做十二步
[00:00:14.000 --> 00:00:15.600]  我們說十二方面
[00:00:15.600 --> 00:00:18.800]  我們在一個基督徒的生命裡面成長
[00:00:18.800 --> 00:00:21.200]  在我們中間信主的
[00:00:21.200 --> 00:00:24.200]  你應該知道或者你再一次被提醒
[00:00:24.200 --> 00:00:25.600]  我們信主之後
[00:00:25.600 --> 00:00:28.000]  我們的生命會慢慢改變
[00:00:28.000 --> 00:00:32.000]  基本上有很多東西我們會重新整理
[00:00:32.000 --> 00:00:33.000]  為什麼呢?
[00:00:33.000 --> 00:00:37.000]  因為耶穌就好像我們平時開車
[00:00:37.000 --> 00:00:38.000]  我們信了主
[00:00:38.000 --> 00:00:40.000]  現在由祂開車
[00:00:40.000 --> 00:00:42.000]  我們就幫祂開車
[00:00:42.000 --> 00:00:43.000]  我們坐在旁邊
[00:00:43.000 --> 00:00:44.000]  輔助而已
[00:00:44.000 --> 00:00:47.000]  最主要是祂帶我們去一個地方
[00:00:47.000 --> 00:00:49.000]  或者祂帶我們經歷一些事情
[00:00:49.000 --> 00:00:52.000]  是祂的心意
[00:00:52.000 --> 00:00:55.000]  所以這十二步就是我們慢慢慢慢在各方面
[00:00:55.000 --> 00:00:59.000]  去調整和改變
[00:00:59.000 --> 00:01:01.000]  你信了主之後到現在
[00:01:01.000 --> 00:01:04.000]  無論你昨天信也好
[00:01:04.000 --> 00:01:07.000]  十年前、二十年前、五十年前信也好
[00:01:07.000 --> 00:01:10.000]  你慢慢會有不同的改變
[00:01:10.000 --> 00:01:11.000]  不同的更新
[00:01:11.000 --> 00:01:14.000]  在你人生不同的階段裡面
[00:01:14.000 --> 00:01:16.000]  神可能有不同的方法來提醒你
[00:01:16.000 --> 00:01:18.000]  我們的興趣會改變
[00:01:18.000 --> 00:01:19.000]  我們的嗜好
[00:01:19.000 --> 00:01:21.000]  我們的價值觀會改變
[00:01:21.000 --> 00:01:24.000]  我們的優先次序
[00:01:24.000 --> 00:01:26.000]  都應該會有改變
[00:01:26.000 --> 00:01:30.000]  所以我們這十二步就是我們希望去整理一下
[00:01:30.000 --> 00:01:31.000]  我們生命裡面
[00:01:31.000 --> 00:01:33.000]  走基督徒這條路程裡面
[00:01:33.000 --> 00:01:36.000]  有什麼需要去整理
[00:01:36.000 --> 00:01:40.000]  今天我們去到第三十五六七八九
[00:01:40.000 --> 00:01:42.000]  第九了
[00:01:42.000 --> 00:01:44.000]  第九就是門訓的關係
[00:01:44.000 --> 00:01:46.000]  門訓的關係
[00:01:46.000 --> 00:01:48.000]  如果你看我們海報的話
[00:01:48.000 --> 00:01:49.000]  你知道不只是基督徒
