
[00:00:00.000 --> 00:00:12.400]  我都同Irene同樣感覺
[00:00:12.400 --> 00:00:14.500]  係想到你同各位Dance妹
[00:00:14.500 --> 00:00:17.000]  你哋講聖誕節快樂呢
[00:00:17.000 --> 00:00:18.500]  就好似遲左啲囉
[00:00:18.500 --> 00:00:20.000]  但係同你講聖誕節快樂
[00:00:20.000 --> 00:00:21.200]  又好似太快喎
[00:00:21.200 --> 00:00:23.700]  所以我不如想同大家講一樣
[00:00:23.700 --> 00:00:25.000]  講一個日子
[00:00:25.000 --> 00:00:27.900]  係今年嘅7月10號
[00:00:27.900 --> 00:00:29.900]  呢個對我嚟講係一個重要嘅日子
[00:00:29.900 --> 00:00:31.200]  係嗰度呢
[00:00:31.200 --> 00:00:33.700]  嗰一日夜晚我非常之攰
[00:00:33.700 --> 00:00:34.700]  想著瞓覺
[00:00:34.700 --> 00:00:38.400]  但係一陣間就俾嗰啲
[00:00:38.400 --> 00:00:40.700]  救傷車聲同埋警車聲呢
[00:00:40.700 --> 00:00:42.700]  Siren嘅嘈醒我
[00:00:42.700 --> 00:00:44.700]  我紮醒咗
[00:00:44.700 --> 00:00:46.700]  聽到啲回音
[00:00:46.700 --> 00:00:48.700]  啊
[00:00:48.700 --> 00:00:50.700]  我就同Patrick講
[00:00:50.700 --> 00:00:52.700]  我話我哋嘅生命
[00:00:52.700 --> 00:00:54.700]  再得一樣嘅
[00:00:54.700 --> 00:00:56.700]  我哋晚晚都會聽到呢啲聲嘅
[00:00:56.700 --> 00:00:58.700]  點解呢
[00:00:58.700 --> 00:01:00.700]  係因為7月10號今年嘅時候呢
[00:01:00.700 --> 00:01:04.700]  我同Patrick由埠仔搬到嚟新加哥呢度住
[00:01:04.700 --> 00:01:06.700]  喺埠仔住左二十幾年啦
[00:01:06.700 --> 00:01:10.700]  好多朋友都唔明點解佢哋會搬出嚟呢
[00:01:10.700 --> 00:01:12.700]  我知埠仔地方大啲
[00:01:12.700 --> 00:01:14.700]  屋平啲
[00:01:14.700 --> 00:01:15.700]  啊
[00:01:15.700 --> 00:01:16.700]  泊車容易啲
