
[00:00:00.000 --> 00:00:04.540]  這個約翰福音第三章16節剛才看了
[00:00:04.540 --> 00:00:10.220]  這個幾乎是全世界最廣為人知的經文
[00:00:10.220 --> 00:00:12.480]  因為宣告一個事實
[00:00:12.480 --> 00:00:14.480]  就是神愛世人
[00:00:14.480 --> 00:00:17.660]  並且是一個很震撼的宣告
[00:00:17.660 --> 00:00:22.640]  約翰福音三章16節是全世界最廣為人知的一節經文
[00:00:22.640 --> 00:00:24.240]  宣告了一個真理
[00:00:24.240 --> 00:00:25.500]  神愛世人
[00:00:25.500 --> 00:00:28.280]  而這其實是一個非常震撼的宣告
[00:00:28.280 --> 00:00:30.280]  通常我們看到神愛世人
[00:00:30.280 --> 00:00:31.800]  God so love the world的時候
[00:00:31.800 --> 00:00:33.540]  我們就覺得有一點溫馨
[00:00:33.540 --> 00:00:37.660]  因為我們覺得上帝的愛當然是很偉大
[00:00:37.660 --> 00:00:39.360]  很偉大 包括所有的人
[00:00:39.360 --> 00:00:40.360]  因為這個世界這麼大
[00:00:40.360 --> 00:00:42.360]  但上帝卻愛這個世界
[00:00:42.360 --> 00:00:44.680]  通常當我們讀到神愛世人的時候
[00:00:44.680 --> 00:00:46.680]  我們會覺得祂特別溫馨
[00:00:46.680 --> 00:00:48.080]  神的愛之所以偉大
[00:00:48.080 --> 00:00:49.600]  是因為這個世界很大
[00:00:49.600 --> 00:00:50.800]  非常大
[00:00:50.800 --> 00:00:52.560]  今天有一件事沒有跟你說
[00:00:52.560 --> 00:00:55.880]  就是我們今天有170多人在我們中間
[00:00:55.880 --> 00:00:59.000]  今天我們想說今天在我們中間有170多人
[00:00:59.000 --> 00:01:03.680]  這個是破了我們參會的紀錄
[00:01:03.680 --> 00:01:05.120]  已經破了我們參會的紀錄
[00:01:05.120 --> 00:01:07.600]  你想想我們今天有大概200人在這裡
[00:01:07.600 --> 00:01:10.560]  你想想神就是愛我們這裡每一個人
[00:01:10.560 --> 00:01:11.680]  我們今天有200多人
[00:01:11.680 --> 00:01:13.160]  神愛我們這裡每一個人
[00:01:13.160 --> 00:01:14.320]  但如果看清楚
[00:01:14.320 --> 00:01:18.360]  這段聖經說神愛世人或者神愛the world的時候
[00:01:18.360 --> 00:01:22.560]  到底是什麼世人是什麼world呢
[00:01:22.560 --> 00:01:25.080]  聖經裡面告訴我們或者問我們這些問題
[00:01:25.080 --> 00:01:28.280]  這個世界是不是一個這麼乾淨的世界
[00:01:28.280 --> 00:01:30.960]  這個世人 這些世人 神愛世人
[00:01:30.960 --> 00:01:32.840]  是不是我們很可愛
[00:01:32.840 --> 00:01:35.040]  所以神來愛我們呢
[00:01:35.040 --> 00:01:37.720]  聖經裡面特別在約翰福音告訴我們
[00:01:37.720 --> 00:01:39.240]  這個世人
[00:01:39.240 --> 00:01:41.240]  這個world 這個世界
[00:01:41.240 --> 00:01:43.600]  是一個充滿叛逆
[00:01:43.600 --> 00:01:44.760]  充滿罪惡
[00:01:44.760 --> 00:01:47.720]  充滿黑暗混亂的一個地方
[00:01:47.720 --> 00:01:49.680]  但這個世界到底是怎麼樣的呢
[00:01:49.680 --> 00:01:50.920]  它是乾淨的嗎
[00:01:50.920 --> 00:01:52.320]  它是充滿愛的嗎
[00:01:52.320 --> 00:01:54.800]  在聖經中特別是在約翰福音裡
[00:01:54.800 --> 00:01:56.960]  世界被描寫成一個混亂
[00:01:56.960 --> 00:01:59.120]  悖逆 充滿罪的地方
[00:01:59.120 --> 00:02:02.080]  所以這裡說到神的愛的偉大的地方
[00:02:02.080 --> 00:02:04.880]  就不是因為他愛了很多人
[00:02:04.880 --> 00:02:06.720]  神的愛的偉大
[00:02:06.720 --> 00:02:09.440]  是居然愛一幫很壞的人
[00:02:09.440 --> 00:02:11.080]  所以神的愛之所以偉大
[00:02:11.080 --> 00:02:13.360]  不是因為神愛很多的世人
