
[00:00:00.000 --> 00:00:02.920]  好 今次我們就看到第六章了
[00:00:02.920 --> 00:00:07.280]  我們由第一章現在看到創世紀第六章
[00:00:07.280 --> 00:00:13.480]  六章我們首先在餘下的這幾個部分
[00:00:13.480 --> 00:00:17.200]  我們就嘗試去看第六章 一至到第八節
[00:00:17.200 --> 00:00:20.080]  講起這段經文 我們先讀一下
[00:00:20.080 --> 00:00:22.080]  是一段很難的經文
[00:00:22.080 --> 00:00:26.360]  解釋上有很多的爭論
[00:00:26.360 --> 00:00:28.360]  先讀一下
[00:00:28.360 --> 00:00:30.360]  這裡說什麼呢
[00:00:30.360 --> 00:00:32.360]  這裡就是說
[00:00:32.360 --> 00:00:35.520]  人在地上開始增多
[00:00:35.520 --> 00:00:37.520]  由生養女兒的時候
[00:00:37.520 --> 00:00:40.960]  神的種子看見人的女子美麗
[00:00:40.960 --> 00:00:44.360]  就隨意挑選娶作妻子
[00:00:44.360 --> 00:00:47.920]  而我話說人既然是屬肉體的
[00:00:47.920 --> 00:00:51.160]  我的靈就不永遠住在她裡面
[00:00:51.160 --> 00:00:54.760]  但她的日子還有一百二十年
[00:00:54.760 --> 00:00:57.640]  在那些日子和以後的日子
[00:00:57.640 --> 00:00:59.640]  有巨人在地上
[00:00:59.640 --> 00:01:03.400]  神的兒子和人的女子結合
[00:01:03.400 --> 00:01:07.120]  就生了上古英武有名的人物
[00:01:07.120 --> 00:01:11.320]  然後看見人在地上罪惡很大
[00:01:11.320 --> 00:01:15.560]  終日心裡思念的盡都是邪惡的
[00:01:15.560 --> 00:01:17.960]  於是然後說後悔
[00:01:17.960 --> 00:01:19.960]  做人在地上
[00:01:19.960 --> 00:01:21.960]  心中憂傷
[00:01:21.960 --> 00:01:24.480]  然後說我要把我創造的人
[00:01:24.480 --> 00:01:26.480]  從地上消滅
[00:01:26.480 --> 00:01:31.760]  無論是人還是牲畜
[00:01:31.760 --> 00:01:35.760]  是爬行的動物和天空的飛鳥
[00:01:35.760 --> 00:01:37.760]  我都要消滅
[00:01:37.760 --> 00:01:39.760]  因為我後悔造了他們
[00:01:39.760 --> 00:01:44.560]  只有羅亞在耶和華面前蒙恩
[00:01:44.560 --> 00:01:46.560]  這一段聖經
[00:01:46.560 --> 00:01:48.560]  起碼每一句
[00:01:48.560 --> 00:01:50.560]  其實你看清楚的話
[00:01:50.560 --> 00:01:52.560]  每一節每一個字
[00:01:52.560 --> 00:01:54.560]  都會有很多爭論
[00:01:54.560 --> 00:01:57.280]  所以我這裡就highlight了幾樣
[00:01:57.280 --> 00:01:59.280]  第一 神的種子
[00:01:59.280 --> 00:02:01.280]  到底神的兒子
[00:02:01.280 --> 00:02:03.280]  所謂神的兒子們
[00:02:03.280 --> 00:02:05.280]  到底是什麼人
[00:02:05.280 --> 00:02:08.640]  另外就是120年
[00:02:08.640 --> 00:02:11.840]  他的人類的日子還有120年
