
[00:00:00.000 --> 00:00:02.000]  等子妹平安
[00:00:02.000 --> 00:00:04.000]  相信大家都會認同
[00:00:04.000 --> 00:00:08.000]  在這兩三個星期最舉世矚目的新聞
[00:00:08.000 --> 00:00:12.000]  必然是英女皇伊麗莎白二世的離世
[00:00:12.000 --> 00:00:14.000]  無論在英國
[00:00:14.000 --> 00:00:16.000]  甚至在北美或香港
[00:00:16.000 --> 00:00:18.000]  都有很多人
[00:00:18.000 --> 00:00:20.000]  從不同的途徑
[00:00:20.000 --> 00:00:22.000]  來向她表達哀思
[00:00:22.000 --> 00:00:26.000]  我特別留意人們是怎樣懷念她
[00:00:26.000 --> 00:00:30.000]  並不是來數算她所擁有的財產
[00:00:30.000 --> 00:00:33.000]  是世界排名第幾
[00:00:33.000 --> 00:00:38.000]  或者她所擁有的金銀珠寶的富存
[00:00:38.000 --> 00:00:40.000]  是多麼的足夠等等
[00:00:40.000 --> 00:00:42.000]  是有這樣的報導
[00:00:42.000 --> 00:00:44.000]  但並不是主流
[00:00:44.000 --> 00:00:46.000]  或者強調在她的任內下
[00:00:46.000 --> 00:00:49.000]  英國怎樣國力鼎盛
[00:00:49.000 --> 00:00:52.000]  大國崛起等等
[00:00:52.000 --> 00:00:53.000]  而失實
[00:00:53.000 --> 00:00:55.000]  甚至可能是相反
[00:00:55.000 --> 00:00:58.000]  但很多人
[00:00:58.000 --> 00:01:00.000]  是去表達甚麼呢?
[00:01:00.000 --> 00:01:02.000]  是表達她本身是一個怎樣的人
[00:01:02.000 --> 00:01:06.000]  去強調她的待人接物
[00:01:06.000 --> 00:01:12.000]  甚至是講到她和寵物的關係
[00:01:12.000 --> 00:01:16.000]  最重要、最多人提起的
[00:01:16.000 --> 00:01:18.000]  是她怎樣看待她的身份
[00:01:18.000 --> 00:01:21.000]  怎樣鞠躬盡瘁
[00:01:21.000 --> 00:01:23.000]  去到最後
[00:01:23.000 --> 00:01:26.000]  今日想和大家分享的一段經文
[00:01:26.000 --> 00:01:28.000]  在《創世紀》第五章
[00:01:28.000 --> 00:01:30.000]  《創世紀》第五章
[00:01:30.000 --> 00:01:33.000]  因為比較長
[00:01:33.000 --> 00:01:35.000]  所以我們不會看完
[00:01:35.000 --> 00:01:38.000]  我們選取一些經文來看
[00:01:38.000 --> 00:01:40.000]  在《創世紀》第五章
[00:01:40.000 --> 00:01:42.000]  我們先看一到五節
[00:01:42.000 --> 00:01:45.000]  之後二十一到三十二節
[00:01:45.000 --> 00:01:48.000]  《創世紀》第五章一到第五節
[00:01:48.000 --> 00:01:51.000]  《亞當的後代》記載下面
[00:01:51.000 --> 00:01:53.000]  當神做人的日子
[00:01:53.000 --> 00:01:55.000]  是照著自己的樣式做的
[00:01:55.000 --> 00:01:57.000]  並且做男做女
[00:01:57.000 --> 00:01:59.000]  在他們被做的日子
[00:01:59.000 --> 00:02:01.000]  神似乎給他們稱他們為人
[00:02:01.000 --> 00:02:03.000]  亞當活到一百三十歲
[00:02:03.000 --> 00:02:05.000]  生了一個兒子
[00:02:05.000 --> 00:02:07.000]  形象、樣式和自己相似
[00:02:07.000 --> 00:02:09.000]  就給他起名叫「失德」
[00:02:09.000 --> 00:02:11.000]  亞當生失德之後
[00:02:11.000 --> 00:02:13.000]  又再世八百年
[00:02:13.000 --> 00:02:15.000]  並且生兒養女
[00:02:15.000 --> 00:02:17.000]  亞當共活了九百三十歲就死了
[00:02:17.000 --> 00:02:19.000]  第二節
[00:02:19.000 --> 00:02:21.000]  以諾活到六十五歲
[00:02:21.000 --> 00:02:23.000]  生了瑪吐撒拉
[00:02:23.000 --> 00:02:25.000]  以諾生瑪吐撒拉之後
[00:02:25.000 --> 00:02:27.000]  與神同行三百年
[00:02:27.000 --> 00:02:29.000]  並且生兒養女
[00:02:29.000 --> 00:02:31.000]  以諾共活了三百六十五歲
[00:02:31.000 --> 00:02:33.000]  以諾與神同行
[00:02:33.000 --> 00:02:35.000]  神將他取去
[00:02:35.000 --> 00:02:37.000]  他就不再世了
[00:02:37.000 --> 00:02:39.000]  瑪吐撒拉活到一百八十七歲
[00:02:39.000 --> 00:02:41.000]  生了拉密
[00:02:41.000 --> 00:02:43.000]  瑪吐撒拉生拉密之後
[00:02:43.000 --> 00:02:45.000]  又活了七百八十二年
[00:02:45.000 --> 00:02:47.000]  並且生兒養女
[00:02:47.000 --> 00:02:49.000]  以諾共活到七百七十七歲
[00:02:49.000 --> 00:02:51.000]  就死了
[00:02:51.000 --> 00:02:53.000]  二十八節
[00:02:53.000 --> 00:02:55.000]  拉密共活到一百八十二歲
[00:02:55.000 --> 00:02:57.000]  生了一個兒子
[00:02:57.000 --> 00:02:59.000]  給他起名叫「羅亞」
[00:02:59.000 --> 00:03:01.000]  說:這個兒子必為我們的操作
[00:03:01.000 --> 00:03:03.000]  和手中的奴婦安慰我們
[00:03:03.000 --> 00:03:05.000]  這操作奴婦是因為要話咒坐地
[00:03:05.000 --> 00:03:07.000]  拉密生羅亞之後
[00:03:07.000 --> 00:03:09.000]  又活了五百九十五年
[00:03:09.000 --> 00:03:11.000]  並且生兒養女
[00:03:11.000 --> 00:03:13.000]  拉密共活了七百七十七歲
[00:03:13.000 --> 00:03:15.000]  就死了
[00:03:15.000 --> 00:03:17.000]  「閃含亞佛」
[00:03:17.000 --> 00:03:19.000]  相信大家都會覺得
[00:03:19.000 --> 00:03:21.000]  這是一段很特別的經文
[00:03:21.000 --> 00:03:23.000]  為什麼呢?
[00:03:23.000 --> 00:03:25.000]  因為是家譜
[00:03:25.000 --> 00:03:27.000]  我不知道大家讀經的時候
[00:03:27.000 --> 00:03:29.000]  遇到家譜的時候會有什麼反應
[00:03:29.000 --> 00:03:31.000]  通常呢
[00:03:31.000 --> 00:03:33.000]  要不就完全跳過它
[00:03:33.000 --> 00:03:35.000]  就算不跳過
[00:03:35.000 --> 00:03:37.000]  很乖地看完它
[00:03:37.000 --> 00:03:39.000]  還是快快地看完就算了
[00:03:39.000 --> 00:03:41.000]  為什麼呢?
[00:03:41.000 --> 00:03:43.000]  因為我們覺得這些人和我們沒有關係
[00:03:43.000 --> 00:03:47.000]  讀名字也需要一番氣力的這班人
[00:03:47.000 --> 00:03:51.000]  和我們現在今時今日所過的生活又有什麼關係呢?
[00:03:51.000 --> 00:03:53.000]  所以我們今天上師
[00:03:53.000 --> 00:03:57.000]  從《創世紀》第五章的家譜
[00:03:57.000 --> 00:03:59.000]  一齊去看人生
[00:03:59.000 --> 00:04:01.000]  要讀明家譜
[00:04:01.000 --> 00:04:05.000]  其實有兩個需要注意的地方
[00:04:05.000 --> 00:04:07.000]  第一是家譜的格式
[00:04:07.000 --> 00:04:09.000]  第二是上下文
[00:04:09.000 --> 00:04:13.000]  我們先從家譜的格式
[00:04:13.000 --> 00:04:15.000]  透過《創世紀》第五章
