
[00:00:00.000 --> 00:00:03.000]  上次說到日蝨留下西蓮一個
[00:00:03.000 --> 00:00:06.000]  要放其餘九個回到迦南
[00:00:06.000 --> 00:00:09.000]  今次就帶大家來看看
[00:00:09.000 --> 00:00:13.000]  九兄弟回迦南的途中究竟有什麼事情發生
[00:00:13.000 --> 00:00:15.000]  而回到迦南之後
[00:00:15.000 --> 00:00:18.000]  當九兄弟把埃及買糧的事
[00:00:18.000 --> 00:00:22.000]  和手上的要求都告訴父親的時候
[00:00:22.000 --> 00:00:25.000]  父親雅各有什麼反應呢?
[00:00:25.000 --> 00:00:27.000]  看看以上的資料
[00:00:27.000 --> 00:00:30.000]  看看27節
[00:00:30.000 --> 00:00:33.000]  在回程的途中有人打開口袋
[00:00:33.000 --> 00:00:38.000]  發現口袋裡依然有自己的銀紙
[00:00:38.000 --> 00:00:41.000]  就告訴其餘的兄弟
[00:00:41.000 --> 00:00:43.000]  他們膽戰心驚
[00:00:43.000 --> 00:00:47.000]  彼此說究竟上帝對我們做了什麼
[00:00:47.000 --> 00:00:51.000]  可想而知當時十兄弟非常害怕
[00:00:51.000 --> 00:00:53.000]  他們很害怕有一天
[00:00:53.000 --> 00:00:57.000]  神會為當日他們所犯的罪
[00:00:57.000 --> 00:00:59.000]  而向他們來到追討
[00:00:59.000 --> 00:01:01.000]  而且他們很認為
[00:01:01.000 --> 00:01:05.000]  很有可能就是這次到埃及買糧這件事
[00:01:05.000 --> 00:01:07.000]  所遭遇的一切
[00:01:07.000 --> 00:01:10.000]  畢竟他們離開迦南去到埃及買糧的時候
[00:01:10.000 --> 00:01:13.000]  是十兄弟完整一齊的去的
[00:01:13.000 --> 00:01:15.000]  但結果
[00:01:15.000 --> 00:01:18.000]  在埃及買糧之後回來
[00:01:18.000 --> 00:01:21.000]  就只有九兄弟
[00:01:21.000 --> 00:01:24.000]  加上埃及的首相
[00:01:24.000 --> 00:01:27.000]  並沒有收取到他們任何買糧的錢
[00:01:27.000 --> 00:01:31.000]  唯獨是要求他們留下西面一個兄弟
[00:01:31.000 --> 00:01:34.000]  還要求他們九兄弟回到迦南之後
[00:01:34.000 --> 00:01:38.000]  要將父親最愛的兒子別雅文離開父親
[00:01:38.000 --> 00:01:41.000]  將他們帶到埃及
[00:01:41.000 --> 00:01:44.000]  看29節
[00:01:44.000 --> 00:01:46.000]  當他們回到迦南
[00:01:46.000 --> 00:01:49.000]  就將埃及所發生的事
[00:01:49.000 --> 00:01:53.000]  和埃及首相的要求都告訴父親
[00:01:53.000 --> 00:01:56.000]  當其時父親聽完之後
[00:01:56.000 --> 00:01:58.000]  他有什麼反應?
[00:01:58.000 --> 00:02:00.000]  換算你就是父親雅各
[00:02:00.000 --> 00:02:03.000]  你又會有什麼反應?
[00:02:03.000 --> 00:02:06.000]  第36節
[00:02:06.000 --> 00:02:09.000]  當其時雅各對九個兒子說
[00:02:09.000 --> 00:02:14.000]  「你們使我喪失了我的兒子」
[00:02:14.000 --> 00:02:17.000]  似乎雅各一直對當年
[00:02:17.000 --> 00:02:22.000]  失去愛子約瑟的事仍然耿耿於懷
