
[00:00:00.000 --> 00:00:02.000]  我們歡迎Mark Sir
[00:00:30.000 --> 00:00:34.600]  我看到這些生命很受感動
[00:00:34.600 --> 00:00:39.400]  雖然說去別的教會跟別人服侍
[00:00:39.400 --> 00:00:40.600]  或者給別人一些東西
[00:00:40.600 --> 00:00:44.200]  其實收穫最大是我和我們
[00:00:44.200 --> 00:00:48.400]  我也在我們的廣告分享中
[00:00:48.400 --> 00:00:51.800]  跟弟兄姊妹說我們教會的情況
[00:00:51.800 --> 00:00:53.200]  我們教會的故事等等
[00:00:53.200 --> 00:00:57.000]  也有些弟兄姊妹有些小小的奉獻
[00:00:57.000 --> 00:00:58.600]  我覺得很感動
[00:00:58.600 --> 00:01:00.200]  三九不識七
[00:01:00.200 --> 00:01:02.400]  他真的相信你
[00:01:02.400 --> 00:01:04.200]  真的覺得在神國裡面
[00:01:04.200 --> 00:01:06.400]  我們在不同的地方、不同的位置
[00:01:06.400 --> 00:01:07.600]  我們都可以侍奉
[00:01:07.600 --> 00:01:09.800]  一起去夾手夾腳
[00:01:09.800 --> 00:01:14.000]  一起去慷慨地推動上帝的工作
[00:01:14.000 --> 00:01:16.000]  無論你在哪一個地方也好
[00:01:16.000 --> 00:01:19.800]  這些真的是一個很好的經驗
[00:01:19.800 --> 00:01:23.400]  希望主去祝福當地的教會
[00:01:23.400 --> 00:01:26.400]  也求主幫助我們
[00:01:26.400 --> 00:01:31.200]  剛才報告我們也聽見我們的教會需要成長
[00:01:31.200 --> 00:01:34.400]  所以有很多工作我們需要做
[00:01:34.400 --> 00:01:35.800]  包括我們自己的生命
[00:01:35.800 --> 00:01:42.000]  我們需要重新定向
[00:01:42.000 --> 00:01:44.600]  重新找回我們一個新的方向
[00:01:44.600 --> 00:01:48.400]  這次我回來是想完結
[00:01:48.400 --> 00:01:54.000]  我所謂女性侍奉的系列
[00:01:54.000 --> 00:01:58.400]  所以今天我們想去看最後一段經文
[00:01:58.400 --> 00:02:02.000]  最後一段經文是在羅馬書第十六章
[00:02:02.000 --> 00:02:04.800]  如果你有電話、聖經的話
[00:02:04.800 --> 00:02:07.200]  打開羅馬書最後一章
[00:02:07.200 --> 00:02:11.000]  就是第十六章
[00:02:11.000 --> 00:02:14.800]  羅馬書是一封書信
[00:02:14.800 --> 00:02:21.400]  寶羅寫信給當地的信徒羅馬的宗教會
[00:02:21.400 --> 00:02:23.400]  每一次寫書信的時候
[00:02:23.400 --> 00:02:26.000]  當然有抬頭和內容
[00:02:26.000 --> 00:02:28.000]  羅馬書是很長的
[00:02:28.000 --> 00:02:30.800]  而且是一封很有名的書信
[00:02:30.800 --> 00:02:33.400]  長度是十五章
[00:02:33.400 --> 00:02:34.800]  第一章寫了十五章
[00:02:34.800 --> 00:02:38.200]  講述了很多基督教裏面很重要的教義
[00:02:38.200 --> 00:02:40.800]  譬如恩信、清二
[00:02:40.800 --> 00:02:47.400]  弟兄姊妹如何在當時的猶太人和外邦人之間
[00:02:47.400 --> 00:02:50.400]  有很多的張力和分歧
[00:02:50.400 --> 00:02:53.400]  如何可以在一個共同的群體裏面
[00:02:53.400 --> 00:02:56.400]  在愛和真理裏面去建立
[00:02:56.400 --> 00:02:58.000]  講了十五章之後
[00:02:58.000 --> 00:02:59.800]  到第十六章最後一章
[00:02:59.800 --> 00:03:01.400]  是講些什麼
[00:03:01.400 --> 00:03:05.800]  通常你寫信最後是寫什麼的
[00:03:05.800 --> 00:03:07.200]  看看寫什麼
[00:03:07.200 --> 00:03:13.800]  寫情信的最後你寫什麼
[00:03:13.800 --> 00:03:16.400]  I love you
[00:03:16.400 --> 00:03:21.400]  儲名或者日期
[00:03:21.400 --> 00:03:22.400]  或者月份
[00:03:22.400 --> 00:03:23.400]  I love you
[00:03:23.400 --> 00:03:24.400]  我是誰
[00:03:24.400 --> 00:03:27.400]  日期等等
[00:03:27.400 --> 00:03:30.400]  第十六章也是有點像這樣的
[00:03:30.400 --> 00:03:32.400]  羅馬書第十六章最後的時候
[00:03:32.400 --> 00:03:36.400]  就是保羅向當地的教會問安
[00:03:36.400 --> 00:03:38.400]  如果打開這段聖經的時候
[00:03:38.400 --> 00:03:42.400]  你會發現他一直在數一些名字
[00:03:42.400 --> 00:03:49.400]  我們想用這些經文來做一個總結
[00:03:49.400 --> 00:03:54.400]  總結我們如何看女性在教會裏面侍奉
[00:03:54.400 --> 00:03:58.400]  下一張slide就告訴大家
[00:03:58.400 --> 00:04:01.400]  首先有一些預設和一些原則
[00:04:01.400 --> 00:04:02.400]  我們需要知道的
[00:04:02.400 --> 00:04:05.400]  每一個我們去理解聖經的時候
[00:04:05.400 --> 00:04:08.400]  每一個我們需要去明白聖經講些什麼
[00:04:08.400 --> 00:04:10.400]  我們都需要去明白幾樣東西
[00:04:10.400 --> 00:04:12.400]  現在沒有slide不要緊
[00:04:12.400 --> 00:04:13.400]  第一樣
[00:04:13.400 --> 00:04:17.400]  聖經是一些當時的產品
[00:04:17.400 --> 00:04:20.400]  父權社會的產品
[00:04:20.400 --> 00:04:22.400]  知道聖經的時代就是父權社會
[00:04:22.400 --> 00:04:24.400]  就是以男為上
[00:04:24.400 --> 00:04:26.400]  樣樣東西都是以男為外
[00:04:26.400 --> 00:04:28.400]  或者男人當家
[00:04:28.400 --> 00:04:30.400]  男人說了算
[00:04:30.400 --> 00:04:33.400]  所以聖經是一種這樣的情況下
[00:04:33.400 --> 00:04:38.400]  產生出來的文學作品
[00:04:38.400 --> 00:04:40.400]  我說文學作品不一定是虛構
[00:04:40.400 --> 00:04:41.400]  有些教目
[00:04:41.400 --> 00:04:43.400]  或者我上一代的教目
[00:04:43.400 --> 00:04:44.400]  比我老一些的教目
[00:04:44.400 --> 00:04:47.400]  他們一聽見聖經是文學作品的時候
[00:04:47.400 --> 00:04:49.400]  就說聖經是西遊記
[00:04:49.400 --> 00:04:50.400]  沒有歷史背景
[00:04:50.400 --> 00:04:52.400]  沒有歷史真實
[00:04:52.400 --> 00:04:54.400]  不是這樣的意思
[00:04:54.400 --> 00:04:56.400]  而是他花了很多心思
[00:04:56.400 --> 00:04:58.400]  在經文上面
[00:04:58.400 --> 00:04:59.400]  寫作上面
[00:04:59.400 --> 00:05:01.400]  來去present一件東西
[00:05:01.400 --> 00:05:03.400]  好像你去博物館看一些名畫
