
[00:00:00.000 --> 00:00:02.600]  各位大英姐妹 大家好
[00:00:02.600 --> 00:00:05.120]  今次我們繼續我們的系列
[00:00:05.120 --> 00:00:07.400]  今次有少許東西獎給大家
[00:00:07.400 --> 00:00:09.560]  所以如果你未有這個瓶子的話
[00:00:09.560 --> 00:00:10.520]  大家可以拿
[00:00:10.520 --> 00:00:14.160]  這個瓶子裏面已經有好幾樣物件在裏面
[00:00:14.160 --> 00:00:15.560]  我們希望在今年裏面
[00:00:15.560 --> 00:00:17.480]  這個瓶子去提醒大家
[00:00:17.480 --> 00:00:19.600]  我們在上帝裏面有什麼恩典
[00:00:19.600 --> 00:00:22.920]  今次是我們這個NEXT的第四講
[00:00:22.920 --> 00:00:25.320]  你見到那個Title是回望
[00:00:25.320 --> 00:00:29.640]  我們就看看舊約聖經裏面講到的回望
[00:00:29.640 --> 00:00:32.760]  你記得聖經是一個大的故事
[00:00:32.760 --> 00:00:35.840]  一個長篇劇有66集
[00:00:35.840 --> 00:00:38.240]  因為聖經裏面有66卷書
[00:00:38.240 --> 00:00:42.440]  由創世紀至最後一卷書叫做啟示錄
[00:00:42.440 --> 00:00:45.160]  中間就是基督耶穌的來臨
[00:00:45.160 --> 00:00:50.000]  所以舊約裏面算是一部分上半的長篇劇
[00:00:50.000 --> 00:00:51.360]  有39卷書
[00:00:51.360 --> 00:00:53.680]  所以你計算它有39集
[00:00:53.680 --> 00:00:56.000]  然後新約就有27卷書
[00:00:56.000 --> 00:00:58.560]  你就計算它後面的27集
[00:00:58.560 --> 00:01:01.360]  所以我們由第一集看到最後一集的時候
[00:01:01.360 --> 00:01:03.040]  我們應該大概get到
[00:01:03.040 --> 00:01:05.160]  雖然每一集每一卷書
[00:01:05.160 --> 00:01:06.480]  講的東西是有點不同
[00:01:06.480 --> 00:01:07.520]  它們有一個主題
[00:01:07.520 --> 00:01:09.000]  是獨特的主題
[00:01:09.000 --> 00:01:10.280]  但是你串在一起的時候
[00:01:10.280 --> 00:01:12.600]  你就發現原來背後有一個編劇
[00:01:12.600 --> 00:01:15.640]  整個故事就呈現出來了
[00:01:15.640 --> 00:01:17.000]  整個大的故事
[00:01:17.000 --> 00:01:20.600]  其實就是介紹這位上帝是一個怎樣的上帝
[00:01:20.600 --> 00:01:22.800]  一個怎樣對待你的上帝
[00:01:22.800 --> 00:01:24.320]  一個跟你怎樣
[00:01:24.320 --> 00:01:27.440]  應該建立一個怎樣關係的一個上帝
[00:01:27.440 --> 00:01:30.240]  所以由頭到尾第一集至到最後一集
[00:01:30.240 --> 00:01:32.800]  都是一個故事
[00:01:32.800 --> 00:01:35.040]  一個宏大的故事
[00:01:35.040 --> 00:01:38.200]  在故事裏面告訴你
[00:01:38.200 --> 00:01:41.160]  上帝告訴你我是怎樣的
[00:01:41.160 --> 00:01:42.960]  等於我們彼此認識的時候
[00:01:42.960 --> 00:01:45.200]  我們大家見到新朋友來到
[00:01:45.200 --> 00:01:47.120]  我們大家彼此介紹的時候
[00:01:47.120 --> 00:01:48.280]  你都會說什麼
[00:01:48.280 --> 00:01:49.640]  由你出生開始說
[00:01:49.640 --> 00:01:51.520]  說到你現在
[00:01:51.520 --> 00:01:52.440]  我在哪裡出生
[00:01:52.440 --> 00:01:54.120]  經歷過什麼等等
[00:01:54.120 --> 00:01:55.680]  有時間的話
[00:01:55.680 --> 00:01:56.760]  因為聽了你的故事的時候
[00:01:56.760 --> 00:01:58.680]  就明白你是一個怎樣的人
[00:01:58.680 --> 00:02:00.720]  明白你的故事就是明白你
[00:02:00.720 --> 00:02:01.760]  明白上帝的故事
[00:02:01.760 --> 00:02:03.960]  都是明白和認識上帝的
[00:02:03.960 --> 00:02:05.560]  所以我們第一次開始
[00:02:05.560 --> 00:02:07.360]  我們就由《創世紀》開始
[00:02:07.360 --> 00:02:12.960]  直到現在我們看到《出埃及記》的後半段
[00:02:12.960 --> 00:02:16.160]  我知道Alice傳道是在說《出埃及記》
[00:02:16.160 --> 00:02:18.360]  不過我比她快很多
[00:02:18.360 --> 00:02:20.440]  我們先用一個宏大的
[00:02:20.440 --> 00:02:23.120]  不用仔細的方法去看
[00:02:23.120 --> 00:02:29.760]  我們今天看的是25章第40章《出埃及記》
[00:02:29.760 --> 00:02:30.680]  我們看的時候
[00:02:30.680 --> 00:02:32.080]  我們首先問一個問題
[00:02:32.080 --> 00:02:34.600]  很多時候我們想像一個神
[00:02:34.600 --> 00:02:39.360]  我們想像一個很高超的
[00:02:39.360 --> 00:02:40.560]  很高的
[00:02:40.560 --> 00:02:45.640]  不能夠觸及的一個存在者
[00:02:45.640 --> 00:02:47.480]  或者那些古代的人
[00:02:47.480 --> 00:02:51.400]  他們就會想像神是一個怎樣的神
[00:02:51.400 --> 00:02:54.560]  說到神明 想起任何一種的神明
[00:02:54.560 --> 00:02:57.080]  他們就會想起一定是在高山上
[00:02:57.080 --> 00:02:58.480]  因為你要攀上去
[00:02:58.480 --> 00:02:59.640]  你要爬上去
