
[00:00:00.000 --> 00:00:05.000]  今次我再和大家從原生家庭的問題
[00:00:05.000 --> 00:00:10.000]  去了解負面影響所帶來的後果
[00:00:10.000 --> 00:00:13.000]  每一個人都有原生家庭
[00:00:13.000 --> 00:00:16.000]  原生家庭可以帶給我們正面
[00:00:16.000 --> 00:00:21.000]  但同時亦可以帶給我們負面的影響
[00:00:21.000 --> 00:00:23.000]  你父你子
[00:00:23.000 --> 00:00:27.000]  有這樣的父親,就會有這樣的兒子
[00:00:27.000 --> 00:00:32.000]  在故事當中主角約瑟原生家庭負面影響
[00:00:32.000 --> 00:00:34.000]  所帶來的家庭問題
[00:00:34.000 --> 00:00:37.000]  最主要找出根源原因
[00:00:37.000 --> 00:00:40.000]  就是從約瑟的祖宗三代開始起
[00:00:40.000 --> 00:00:43.000]  約瑟的祖宗三代
[00:00:43.000 --> 00:00:45.000]  是猶太祖父阿伯拉罕
[00:00:45.000 --> 00:00:48.000]  祖父以撒和父親雅各
[00:00:48.000 --> 00:00:52.000]  約瑟的三代祖宗
[00:00:52.000 --> 00:00:54.000]  同時都有一個共同點
[00:00:54.000 --> 00:00:56.000]  就是口齒薄皮
[00:00:56.000 --> 00:01:00.000]  他們都是偏愛某一個的子女
[00:01:00.000 --> 00:01:04.000]  我們先看看太祖父阿伯拉罕
[00:01:04.000 --> 00:01:07.000]  在《創世紀》第十六章
[00:01:07.000 --> 00:01:12.000]  阿伯拉罕因為妻子撒萊不能生育
[00:01:12.000 --> 00:01:15.000]  於是接受妻子的建議
[00:01:15.000 --> 00:01:18.000]  娶侍女哈格為妾
[00:01:18.000 --> 00:01:22.000]  結果阿伯拉罕有了第一個兒子
[00:01:22.000 --> 00:01:24.000]  再看二十一章
[00:01:24.000 --> 00:01:27.000]  多年後撒萊雖然年老
[00:01:27.000 --> 00:01:30.000]  但因為得到神的賜福
[00:01:30.000 --> 00:01:33.000]  撒萊終於和阿伯拉罕生下了以撒
[00:01:33.000 --> 00:01:38.000]  以撒是阿伯拉罕和撒萊年老時所生
[00:01:38.000 --> 00:01:40.000]  亦是他們的第一個兒子
[00:01:40.000 --> 00:01:43.000]  所以他們對以撒寵愛猶加
[00:01:43.000 --> 00:01:45.000]  因為這個緣故
[00:01:45.000 --> 00:01:47.000]  他們興褻了早年時
[00:01:47.000 --> 00:01:51.000]  和妾哈格所生的長子
[00:01:51.000 --> 00:01:52.000]  不僅如此
[00:01:52.000 --> 00:01:57.000]  撒萊還故意撫慰哈格和其兒子
[00:01:57.000 --> 00:02:01.000]  最後還把哈格和其兒子趕出家門
[00:02:01.000 --> 00:02:04.000]  阿伯拉罕的家庭問題
[00:02:04.000 --> 00:02:08.000]  都出自於阿伯拉罕的厚齒薄皮
[00:02:08.000 --> 00:02:09.000]  而以撒呢?
[00:02:09.000 --> 00:02:12.000]  以撒自出於母胎後
[00:02:12.000 --> 00:02:14.000]  可說是得天獨厚
[00:02:14.000 --> 00:02:18.000]  因為以撒深得父母親的疼愛
[00:02:18.000 --> 00:02:19.000]  例化道理神
[00:02:19.000 --> 00:02:21.000]  有這樣的父親
[00:02:21.000 --> 00:02:23.000]  便會有這樣的兒子
[00:02:23.000 --> 00:02:27.000]  阿伯拉罕的厚齒薄皮帶來的家庭問題
[00:02:27.000 --> 00:02:28.000]  傳到下一代
[00:02:28.000 --> 00:02:31.000]  去到以撒的身上
[00:02:31.000 --> 00:02:33.000]  《創世紀》的二十五章
[00:02:33.000 --> 00:02:35.000]  二十到二十八節
[00:02:35.000 --> 00:02:36.000]  那裡說到
[00:02:36.000 --> 00:02:41.000]  利伯加和以撒身著一對上輩胎
[00:02:41.000 --> 00:02:43.000]  大兒子爾素
[00:02:43.000 --> 00:02:45.000]  小兒子雅各
[00:02:45.000 --> 00:02:49.000]  父親以撒偏愛著大兒子爾素
[00:02:49.000 --> 00:02:53.000]  而母親利伯加偏愛著小兒子雅各
[00:02:53.000 --> 00:02:57.000]  我們看看《創世紀》的二十七章
[00:02:57.000 --> 00:03:02.000]  母親利伯加因為偏愛著雅各的緣故
[00:03:02.000 --> 00:03:06.000]  便用手段幫雅各從父親的手中
[00:03:06.000 --> 00:03:10.000]  騙取了長子的名分和得到祝福
[00:03:10.000 --> 00:03:14.000]  結果雅各很成功奪取了長子的名分
[00:03:14.000 --> 00:03:20.000]  雅各用欺騙的手段從父親的手中
[00:03:20.000 --> 00:03:23.000]  騙取了長子的名分和得到祝福
[00:03:23.000 --> 00:03:28.000]  雖然雅各很成功騙取了長子的名分和得到祝福
[00:03:28.000 --> 00:03:32.000]  不過雅各卻要付出很大的代價
[00:03:32.000 --> 00:03:38.000]  雅各的一生再沒有機會和母親利伯加有團聚的機會
[00:03:38.000 --> 00:03:42.000]  由亞伯拉罕的厚齒薄皮家庭問題
[00:03:42.000 --> 00:03:45.000]  就像一種胃串病一樣
[00:03:45.000 --> 00:03:48.000]  傳到下一代以撒的身上
[00:03:48.000 --> 00:03:53.000]  再由以撒的身上傳到下一代雅各的身上
[00:03:53.000 --> 00:03:57.000]  雅各一夫娶四個妻妾
[00:03:57.000 --> 00:03:59.000]  一共生了十二個兒子
[00:03:59.000 --> 00:04:02.000]  但雅各只是偏愛弱室
[00:04:02.000 --> 00:04:05.000]  只為弱室親手做採衣
[00:04:05.000 --> 00:04:07.000]  父親的厚齒薄皮
[00:04:07.000 --> 00:04:12.000]  造成頭十個兒子至少缺乏安全感
[00:04:12.000 --> 00:04:14.000]  至於弱室
[00:04:14.000 --> 00:04:16.000]  因為年少無知
[00:04:16.000 --> 00:04:18.000]  又被父親寵愛
[00:04:18.000 --> 00:04:20.000]  所以至少意氣風發
[00:04:20.000 --> 00:04:25.000]  這樣就更加深了在家庭中兄弟的不和
[00:04:25.000 --> 00:04:28.000]  在雅各的家裡竟出現了
[00:04:28.000 --> 00:04:30.000]  撒底的念頭
[00:04:30.000 --> 00:04:32.000]  賣帝的行動
[00:04:32.000 --> 00:04:34.000]  頂姐妹
[00:04:34.000 --> 00:04:39.000]  弱室對上三代所發生的家庭問題
[00:04:39.000 --> 00:04:41.000]  就可以足以證明
[00:04:41.000 --> 00:04:43.000]  原生家庭的問題
[00:04:43.000 --> 00:04:46.000]  會帶來很大負面影響
