
[00:00:00.000 --> 00:00:01.320]  各位電視節目好
[00:00:01.320 --> 00:00:05.120]  在2024年我終於回到這個系列
[00:00:05.120 --> 00:00:06.120]  God's Providence
[00:00:06.120 --> 00:00:08.360]  因為去年我們講了三堂
[00:00:08.360 --> 00:00:09.760]  這個God's Providence發生什麼事
[00:00:09.760 --> 00:00:10.360]  記不記得
[00:00:10.360 --> 00:00:12.200]  就是以巴衝突
[00:00:12.200 --> 00:00:14.440]  以巴衝突又衝突了幾個星期
[00:00:14.440 --> 00:00:15.560]  現在還沒完
[00:00:15.560 --> 00:00:16.520]  越搞越大
[00:00:16.520 --> 00:00:20.360]  我原本想著5月去以色列當然是完好
[00:00:20.360 --> 00:00:22.120]  可能還是去不了
[00:00:22.120 --> 00:00:24.920]  因為如果你看到一些新聞的話
[00:00:24.920 --> 00:00:30.760]  你知道戰火已經蔓延到以色列北面的哈斯波拉
[00:00:30.760 --> 00:00:33.520]  南面你可能收到一些消息
[00:00:33.520 --> 00:00:35.800]  在紅海附近的那些叫什麼
[00:00:35.800 --> 00:00:37.520]  Hoovis
[00:00:37.520 --> 00:00:45.360]  Hoovis在也門那裡有不同的襲擊、攻擊等等
[00:00:45.360 --> 00:00:47.600]  在以色列等等不同的地方
[00:00:47.600 --> 00:00:49.520]  所以我都沒有打過很大的問號
[00:00:49.520 --> 00:00:50.880]  5月底我能不能去到呢
[00:00:50.880 --> 00:00:54.160]  我希望這個戰火能夠快點完結
[00:00:54.160 --> 00:00:56.880]  因為最主要不是我能不能去
[00:00:56.880 --> 00:00:59.120]  最主要是那裡的一些平民百姓
[00:00:59.120 --> 00:01:00.840]  以及一些婦女、兒女
[00:01:00.840 --> 00:01:04.160]  很多小朋友因為戰火的緣故
[00:01:04.160 --> 00:01:07.400]  是受到很大的影響
[00:01:07.400 --> 00:01:10.160]  願上帝去憐憫那個地方
[00:01:10.160 --> 00:01:12.240]  因為以巴的緣故
[00:01:12.240 --> 00:01:14.160]  所以就停了上帝庇護
[00:01:14.160 --> 00:01:17.280]  上帝的Providence系列
[00:01:17.280 --> 00:01:19.840]  然後就聖誕節、過年等等
[00:01:19.840 --> 00:01:21.960]  然後開年等等
[00:01:21.960 --> 00:01:26.320]  我們回來這裡就講到上帝的Providence
[00:01:26.320 --> 00:01:27.520]  第四堂了
[00:01:27.520 --> 00:01:30.520]  我打算講完這一堂再講多一堂
[00:01:30.520 --> 00:01:32.400]  就完結一個約瑟的故事
[00:01:32.400 --> 00:01:36.560]  我都不是很想中斷了
[00:01:36.560 --> 00:01:39.280]  還沒完結就由他
[00:01:39.280 --> 00:01:41.280]  我希望能夠跟進
[00:01:41.280 --> 00:01:43.480]  這裡講到Providence是什麼呢
[00:01:43.480 --> 00:01:45.960]  是聖經裡面一個很清楚的教導
[00:01:45.960 --> 00:01:48.880]  教導我們上帝自己的本性是怎麼樣
[00:01:48.880 --> 00:01:51.280]  並且這個教導不是一些抽空的教導
[00:01:51.280 --> 00:01:53.280]  是跟我們生命每一步
[00:01:53.280 --> 00:01:55.280]  我們人生每一步都是實用的
[00:01:55.280 --> 00:01:57.280]  因為人生裡面你想一想
[00:01:57.280 --> 00:01:59.760]  我們總是會覺得
[00:01:59.760 --> 00:02:01.760]  就算你不是信耶穌
[00:02:01.760 --> 00:02:05.960]  你都會覺得世事的發生
[00:02:05.960 --> 00:02:08.960]  或者生命裡面遇見的人事物
[00:02:08.960 --> 00:02:11.760]  有時候會令到我們感到無奈
[00:02:11.760 --> 00:02:17.280]  是我們不能夠去控制得到的
[00:02:17.280 --> 00:02:21.280]  即使你的人格是比較樂觀的
[00:02:21.280 --> 00:02:23.280]  有誰是比較樂觀的
[00:02:23.280 --> 00:02:25.280]  天跌下來當被掩蓋的人
[00:02:25.280 --> 00:02:27.280]  即使你是樂觀的
[00:02:27.280 --> 00:02:31.280]  你都會覺得生命裡面很多時候是失控的
[00:02:31.280 --> 00:02:33.280]  無論是廣大的政局也好
[00:02:33.280 --> 00:02:36.280]  或者我們自己人生的經歷也好
[00:02:36.280 --> 00:02:38.280]  所以聖經裡面告訴我們
[00:02:38.280 --> 00:02:41.280]  我們知道這個教導的時候
[00:02:41.280 --> 00:02:43.280]  可不可以給我們多一點的平安
[00:02:43.280 --> 00:02:45.280]  多一點的盼望
[00:02:45.280 --> 00:02:47.280]  讓我們能夠有目標去走
[00:02:47.280 --> 00:02:51.280]  所以要明白上帝庇護的教導的時候
[00:02:51.280 --> 00:02:53.280]  我們知道在你人生裡面
[00:02:53.280 --> 00:02:55.280]  背後是有一個總指揮
[00:02:55.280 --> 00:02:57.280]  有一個導師
[00:02:57.280 --> 00:02:59.280]  他是在幫你
[00:02:59.280 --> 00:03:01.280]  以及他安排了一切
[00:03:01.280 --> 00:03:04.280]  縱使你現在覺得失控
[00:03:04.280 --> 00:03:06.280]  但一切都在主自己的帶領
[00:03:06.280 --> 00:03:09.280]  以及在向他自己的計劃
[00:03:09.280 --> 00:03:12.280]  這個就是約瑟的故事的中心
[00:03:12.280 --> 00:03:14.280]  就是講到Providence
[00:03:14.280 --> 00:03:16.280]  我們review一下在37章開始
[00:03:16.280 --> 00:03:18.280]  約瑟的故事
[00:03:18.280 --> 00:03:20.280]  當時他是17歲
[00:03:20.280 --> 00:03:22.280]  你記得他穿彩衣那個
[00:03:22.280 --> 00:03:25.280]  那個是被雅各加夫
[00:03:25.280 --> 00:03:28.280]  去到偏愛的一個兒子
[00:03:28.280 --> 00:03:29.280]  排第十一
[00:03:29.280 --> 00:03:33.280]  他就因為兄弟對他不滿
[00:03:33.280 --> 00:03:35.280]  或者對他嫉妒
[00:03:35.280 --> 00:03:37.280]  就將他賣到埃及
[00:03:37.280 --> 00:03:39.280]  死不去就將他賣到埃及
[00:03:39.280 --> 00:03:41.280]  然後38章有一個小小的插曲
[00:03:41.280 --> 00:03:43.280]  講到猶大和他馬的故事
[00:03:43.280 --> 00:03:44.280]  有一點伏筆
[00:03:44.280 --> 00:03:47.280]  將來猶大會不會成為主角
[00:03:47.280 --> 00:03:49.280]  無論如何39章就講到
[00:03:49.280 --> 00:03:54.280]  約瑟在埃及波提法的家
[00:03:54.280 --> 00:03:56.280]  是一個官的家
[00:03:56.280 --> 00:03:58.280]  那裡他就被誣告
[00:03:58.280 --> 00:04:02.280]  波提法的妻子去引誘他
[00:04:02.280 --> 00:04:07.280]  然後他就保守著他的誠信
[00:04:07.280 --> 00:04:10.280]  但是因為這個緣故他就受苦
[00:04:10.280 --> 00:04:12.280]  然後到第40章
[00:04:12.280 --> 00:04:14.280]  他被監禁
[00:04:14.280 --> 00:04:16.280]  不單止是這樣
[00:04:16.280 --> 00:04:18.280]  再差一點
[00:04:18.280 --> 00:04:22.280]  到第40章就在監獄裡坐牢
[00:04:22.280 --> 00:04:24.280]  然後他就解了兩個夢
[00:04:24.280 --> 00:04:27.280]  一個是施酒長和施膳長的夢
[00:04:27.280 --> 00:04:30.280]  誰知道施酒長就忘記了他
[00:04:30.280 --> 00:04:31.280]  沒有報恩給他
[00:04:31.280 --> 00:04:34.280]  所以他也留在監獄裡
[00:04:34.280 --> 00:04:37.280]  結果過了兩年
[00:04:37.280 --> 00:04:39.280]  法老就做夢
[00:04:39.280 --> 00:04:43.280]  然後法老的內閣就不能夠將他解夢
[00:04:43.280 --> 00:04:44.280]  不知道發生什麼事
[00:04:44.280 --> 00:04:46.280]  誰知道就記起約瑟
[00:04:46.280 --> 00:04:48.280]  然後將他在監獄裡
[00:04:48.280 --> 00:04:52.280]  終於去reversal 提起上來
[00:04:52.280 --> 00:04:53.280]  讓他出監
