
[00:00:00.000 --> 00:00:02.000]  早晨各位
[00:00:02.000 --> 00:00:04.000]  今天很高興
[00:00:04.000 --> 00:00:06.000]  各位看到這盞燈
[00:00:06.000 --> 00:00:08.000]  在這幾個月
[00:00:08.000 --> 00:00:10.000]  我們有很多
[00:00:10.000 --> 00:00:12.000]  精彩的演出
[00:00:12.000 --> 00:00:14.000]  希望能夠在這些
[00:00:14.000 --> 00:00:16.000]  消息和訊息當中
[00:00:16.000 --> 00:00:18.000]  提供幫助
[00:00:18.000 --> 00:00:20.000]  如果看我們今天的節目的話
[00:00:20.000 --> 00:00:22.000]  每一節會有不同的演員
[00:00:22.000 --> 00:00:24.000]  每週節目
[00:00:24.000 --> 00:00:26.000]  可能不到下星期
[00:00:26.000 --> 00:00:28.000]  我們請了一個本身是
[00:00:28.000 --> 00:00:30.000]  伊斯蘭教徒
[00:00:30.000 --> 00:00:32.000]  信奉耶穌
[00:00:32.000 --> 00:00:34.000]  本身是伊拉克人
[00:00:34.000 --> 00:00:36.000]  伊拉克巴格達本地人
[00:00:36.000 --> 00:00:38.000]  他們經歷過
[00:00:38.000 --> 00:00:40.000]  在那裡洗禮禮
[00:00:40.000 --> 00:00:42.000]  在那裡讀大學
[00:00:42.000 --> 00:00:44.000]  在那裡福音
[00:00:44.000 --> 00:00:46.000]  在那裡修煉
[00:00:46.000 --> 00:00:48.000]  是一個很激烈的演出
[00:00:48.000 --> 00:00:50.000]  下星期他們會親自
[00:00:50.000 --> 00:00:52.000]  和我們分享
[00:00:52.000 --> 00:00:54.000]  為什麼呢?因為下星期的週末
[00:00:54.000 --> 00:00:56.000]  周末
[00:00:56.000 --> 00:01:00.000]  在大西洋區的教會
[00:01:00.000 --> 00:01:06.000]  有一個叫愛沃的教徒
[00:01:06.000 --> 00:01:08.000]  愛沃的教徒
[00:01:08.000 --> 00:01:10.000]  愛沃是一個穆斯林
[00:01:10.000 --> 00:01:14.000]  伊斯蘭的信徒
[00:01:14.000 --> 00:01:16.000]  他是其中一個
