
[00:00:00.000 --> 00:00:02.040]   - Good morning, everyone.
[00:00:02.040 --> 00:00:03.880]   Well, I've been sick for a few days,
[00:00:03.880 --> 00:00:06.240]   so I've been suffering too.
[00:00:06.240 --> 00:00:08.080]   But that's okay, yeah.
[00:00:08.080 --> 00:00:10.880]   It's the last day of 2023.
[00:00:10.880 --> 00:00:13.080]   Today's the last day, as Jinfan said.
[00:00:13.080 --> 00:00:16.960]   This is, I think this is the best way
[00:00:16.960 --> 00:00:19.120]   we can conclude this year,
[00:00:19.120 --> 00:00:22.500]   end with the Lord's Day on Sunday.
[00:00:22.500 --> 00:00:25.840]   As we go from one year to the next,
[00:00:25.840 --> 00:00:29.480]   we will think about New Year resolutions, right?
[00:00:29.480 --> 00:00:30.320]   - Yes.
[00:00:30.320 --> 00:00:31.140]   - We all do, right?
[00:00:31.140 --> 00:00:31.980]   - Yes.
[00:00:31.980 --> 00:00:34.760]   - So what do you have in mind?
[00:00:34.760 --> 00:00:38.800]   Maybe physical exercise, learn something new,
[00:00:38.800 --> 00:00:42.040]   or maybe financial planning and all that.
[00:00:42.040 --> 00:00:44.080]   Maybe for those who go to school,
[00:00:44.080 --> 00:00:47.280]   probably you have some new plannings as well.
[00:00:47.280 --> 00:00:49.280]   Maybe for questions,
[00:00:49.280 --> 00:00:53.160]   sometimes we talk about reading the Bible together.
[00:00:53.160 --> 00:00:55.480]   Have we done the Bible reading last year?
[00:00:55.480 --> 00:00:56.320]   - Yes.
[00:00:56.320 --> 00:00:58.160]   - We finished it, right?
[00:00:58.160 --> 00:00:59.680]   No, I didn't finish it, I didn't join it.
[00:00:59.680 --> 00:01:00.520]   - Some of them.
[00:01:00.520 --> 00:01:01.560]   - Some of them, right?
[00:01:01.560 --> 00:01:03.640]   Well, give them a hand, yeah, give them a hand.
[00:01:03.640 --> 00:01:05.000]   Yeah, very good, very good.
[00:01:05.000 --> 00:01:11.480]   Usually churches do is to have some big sign
[00:01:11.480 --> 00:01:13.760]   or big banner saying,
[00:01:13.760 --> 00:01:16.480]   "New Year, we're gonna do this or do that," right?
[00:01:16.480 --> 00:01:17.640]   "We're gonna expand our church,
[00:01:17.640 --> 00:01:19.080]   "and we're gonna grow together,"
[00:01:19.080 --> 00:01:20.880]   and something like that.
[00:01:20.880 --> 00:01:25.000]   Today, I want to do something a little bit different.
[00:01:25.000 --> 00:01:28.400]   I want to tell you how life transformation work.
[00:01:28.400 --> 00:01:30.700]   Because as we set the New Year goals,
[00:01:30.700 --> 00:01:32.800]   as we set the New Year resolutions,
[00:01:32.800 --> 00:01:34.600]   or think about stuff like that,
[00:01:34.600 --> 00:01:37.560]   not only we need to set goals,
[00:01:37.560 --> 00:01:40.520]   but we need to understand how we reach the goal
[00:01:40.520 --> 00:01:43.240]   and how life change works.
[00:01:43.240 --> 00:01:46.400]   So my sermon title is Atomic Wisdom.
[00:01:46.400 --> 00:01:49.600]   Now, atomic does not mean destructive.
[00:01:49.600 --> 00:01:52.280]   Okay, I know there's atomic bomb,
[00:01:52.280 --> 00:01:57.280]   but it means tiny and insignificant, atomic particle,
[00:01:57.280 --> 00:01:59.840]   something really, really small.
[00:01:59.840 --> 00:02:03.280]   And I borrowed this title from a bestseller
[00:02:03.280 --> 00:02:07.680]   called "Atomic Habits" by James Clear.
[00:02:07.680 --> 00:02:11.080]   And this bestseller is recommended to me this year
[00:02:11.080 --> 00:02:16.080]   by actually Amanda, recommend me to read this book.
[00:02:16.080 --> 00:02:19.000]   And I find it's very insightful book.
[00:02:19.000 --> 00:02:24.000]   And the thesis of the book is success,
[00:02:24.000 --> 00:02:26.240]   all kinds of success, okay?
[00:02:26.240 --> 00:02:28.480]   Whether you're in school, whether you're in career,
[00:02:28.480 --> 00:02:30.360]   whether you're just doing exercise,
[00:02:30.360 --> 00:02:33.760]   just trying to be strong, all kinds of success
[00:02:33.760 --> 00:02:38.400]   is a product of daily, tiny habits,
[00:02:38.400 --> 00:02:43.400]   not a once in a lifetime action, you know?
[00:02:44.440 --> 00:02:49.400]   All kinds of changes, all kinds of positive changes
[00:02:49.400 --> 00:02:53.000]   have to be done in tiny little steps.
[00:02:53.000 --> 00:02:56.320]   And everyone can do that, and that's the good news.
[00:02:56.320 --> 00:02:58.680]   Now, this book is packed with insights
[00:02:58.680 --> 00:03:01.520]   from behavioral psychology.
[00:03:01.520 --> 00:03:06.120]   You know, behavioral psychologists observe the human nature,
[00:03:06.120 --> 00:03:09.760]   observe how we work, right, how we behave.
[00:03:09.760 --> 00:03:14.760]   And then they summarize the psychological dynamic.
[00:03:14.760 --> 00:03:17.600]   And as I read this book,
[00:03:17.600 --> 00:03:22.160]   I instantly, I thought of wisdom literature in the Bible.
[00:03:22.160 --> 00:03:23.000]   You know wisdom literature?
[00:03:23.000 --> 00:03:26.680]   How do you find the wisdom literature in the Bible?
[00:03:26.680 --> 00:03:28.400]   It's right in the middle, right?
[00:03:28.400 --> 00:03:33.160]   Some of the Psalms and Proverbs, Ecclesiastes,
[00:03:33.160 --> 00:03:37.880]   and the Book of Job, and those are wisdom literatures.
[00:03:37.880 --> 00:03:41.000]   It's always, wisdom literature has a feature,
[00:03:41.000 --> 00:03:45.480]   it is always short and clever sayings, tiny sayings.
[00:03:45.480 --> 00:03:50.480]   And it seems to instill us with tiny little wisdom
[00:03:50.480 --> 00:03:54.400]   here and there, and tell you some general truth
[00:03:54.400 --> 00:03:58.520]   about human nature, general truth about
[00:03:58.520 --> 00:04:03.080]   living a life of wisdom, living a life that is successful.
[00:04:03.080 --> 00:04:04.880]   Actually, in the Bible,
[00:04:04.880 --> 00:04:08.200]   wisdom is defined as practical skill.
[00:04:08.200 --> 00:04:11.520]   If you have wisdom, you live skillfully.
[00:04:11.520 --> 00:04:15.080]   You live skillfully to the life God has given you.
[00:04:15.080 --> 00:04:17.720]   So at times in wisdom literature in the Bible,
[00:04:17.720 --> 00:04:22.480]   observing human nature, and try to summarize it
[00:04:22.480 --> 00:04:25.820]   and teach us some of the general truths.
[00:04:25.820 --> 00:04:28.700]   So this sermon, I'm going to do some integration.
[00:04:28.700 --> 00:04:32.720]   I'm gonna go for some of the insights
[00:04:32.720 --> 00:04:37.640]   from behavioral psychology, and then we'll go into
[00:04:37.640 --> 00:04:40.720]   some of the passages from the Book of Proverbs,
[00:04:40.720 --> 00:04:42.400]   wisdom literature.
[00:04:42.400 --> 00:04:46.540]   So here, I want you to understand how life change works.
[00:04:46.540 --> 00:04:49.000]   All right, so whatever you have
[00:04:49.000 --> 00:04:52.120]   for your New Year resolutions, all right?
[00:04:52.120 --> 00:04:54.360]   If you don't have any New Year resolutions,
[00:04:54.360 --> 00:04:56.520]   this is time to think about it, okay?
[00:04:56.520 --> 00:04:58.240]   Time to think about it.
[00:04:58.240 --> 00:05:02.360]   But if you have New Year resolutions, how does it work?
[00:05:02.360 --> 00:05:04.640]   What are the principles that we can bring
[00:05:04.640 --> 00:05:07.080]   about changes in our lives?
[00:05:07.080 --> 00:05:08.000]   So here we go.
[00:05:08.000 --> 00:05:11.600]   First principle is the 1% power.
[00:05:11.600 --> 00:05:13.820]   1% power.
[00:05:13.820 --> 00:05:18.720]   That you do something tiny on a daily basis,
[00:05:18.720 --> 00:05:23.160]   even if this is 1%, and it's seemingly not obvious,
[00:05:23.160 --> 00:05:25.880]   the result will be exceptional.
[00:05:25.880 --> 00:05:28.360]   Now, so often in any goal we are pursuing,
[00:05:28.360 --> 00:05:33.360]   we attempt to set up some of the,
[00:05:33.360 --> 00:05:37.720]   some high and unrealistic expectations, right?
[00:05:37.720 --> 00:05:40.620]   Like I'm gonna read the whole Bible in two months.
[00:05:40.620 --> 00:05:43.680]   Okay, good luck to you, all right?
[00:05:43.680 --> 00:05:45.240]   You're not gonna happen, right?
[00:05:45.240 --> 00:05:46.340]   It's not gonna happen.
[00:05:46.340 --> 00:05:50.720]   If you set the goal, like next year, 2024,
[00:05:50.720 --> 00:05:55.180]   you're going to read the entire New Testament in one year,
[00:05:55.180 --> 00:05:57.320]   that may be more realistic, right?
[00:05:57.320 --> 00:06:00.320]   But sometimes when we set up a New Year goal,
[00:06:00.320 --> 00:06:03.880]   we have some unrealistic expectations,
[00:06:03.880 --> 00:06:07.420]   and it will require exceptional willpower.
[00:06:07.420 --> 00:06:10.960]   That's why we don't set New Year goals anymore,
[00:06:10.960 --> 00:06:14.600]   because we find ourselves failing all the time, right?
[00:06:14.600 --> 00:06:17.120]   You don't wanna fail, that's why you don't wanna set goals,
[00:06:17.120 --> 00:06:18.240]   right?
[00:06:18.240 --> 00:06:20.040]   That's kind of pessimistic, right?
[00:06:20.040 --> 00:06:21.040]   It's kind of sad.
[00:06:21.040 --> 00:06:27.120]   But this book says all kinds of changes happen atomically.
[00:06:28.080 --> 00:06:30.840]   Small, tiny changes.
[00:06:30.840 --> 00:06:34.400]   And far too often, tiny improvement
[00:06:34.400 --> 00:06:38.240]   will create long-term change.
[00:06:38.240 --> 00:06:41.160]   And that's how life change works.
[00:06:41.160 --> 00:06:43.080]   So think about daily habit.
[00:06:43.080 --> 00:06:48.600]   Daily, what can you do with just 1% effort, right?
[00:06:48.600 --> 00:06:52.560]   There's a chart in the book, I find it very insightful,
[00:06:52.560 --> 00:06:54.840]   talking about behavioral psychology.
[00:06:54.840 --> 00:06:55.880]   When you think of growth,
[00:06:55.880 --> 00:06:58.760]   we often think in a straight line, right?
[00:06:58.760 --> 00:07:02.160]   Linear progression, that's the red line right there.
[00:07:02.160 --> 00:07:05.800]   But actually, life change happens in the curve.
[00:07:05.800 --> 00:07:08.440]   In the curve.
[00:07:08.440 --> 00:07:10.760]   Notice the beginning of the curve.
[00:07:10.760 --> 00:07:14.200]   The progress is not obvious.
[00:07:14.200 --> 00:07:18.160]   And the author named the first phase,
[00:07:18.160 --> 00:07:21.000]   you know, it's not obvious in terms of the result.
[00:07:21.000 --> 00:07:22.760]   You don't see a lot of increase,
[00:07:22.760 --> 00:07:26.600]   you don't see a lot of obvious improvement yet.
[00:07:26.600 --> 00:07:28.920]   That, the yellow part, the author says,
[00:07:28.920 --> 00:07:32.840]   James Clear says, is the value of disappointment.
[00:07:32.840 --> 00:07:35.080]   Because you have done so much, right?
[00:07:35.080 --> 00:07:36.920]   And there's no result.
[00:07:36.920 --> 00:07:39.680]   And people usually give up at this point.
[00:07:39.680 --> 00:07:42.920]   So the encouragement is, if we do the 1%,
[00:07:42.920 --> 00:07:45.800]   which everyone can do, right?
[00:07:45.800 --> 00:07:46.980]   And you persist.
[00:07:48.040 --> 00:07:53.040]   And then, exponentially, changes will happen.
[00:07:53.040 --> 00:07:58.520]   So if you do 1% improvement for 365 days,
[00:07:58.520 --> 00:08:03.520]   the result at the end is 37.78 times better.
[00:08:03.520 --> 00:08:06.440]   Right?
[00:08:06.440 --> 00:08:07.680]   Isn't that cool?
[00:08:07.680 --> 00:08:11.380]   If you do just 1% every single day, 365 days,
[00:08:11.380 --> 00:08:16.380]   you will get the improvement result for 37 times.
[00:08:17.320 --> 00:08:21.920]   But if you do 1% decline, or you do nothing about it,
[00:08:21.920 --> 00:08:24.360]   or you keep on your bad habits,
[00:08:24.360 --> 00:08:29.360]   1% declines for 365 days, your result is close to zero.
[00:08:29.360 --> 00:08:32.640]   There's no improvement at all.
[00:08:32.640 --> 00:08:37.900]   Now, you can talk about any kind of result,
[00:08:37.900 --> 00:08:39.640]   or any kind of goal.
[00:08:39.640 --> 00:08:44.640]   Relationship, family, career, learning a new skill,
