
[00:00:00.000 --> 00:00:01.280]   sharing God's message.
[00:00:01.280 --> 00:00:05.200]   (speaking in foreign language)
[00:00:05.200 --> 00:00:07.800]   - Good morning, everyone, and welcome to UV,
[00:00:07.800 --> 00:00:11.760]   and I know it's quite a hassle to come to church today,
[00:00:11.760 --> 00:00:15.520]   and I'm driving an all-wheel drive BMW,
[00:00:15.520 --> 00:00:20.080]   and I still kind of drift on the side road especially,
[00:00:20.080 --> 00:00:22.120]   so it was kind of dangerous, yeah.
[00:00:22.120 --> 00:00:24.280]   So you guys got here okay?
[00:00:24.280 --> 00:00:25.120]   Right?
[00:00:25.120 --> 00:00:29.040]   (speaking in foreign language)
[00:00:30.000 --> 00:00:34.400]   - Okay, so we'll continue our mini-series
[00:00:34.400 --> 00:00:36.280]   on the Psalms in the Bible,
[00:00:36.280 --> 00:00:39.560]   and today we are at Psalm 139.
[00:00:39.560 --> 00:00:44.160]   And 139, Psalm 139, and if you have a Bible app
[00:00:44.160 --> 00:00:47.760]   or a printed Bible, I want to invite you
[00:00:47.760 --> 00:00:50.440]   to turn to 139, Psalm 139.
[00:00:50.440 --> 00:00:54.240]   It is one of the most beloved Psalms in the Bible.
[00:00:54.240 --> 00:00:57.360]   It is the most important Psalm in the Bible.
[00:00:57.360 --> 00:00:58.640]   It's Psalm 139.
[00:00:58.640 --> 00:01:02.380]   It is one of the most beloved passages,
[00:01:02.380 --> 00:01:04.360]   Psalm poems in the Bible,
[00:01:04.360 --> 00:01:08.520]   and it is often read in many different situations.
[00:01:08.520 --> 00:01:12.120]   You know, whether we go to a hospital to visit someone,
[00:01:12.120 --> 00:01:15.560]   or we read the Psalm at funerals,
[00:01:15.560 --> 00:01:20.560]   or moments of deep anxiety, or even birthday celebration,
[00:01:20.560 --> 00:01:24.960]   we take 139, Psalm 139, and use it.
[00:01:24.960 --> 00:01:27.520]   And people turn to this Psalm because it speaks
[00:01:27.520 --> 00:01:31.080]   to all of us something about human existence,
[00:01:31.080 --> 00:01:34.000]   something universal, and the longing,
[00:01:34.000 --> 00:01:37.020]   human longing to be known by someone.
[00:01:37.020 --> 00:01:40.940]   (speaking in foreign language)
[00:01:54.960 --> 00:01:58.880]   (speaking in foreign language)
[00:01:58.880 --> 00:02:05.160]   And we live in a world that is often being seen
[00:02:05.160 --> 00:02:07.280]   by somebody else, right?
[00:02:07.280 --> 00:02:08.640]   In this high-tech world,
[00:02:08.640 --> 00:02:11.960]   we are always being seen all the time,
[00:02:11.960 --> 00:02:15.040]   and cameras are everywhere, right?
[00:02:15.040 --> 00:02:20.000]   Cameras are everywhere, and there was GPS tracking,
[00:02:20.000 --> 00:02:23.880]   and the big data is observing us and tracking us down.
[00:02:23.880 --> 00:02:28.000]   And how many of you got a speeding ticket recently?
[00:02:28.000 --> 00:02:30.440]   How many of you?
[00:02:30.440 --> 00:02:32.040]   (speaking in foreign language)
[00:02:32.040 --> 00:02:34.280]   Okay, so we live in the world.
[00:02:34.280 --> 00:02:38.480]   I got a speeding ticket not too long ago on accident,
[00:02:38.480 --> 00:02:41.280]   actually, yeah, I was rushing to church,
[00:02:41.280 --> 00:02:43.360]   and I coming to worship, okay?
[00:02:43.360 --> 00:02:45.600]   I was kind of late for music practice,
[00:02:45.600 --> 00:02:47.200]   and I got a ticket, all right?
[00:02:47.200 --> 00:02:50.560]   So we do live in the world often being seen
[00:02:50.560 --> 00:02:53.720]   and often being observed by someone else.
[00:02:53.720 --> 00:02:57.640]   (speaking in foreign language)
[00:02:57.640 --> 00:03:10.680]   Imagine you're being seen by someone else,
[00:03:10.680 --> 00:03:14.400]   and the feeling of it is like you're being seen,
[00:03:14.400 --> 00:03:19.400]   and it feels like sometimes feels like losing your control.
[00:03:21.000 --> 00:03:24.760]   We fear about being seen and being misunderstood
