
[00:00:00.000 --> 00:00:04.480]  其實港福之谷是怎麼開始的呢?
[00:00:04.480 --> 00:00:07.280]  Gordon可不可以講一下?
[00:00:07.280 --> 00:00:12.400]  是Daniel找我去港北日資有一個這樣的構思
[00:00:12.400 --> 00:00:14.080]  問我願不願意參加
[00:00:14.080 --> 00:00:17.360]  因為我現在是半退休
[00:00:17.360 --> 00:00:19.320]  所以我的時間上就比較彈性多一些
[00:00:19.320 --> 00:00:20.960]  我就很樂意去參加
[00:00:20.960 --> 00:00:23.040]  我個人的構想也是覺得
[00:00:23.040 --> 00:00:25.640]  上百川結束了就非常之可惜
[00:00:25.640 --> 00:00:28.680]  教會真的需要一些這樣的平台
[00:00:28.680 --> 00:00:30.280]  還有可以作為一個
[00:00:30.280 --> 00:00:31.880]  在我自己的構思裏面
[00:00:31.880 --> 00:00:34.640]  就是一個資源中心
[00:00:34.640 --> 00:00:36.320]  就是idea的資源
[00:00:36.320 --> 00:00:40.800]  可以分析一些不同的idea出去給人看
[00:00:40.800 --> 00:00:44.920]  所以我就答應了去參加這個工作
[00:00:44.920 --> 00:00:50.760]  其實其他兩位你們的角色是什麼呢?
[00:00:50.760 --> 00:00:52.080]  其實Gordon你的角色是什麼呢?
[00:00:52.080 --> 00:00:53.240]  我們都忘記介紹一下
[00:00:53.240 --> 00:00:56.400]  我們在港福之谷的角色是什麼
[00:00:56.400 --> 00:00:58.840]  我現在的名字就很厲害了
[00:00:58.840 --> 00:01:00.080]  是Executive Officer
[00:01:00.080 --> 00:01:02.080]  其實就是做打雜
[00:01:02.080 --> 00:01:04.080]  一腳踢
[00:01:04.080 --> 00:01:05.360]  他還要那些東西
[00:01:05.360 --> 00:01:12.560]  我就是會看著所有的
[00:01:12.560 --> 00:01:18.600]  我想我自己比較熟悉做多一些的
[00:01:18.600 --> 00:01:20.840]  就是做一些Policies and Procedures
[00:01:20.840 --> 00:01:22.560]  Operation那邊的東西
[00:01:23.360 --> 00:01:26.040]  Technology方面就一邊學一邊做
[00:01:26.040 --> 00:01:29.200]  比如怎樣設置一個平台
[00:01:29.200 --> 00:01:31.200]  怎樣設置一個網站那些
[00:01:31.200 --> 00:01:32.960]  在Content方面
[00:01:32.960 --> 00:01:34.480]  我覺得我可以有一點
[00:01:34.480 --> 00:01:36.360]  從一個評訊圖的角度
[00:01:36.360 --> 00:01:40.000]  帶一些idea進來
[00:01:40.000 --> 00:01:41.760]  因為大家都是牧師
[00:01:41.760 --> 00:01:44.440]  我也有做牧師的女婿
[00:01:44.440 --> 00:01:46.720]  所以我也知道做傳導人
[00:01:46.720 --> 00:01:50.440]  是有一定的方法去想事情
[00:01:50.440 --> 00:01:52.360]  還有他們做事情也是有些限制
[00:01:52.360 --> 00:01:55.080]  我作為一個讀過一下神學的評訊圖
[00:01:55.080 --> 00:01:57.360]  我就希望可以帶一些
[00:01:57.360 --> 00:02:00.920]  從評訊圖角度的看法進來
[00:02:00.920 --> 00:02:03.480]  如果是這樣的話
[00:02:03.480 --> 00:02:05.800]  我也是會在Gordon的角度工作的
[00:02:05.800 --> 00:02:08.120]  不是的
[00:02:08.120 --> 00:02:10.120]  是我會報告給Board的
[00:02:10.120 --> 00:02:14.280]  我會報告給Board的
[00:02:14.280 --> 00:02:16.280]  Marsha你是什麼角色
[00:02:16.280 --> 00:02:19.320]  其實角色很少的
[00:02:19.320 --> 00:02:23.600]  如果可以分享大家的工作
[00:02:23.600 --> 00:02:26.160]  我就很樂意的
[00:02:26.160 --> 00:02:30.200]  也很感謝Gordon和Daniel的邀請
[00:02:30.200 --> 00:02:31.200]  真的
