
[00:00:00.000 --> 00:00:02.000]  各位聖誕平安
[00:00:02.000 --> 00:00:06.000]  今時今日講這句說話可能會有很不同的意思
[00:00:06.000 --> 00:00:11.000]  或者今年2020年的聖誕節正是提醒我們
[00:00:11.000 --> 00:00:19.000]  以往一直這麼多年西方的世界文化已經將聖誕節無限浪漫化
[00:00:19.000 --> 00:00:22.000]  我們一想起聖誕節就想起火樹銀花
[00:00:22.000 --> 00:00:24.000]  每個人都會很開心
[00:00:24.000 --> 00:00:26.000]  聖誕是否真的這樣
[00:00:26.000 --> 00:00:30.000]  今時今日疫情仍然橫掃全球的時候
[00:00:30.000 --> 00:00:33.000]  我們想起聖誕就非常不一樣
[00:00:33.000 --> 00:00:35.000]  或者這個可以提醒我們
[00:00:35.000 --> 00:00:39.000]  本身第一次聖誕應該的處境是怎樣
[00:00:39.000 --> 00:00:42.000]  路加科第二章這樣說
[00:00:42.000 --> 00:00:48.000]  在百里行之野地裡有牧羊的人夜間按照更次看守羊群
[00:00:48.000 --> 00:00:50.000]  有主的使者站在他們旁邊
[00:00:50.000 --> 00:00:54.000]  主的榮光四面照著他們
[00:00:54.000 --> 00:00:56.000]  牧羊的人就甚懼怕
[00:00:56.000 --> 00:00:58.000]  那天使對他們說不要懼怕
[00:00:58.000 --> 00:01:02.000]  我給你們大喜的訊息是關乎萬民的
[00:01:02.000 --> 00:01:07.000]  因為今日在大衛的城裡為你們生了救主就是主基督
[00:01:07.000 --> 00:01:13.000]  你們要看見一個鷹鞋包著布臥在馬槽裡那就是記號了
[00:01:13.000 --> 00:01:17.000]  忽然有一大隊天兵和天使讚美上帝說
[00:01:17.000 --> 00:01:20.000]  在至高之處榮耀歸於神
[00:01:20.000 --> 00:01:23.000]  在地上平安歸於他所喜悅的人
[00:01:23.000 --> 00:01:26.000]  眾天使離開他們升天去了
[00:01:26.000 --> 00:01:29.000]  牧羊的人彼此說我們往百里行去
[00:01:29.000 --> 00:01:34.000]  看看所成的事就是主所指示我們的
[00:01:34.000 --> 00:01:37.000]  他們急忙去了就尋見馬里亞和約室
[00:01:37.000 --> 00:01:39.000]  又有那鷹鞋臥在馬槽裡
[00:01:39.000 --> 00:01:44.000]  既然看見就說天使論者孩子的話傳開了
[00:01:44.000 --> 00:01:48.000]  凡天見的就察現牧羊之人對他們所說的話
[00:01:48.000 --> 00:01:53.000]  馬里亞卻把這一切事傳在心裡反覆思想
[00:01:53.000 --> 00:01:57.000]  牧羊人回去了因所看見的一切事
[00:01:57.000 --> 00:02:04.000]  正如天使向他們所說的就歸榮耀於上帝讚美他
[00:02:04.000 --> 00:02:09.000]  說起聖誕節不少教會和基督徒會在聖誕節有崇拜
[00:02:09.000 --> 00:02:11.000]  有特別的慶典
[00:02:11.000 --> 00:02:17.000]  這當然不代表我們說十二二十五號西曆就是耶穌出生那一天
[00:02:17.000 --> 00:02:19.000]  我們不會搞錯的
[00:02:19.000 --> 00:02:23.000]  初期的教會只是到了公元後四世紀開始
[00:02:23.000 --> 00:02:27.000]  才有聖誕節慶祝的傳統
[00:02:27.000 --> 00:02:30.000]  由第一世紀開始初期幾百年
[00:02:30.000 --> 00:02:33.000]  基督最重要的事件
[00:02:33.000 --> 00:02:39.000]  教會所紀念的全部都是集中在耶穌的死和復活裡面
[00:02:39.000 --> 00:02:43.000]  但我們會問耶穌誕生這麼大件事
[00:02:43.000 --> 00:02:47.000]  福音書的記載有什麼交代
[00:02:47.000 --> 00:02:49.000]  特別說到耶穌出生的時間
[00:02:49.000 --> 00:02:53.000]  到底第一個聖誕節是什麼時間
[00:02:53.000 --> 00:02:56.000]  如果不是十二月二十五號的話
[00:02:56.000 --> 00:02:58.000]  應該是什麼時候
[00:02:58.000 --> 00:03:00.000]  很多人自然會指出
[00:03:00.000 --> 00:03:02.000]  在路加福音第二章第八節
[00:03:02.000 --> 00:03:06.000]  白利恆的野地有牧羊的人
[00:03:06.000 --> 00:03:09.000]  夜裡按照庚次看守羊群
[00:03:09.000 --> 00:03:11.000]  他們就會指出一段經文說
[00:03:11.000 --> 00:03:13.000]  不可能是冬天
[00:03:13.000 --> 00:03:15.000]  到底是不是呢?
[00:03:15.000 --> 00:03:18.000]  可能我們要看看地理和氣候
[00:03:18.000 --> 00:03:22.000]  在白利恆的野地有牧羊的人按照庚次看守羊群
[00:03:22.000 --> 00:03:25.000]  其實一年四季都能夠這樣做
[00:03:25.000 --> 00:03:28.000]  就算是雨季或冬天的時候
[00:03:28.000 --> 00:03:29.000]  為什麼呢?
[00:03:29.000 --> 00:03:31.000]  我們只需要明白一點
[00:03:31.000 --> 00:03:34.000]  以色列巴勒斯坦地的地理和氣候就會知道
[00:03:34.000 --> 00:03:37.000]  這個又長又窄的以色列地
[00:03:37.000 --> 00:03:40.000]  由地中海的海皮
[00:03:40.000 --> 00:03:42.000]  沿海平原這個地方
[00:03:42.000 --> 00:03:44.000]  一直往東走的時候
[00:03:44.000 --> 00:03:46.000]  你會發現地勢會越來越高
[00:03:46.000 --> 00:03:48.000]  直到最高的地方
[00:03:48.000 --> 00:03:50.000]  就是一個中央山脈
[00:03:50.000 --> 00:03:51.000]  Central Hill Country
