
[00:00:00.000 --> 00:00:03.000]   (audience clapping)
[00:00:03.000 --> 00:00:07.520]   - Hello, hello.
[00:00:07.520 --> 00:00:09.160]   Okay, good morning, UV.
[00:00:09.160 --> 00:00:12.960]   Thank you for welcoming me to your church and your community.
[00:00:12.960 --> 00:00:14.740]   It was a pleasure to spend some time
[00:00:14.740 --> 00:00:17.320]   with the kids this morning and to be able to,
[00:00:17.320 --> 00:00:20.960]   yeah, speak from the word of God with you all today.
[00:00:20.960 --> 00:00:24.840]   So if you have some non-believer friends or family
[00:00:24.840 --> 00:00:27.580]   and you have tried to share the gospel with them,
[00:00:27.580 --> 00:00:29.980]   I'm sure at some point you will run into some questions
[00:00:29.980 --> 00:00:32.920]   along the line of, if there is a God,
[00:00:32.920 --> 00:00:37.700]   or if God is really good, why is there so much suffering
[00:00:37.700 --> 00:00:39.240]   and evil in our world?
[00:00:39.240 --> 00:00:42.760]   Well, for some people, this are maybe just a way
[00:00:42.760 --> 00:00:45.500]   for them to discredit the Christian God,
[00:00:45.500 --> 00:00:48.140]   but I feel like for the rest of the people,
[00:00:48.140 --> 00:00:51.280]   this is a legitimate and reasonable questions
[00:00:51.280 --> 00:00:54.900]   just coming from either their personal experience
[00:00:54.900 --> 00:00:57.740]   or just the things that they have seen around the world.
[00:00:58.900 --> 00:01:01.320]   And if I'm just being honest,
[00:01:01.320 --> 00:01:03.280]   I feel like even a lot of times as Christians,
[00:01:03.280 --> 00:01:05.960]   we don't really have any adequate answers
[00:01:05.960 --> 00:01:07.780]   to this question as well.
[00:01:07.780 --> 00:01:10.760]   And living in a big city like Chicago,
[00:01:10.760 --> 00:01:13.720]   if we just pay attention or open our eyes
[00:01:13.720 --> 00:01:15.880]   to our surrounding, it is not hard for us
[00:01:15.880 --> 00:01:19.560]   to see a lot of brokenness, injustice, and suffering
[00:01:19.560 --> 00:01:21.920]   that is in such close proximity with us, right?
[00:01:21.920 --> 00:01:27.120]   And at times like this, these questions of evil
[00:01:27.120 --> 00:01:29.260]   and suffering become even more relevant.
[00:01:29.260 --> 00:01:33.640]   So my questions for today is, as the people of God,
[00:01:33.640 --> 00:01:36.920]   how should we face the suffering and pain in our lives?
[00:01:36.920 --> 00:01:39.720]   As believers, how do we suffer differently
[00:01:39.720 --> 00:01:41.080]   than the rest of the world?
[00:01:41.080 --> 00:01:45.240]   So today, we're going to take a look at Psalm 39
[00:01:45.240 --> 00:01:47.840]   and see how it approaches these questions.
[00:01:47.840 --> 00:01:50.560]   I will be reading from the NIV version,
[00:01:50.560 --> 00:01:52.160]   so if you have a different version,
[00:01:52.160 --> 00:01:57.160]   you can feel free to follow along on the screen behind me.
[00:01:57.160 --> 00:02:01.520]   So Psalm 39 is attributed to David,
[00:02:01.520 --> 00:02:03.880]   but the actual circumstances behind these Psalms
[00:02:03.880 --> 00:02:05.240]   is not clear.
[00:02:05.240 --> 00:02:06.860]   But what we can know is this,
[00:02:06.860 --> 00:02:10.480]   this is an individual lament to the Lord,
[00:02:10.480 --> 00:02:14.320]   and this is a Psalm that is basically lament,
[00:02:14.320 --> 00:02:16.620]   pouring out a complaint to the Lord.
[00:02:16.620 --> 00:02:19.520]   So let's look at Psalm 39 together.
[00:02:19.520 --> 00:02:22.280]   (pages rustling)
[00:02:22.280 --> 00:02:24.080]   Verse one.
[00:02:24.080 --> 00:02:30.000]   I say, I will watch my ways and keep my tongue from sin.
[00:02:30.000 --> 00:02:31.660]   I will put a muzzle on my mouth
[00:02:31.660 --> 00:02:33.540]   while in the presence of the wicked.
[00:02:33.540 --> 00:02:39.960]   So I remain utterly silent, not even saying anything good.
[00:02:39.960 --> 00:02:41.880]   But my anguish increases.
[00:02:41.880 --> 00:02:44.160]   My heart grew hot within me.
[00:02:44.160 --> 00:02:46.900]   While I meditated, the fire burned.
[00:02:46.900 --> 00:02:49.040]   Then I spoke with my tongue.
[00:02:50.040 --> 00:02:52.360]   So before we can answer the questions
[00:02:52.360 --> 00:02:54.320]   of how, as the people of God,
[00:02:54.320 --> 00:02:56.880]   we can suffer differently than the rest of the world,
[00:02:56.880 --> 00:03:00.160]   we first need to come to terms that, as believers,
[00:03:00.160 --> 00:03:03.720]   we are actually not exempt from suffering in this life.
[00:03:03.720 --> 00:03:04.980]   Again, as believers,
[00:03:04.980 --> 00:03:08.080]   we are not exempt from suffering in this life.
[00:03:08.080 --> 00:03:09.720]   In verse one, we see that the Psalmist,
[00:03:09.720 --> 00:03:13.800]   he chooses to remain silent and to restrain himself,
[00:03:13.800 --> 00:03:15.200]   and this is for two reasons.
[00:03:15.200 --> 00:03:18.440]   First, so that he does not sin against the Lord.
[00:03:18.440 --> 00:03:23.080]   And secondly, because the evil and the wicked are present.
[00:03:23.080 --> 00:03:25.240]   Again, the actual circumstances behind the Psalmist
[00:03:25.240 --> 00:03:28.280]   is not clear, but it is very possible
[00:03:28.280 --> 00:03:31.160]   that these wicked people have somewhat contributed
[00:03:31.160 --> 00:03:32.920]   to his suffering as well.
[00:03:32.920 --> 00:03:37.100]   And one of the realities of living in a broken
[00:03:37.100 --> 00:03:39.320]   and fallen world is that even sometimes
[00:03:39.320 --> 00:03:41.480]   our best attempt to do the right thing
[00:03:41.480 --> 00:03:45.000]   might actually bring us undesirable results.
[00:03:45.000 --> 00:03:46.440]   Maybe some of you here,
[00:03:46.440 --> 00:03:48.760]   you might lose a job promotion at your work
[00:03:48.760 --> 00:03:51.520]   because you choose to hold on to your Christian ethics
[00:03:51.520 --> 00:03:53.300]   or Christian morals.
[00:03:53.300 --> 00:03:55.000]   Or maybe for some of you,
[00:03:55.000 --> 00:03:57.200]   you might become a target or outcast
[00:03:57.200 --> 00:04:00.400]   in different social settings because, once again,
[00:04:00.400 --> 00:04:02.800]   you choose to remain outspoken about your faith.
[00:04:02.800 --> 00:04:06.740]   And maybe for some of you, you might lose a friendship
[00:04:06.740 --> 00:04:09.640]   because you choose to speak the truth and remain truthful.
[00:04:09.640 --> 00:04:14.660]   And this is exactly what the Psalmist is experiencing here.
[00:04:14.660 --> 00:04:17.500]   Despite his best effort to do the right thing,
[00:04:17.500 --> 00:04:20.100]   which in this case is to restrain himself
[00:04:20.100 --> 00:04:21.960]   and to not speak up,
[00:04:21.960 --> 00:04:25.400]   we see that his situation actually become worse
[00:04:25.400 --> 00:04:28.240]   and that the anguish increase within him,
[00:04:28.240 --> 00:04:29.800]   his anguish intensify.
[00:04:29.800 --> 00:04:33.360]   So, can you sense the frustration
[00:04:33.360 --> 00:04:35.860]   that the Psalmist is experiencing right here?
[00:04:35.860 --> 00:04:38.560]   And can you think of similar situation
[00:04:38.560 --> 00:04:40.560]   in your personal life as well?
[00:04:40.560 --> 00:04:43.420]   Maybe you know that you are doing the right thing.
[00:04:43.420 --> 00:04:44.960]   You know that you are doing the way
[00:04:44.960 --> 00:04:47.020]   that God would want you to do,
[00:04:47.020 --> 00:04:49.720]   but the outcome of it might just not be favorable
[00:04:49.720 --> 00:04:50.560]   towards you.
[00:04:50.560 --> 00:04:56.740]   And as a result of that, we see that the Psalmist,
[00:04:56.740 --> 00:04:59.040]   he could no longer hold back his silence
[00:04:59.040 --> 00:05:01.340]   and he finally decide to speak up.
[00:05:01.340 --> 00:05:02.920]   So, listen to what he has to say
[00:05:02.920 --> 00:05:04.720]   when he finally decide to speak up.
[00:05:04.720 --> 00:05:06.680]   So, verse four.
[00:05:06.680 --> 00:05:13.140]   Show me, Lord, my life's end and the number of my days.
[00:05:13.400 --> 00:05:15.580]   Let me know how fleeting my life is.
[00:05:15.580 --> 00:05:19.640]   You have made my days a mere hand breath.
[00:05:19.640 --> 00:05:23.080]   The span of my years is as nothing before you.
[00:05:23.080 --> 00:05:27.380]   Everyone is but a breath, even those who seem secure.
[00:05:27.380 --> 00:05:32.120]   Surely everyone goes around like a mere phantom.
[00:05:32.120 --> 00:05:35.240]   In vain they rush about, heaping up wealth
[00:05:35.240 --> 00:05:37.480]   without knowing whose it will finally be.
[00:05:37.480 --> 00:05:41.060]   And so, let us just pause here for a moment.
[00:05:42.700 --> 00:05:44.620]   This three verse that we have just read through,
[00:05:44.620 --> 00:05:46.980]   the imagery that if you just try to like
[00:05:46.980 --> 00:05:50.200]   paint a picture of it, it is actually kind of bleak
[00:05:50.200 --> 00:05:51.900]   and in some ways hopeless, right?
[00:05:51.900 --> 00:05:55.960]   And so, again, before we can answer the questions
[00:05:55.960 --> 00:05:59.600]   of how as the people of God we can suffer differently,
[00:05:59.600 --> 00:06:02.920]   we need to acknowledge that suffering and death
[00:06:02.920 --> 00:06:05.080]   is part of our human experience,
[00:06:05.080 --> 00:06:07.480]   living in a broken and fallen world.
[00:06:07.480 --> 00:06:10.920]   So, what is the Psalmist's request here
[00:06:10.920 --> 00:06:12.560]   to the Lord in verse four?
[00:06:12.560 --> 00:06:15.080]   He asks, "Show me, Lord, my life's end
[00:06:15.080 --> 00:06:16.740]   "and the number of my days.
[00:06:16.740 --> 00:06:19.740]   "Let me know how fleeting my life is."
[00:06:19.740 --> 00:06:21.280]   In some of the more recent scholarship,
[00:06:21.280 --> 00:06:23.600]   verse four is interpreted not as a request
[00:06:23.600 --> 00:06:26.260]   to know how brief his human life is,
[00:06:26.260 --> 00:06:28.520]   because you already know and acknowledge that
[00:06:28.520 --> 00:06:29.980]   in verse five and six.
[00:06:29.980 --> 00:06:30.820]   But right here in verse four,
[00:06:30.820 --> 00:06:32.840]   this is actually a request to know
[00:06:32.840 --> 00:06:35.100]   how long his suffering would last.
[00:06:35.100 --> 00:06:38.120]   Again, because he understands that suffering and death
[00:06:38.120 --> 00:06:40.960]   is just part of human experience, living in this world.
[00:06:41.980 --> 00:06:44.060]   And the urgency of this request
[00:06:44.060 --> 00:06:46.660]   to know how long his suffering would last
[00:06:46.660 --> 00:06:49.300]   is then further reinforced by his own acknowledgement
[00:06:49.300 --> 00:06:50.860]   in verse five and six that,
[00:06:50.860 --> 00:06:54.540]   "Yes, surely, life is indeed brief,
[00:06:54.540 --> 00:06:57.740]   "and even our human effort can be meaningless as well."
[00:06:57.740 --> 00:07:02.740]   So, our English translation might not capture this well,
[00:07:02.740 --> 00:07:04.180]   but in these three verses,
[00:07:04.180 --> 00:07:07.380]   there's a Hebrew word that is being repeated twice
[00:07:07.380 --> 00:07:09.100]   that is the Hebrew word hevel.
[00:07:09.100 --> 00:07:13.300]   It is being translated as mere hand breath in verse five,
[00:07:13.300 --> 00:07:17.220]   and in verse six, it is being translated as in vain.
[00:07:17.220 --> 00:07:20.180]   So, this word hevel is actually a major theme
[00:07:20.180 --> 00:07:23.260]   in the wisdom literature of Ecclesiastes.
[00:07:23.260 --> 00:07:24.700]   And in a more literal sense,
[00:07:24.700 --> 00:07:28.800]   it just means something like a breath or a vapor.
[00:07:28.800 --> 00:07:30.720]   And in a more metaphorical sense,
[00:07:30.720 --> 00:07:35.700]   it can refer to something that is fleeting or elusive.
[00:07:35.700 --> 00:07:38.000]   So, in the book of Ecclesiastes,
[00:07:38.000 --> 00:07:41.300]   with everything under the sun being deemed as hevel
[00:07:41.300 --> 00:07:43.880]   or being deemed as meaningless,
[00:07:43.880 --> 00:07:46.380]   the author actually concludes at the end of the book
