
[00:00:00.000 --> 00:00:04.000]  上次說到雅各舉家到埃及之前
[00:00:04.000 --> 00:00:08.000]  雅各帶同子女、孫子和所有後裔
[00:00:08.000 --> 00:00:11.000]  包括生畜和財物
[00:00:11.000 --> 00:00:15.000]  到遍士巴這個地方
[00:00:15.000 --> 00:00:18.000]  雅各在遍士巴這個地方
[00:00:18.000 --> 00:00:22.000]  他先來到鄉耶和華獻祭
[00:00:22.000 --> 00:00:25.000]  雅各求告耶和華神
[00:00:25.000 --> 00:00:29.000]  究竟雅各為何要先求告耶和華神呢?
[00:00:29.000 --> 00:00:34.000]  我們在經文46章3-4說
[00:00:34.000 --> 00:00:40.000]  神在異象當中和雅各的對話
[00:00:40.000 --> 00:00:45.000]  神說:我是神,就是你父親的神
[00:00:45.000 --> 00:00:48.000]  你下埃及去,不要害怕
[00:00:48.000 --> 00:00:51.000]  因為我必使你那女成為大族
[00:00:51.000 --> 00:00:55.000]  我要和你同下埃及去
[00:00:55.000 --> 00:00:59.000]  在雅各的異象當中,雅各很清楚知道
[00:00:59.000 --> 00:01:04.000]  離開迦南,去到埃及定居是神的心意
[00:01:04.000 --> 00:01:09.000]  而且神應許過一定與雅各同行到埃及
[00:01:09.000 --> 00:01:13.000]  也會與雅各同回到迦南
[00:01:13.000 --> 00:01:16.000]  神又在異象當中鼓勵雅各
[00:01:16.000 --> 00:01:18.000]  也提醒雅各
[00:01:18.000 --> 00:01:22.000]  神的應許將來雅各的家庭
[00:01:22.000 --> 00:01:25.000]  必成為大族
[00:01:25.000 --> 00:01:30.000]  於是雅各安心帶同所有人和生畜
[00:01:30.000 --> 00:01:34.000]  乘坐法老的車離開迦南
[00:01:34.000 --> 00:01:37.000]  在人的立場
[00:01:37.000 --> 00:01:43.000]  雅各當然重視與約瑟的大團圓
[00:01:43.000 --> 00:01:46.000]  但雅各更看重的是
[00:01:46.000 --> 00:01:50.000]  神是否喜悅整個家庭
[00:01:50.000 --> 00:01:53.000]  究竟喜不喜悅整個雅各家族
[00:01:53.000 --> 00:01:57.000]  由離開迦南,移居到埃及
[00:01:57.000 --> 00:02:01.000]  當雅各在比斯巴憲制後
[00:02:01.000 --> 00:02:04.000]  雅各肯定耶和華神的心意
[00:02:04.000 --> 00:02:07.000]  耶和華願意同在同行
[00:02:07.000 --> 00:02:11.000]  雅各才肯放心舉家前往埃及
[00:02:11.000 --> 00:02:14.000]  當年,大家舉家,移民
[00:02:14.000 --> 00:02:17.000]  又或者要到外國讀書
[00:02:17.000 --> 00:02:23.000]  甚或打算到其他城市、國家發展時
[00:02:23.000 --> 00:02:26.000]  不知道大家有沒有像雅各一樣
[00:02:26.000 --> 00:02:28.000]  先來求告神
[00:02:28.000 --> 00:02:31.000]  很清楚知道是神的心意
[00:02:31.000 --> 00:02:34.000]  才最後決定和行動呢?
[00:02:34.000 --> 00:02:39.000]  又或者,當我們要復和一段已經破壞的關係
[00:02:39.000 --> 00:02:43.000]  希望已經破壞的關係可以得到復和
[00:02:43.000 --> 00:02:46.000]  最後能夠大團圓結局
[00:02:46.000 --> 00:02:50.000]  不知道大家有沒有試過邀請神的介入呢?
[00:02:50.000 --> 00:02:55.000]  甚或我們有沒有為別人的復和而祈禱
[00:02:55.000 --> 00:03:00.000]  讓神介入在一段已經破壞的關係中呢?
[00:03:00.000 --> 00:03:04.000]  經文29-30
[00:03:04.000 --> 00:03:10.000]  當約瑟知道父親已經到達歌山這個地方
[00:03:10.000 --> 00:03:15.000]  約瑟就前往歌山,親自迎接父親
[00:03:15.000 --> 00:03:19.000]  可見當時約瑟極之心急
[00:03:19.000 --> 00:03:23.000]  畢竟約瑟和親父已經分隔二十多年
[00:03:23.000 --> 00:03:25.000]  一旦父子重逢
[00:03:25.000 --> 00:03:29.000]  大家可以想像一下當時的情景
[00:03:29.000 --> 00:03:32.000]  一個四十多歲的中年男人
[00:03:32.000 --> 00:03:34.000]  竟然像小孩子一樣
[00:03:34.000 --> 00:03:38.000]  伏在父親的頸上大哭
[00:03:38.000 --> 00:03:40.000]  不知道大家有沒有試過呢?
[00:03:40.000 --> 00:03:45.000]  像約瑟一樣伏在自己的父親頸上大哭
[00:03:45.000 --> 00:03:49.000]  我相信當時的場面都很感動
[00:03:49.000 --> 00:03:53.000]  而且是一幅相當美麗的圖畫
[00:03:53.000 --> 00:03:56.000]  彼此之間的情景流露
[00:03:56.000 --> 00:04:00.000]  又是否我們渴望經歷的場面呢?
[00:04:00.000 --> 00:04:05.000]  還是只是在戲劇中我們才可以看見
[00:04:05.000 --> 00:04:09.000]  當父子重逢,一家人可以團聚之後
[00:04:09.000 --> 00:04:12.000]  接下來,故事又會如何發展呢?
[00:04:12.000 --> 00:04:16.000]  下一次,我會再和大家繼續探討
[00:04:16.000 --> 00:04:23.000]  MING PAO CANADA | MING PAO TORONTO

