
[00:00:00.000 --> 00:00:01.920]   - Thanks, Kelly.
[00:00:01.920 --> 00:00:05.300]   Well, why don't we say hi to your neighbors?
[00:00:05.300 --> 00:00:08.600]   I know some of us are out of town
[00:00:08.600 --> 00:00:10.960]   and cannot be here this week,
[00:00:10.960 --> 00:00:13.640]   and there are people who have gotten
[00:00:13.640 --> 00:00:17.880]   to some minor or major car accident
[00:00:17.880 --> 00:00:19.720]   in the past week or two,
[00:00:19.720 --> 00:00:22.060]   and our prayers go out to them
[00:00:22.060 --> 00:00:24.320]   and to continue to pray for them,
[00:00:24.320 --> 00:00:26.360]   especially Phoebe.
[00:00:26.360 --> 00:00:27.680]   Phoebe's still on break
[00:00:27.680 --> 00:00:29.720]   because of the serious car accident.
[00:00:29.720 --> 00:00:34.280]   She's fine, but she does need more time
[00:00:34.280 --> 00:00:36.740]   to recuperate, all right?
[00:00:36.740 --> 00:00:38.580]   So let's keep praying for them
[00:00:38.580 --> 00:00:40.920]   and praying for our church ministry.
[00:00:40.920 --> 00:00:44.160]   Today, we are going to finish our series
[00:00:44.160 --> 00:00:46.680]   on atomic wisdom, okay?
[00:00:46.680 --> 00:00:47.520]   Atomic wisdom.
[00:00:47.520 --> 00:00:48.840]   This is part three, okay?
[00:00:48.840 --> 00:00:50.640]   Let me move this around.
[00:00:50.640 --> 00:00:51.480]   Part three.
[00:00:51.480 --> 00:00:53.980]   What we are doing is that we take
[00:00:53.980 --> 00:00:56.360]   one of the best seller out there,
[00:00:57.560 --> 00:01:01.400]   and the book is called "Atomic Habits," all right?
[00:01:01.400 --> 00:01:04.040]   Some of you might have heard of this book,
[00:01:04.040 --> 00:01:05.440]   "Atomic Habits."
[00:01:05.440 --> 00:01:07.240]   It's a very popular book.
[00:01:07.240 --> 00:01:09.440]   It talks about behavioral psychology.
[00:01:09.440 --> 00:01:12.480]   It talks about how we build good habits,
[00:01:12.480 --> 00:01:13.440]   and we ask the question,
[00:01:13.440 --> 00:01:16.400]   what kind of conditions are necessary for life change?
[00:01:16.400 --> 00:01:18.240]   What kind of conditions are necessary
[00:01:18.240 --> 00:01:22.200]   for the probability of achieving your goal?
[00:01:22.200 --> 00:01:26.160]   In the new year, some of us might have some new goals, right?
[00:01:26.160 --> 00:01:30.360]   You may have new goals to be on diet
[00:01:30.360 --> 00:01:34.300]   or do more exercise or be more healthy,
[00:01:34.300 --> 00:01:35.360]   something like that.
[00:01:35.360 --> 00:01:38.240]   We try to draw insight from this book
[00:01:38.240 --> 00:01:40.880]   called "Atomic Habits,"
[00:01:40.880 --> 00:01:43.280]   and it's already translated into different language,
[00:01:43.280 --> 00:01:44.560]   Chinese included,
[00:01:44.560 --> 00:01:49.480]   and it draws so much insight from behavioral psychology
[00:01:49.480 --> 00:01:53.220]   and trying to help us to set up a system,
[00:01:53.220 --> 00:01:56.800]   how to set up our life in general
[00:01:56.800 --> 00:01:59.540]   to have good habit, to have healthy habit,
[00:01:59.540 --> 00:02:03.300]   and we wanna combine this so-called secular insights
[00:02:03.300 --> 00:02:06.340]   into biblical wisdom,
[00:02:06.340 --> 00:02:09.100]   and that is on the right, the book of Proverbs,
[00:02:09.100 --> 00:02:11.260]   and if you wanna find the book of Proverbs in the Bible,
[00:02:11.260 --> 00:02:14.060]   it's right in the middle after the book of Psalms.
[00:02:14.060 --> 00:02:17.620]   The book of Proverbs is the part of the wisdom literature,
[00:02:17.620 --> 00:02:18.580]   and this is part three,
[00:02:18.580 --> 00:02:21.860]   so we're going to reveal what are the principle
[00:02:21.860 --> 00:02:25.660]   that are necessary for life change,
[00:02:25.660 --> 00:02:29.340]   and number one, we talk about 1% power, right?
[00:02:29.340 --> 00:02:32.060]   Remember, if you do a tiny change every day
[00:02:32.060 --> 00:02:35.300]   after a whole year of 360-some days,
[00:02:35.300 --> 00:02:38.260]   you will receive or you will achieve your goal
[00:02:38.260 --> 00:02:43.260]   in 30-some fold multiplication,
[00:02:43.260 --> 00:02:46.380]   and do not estimate the tiny power
[00:02:46.380 --> 00:02:51.380]   of every tiny change that you do every single day,
[00:02:51.580 --> 00:02:53.580]   and principle number two is incentives
[00:02:53.580 --> 00:02:56.780]   or disincentives are effective,
[00:02:56.780 --> 00:02:59.260]   incentives and disincentives.
[00:02:59.260 --> 00:03:01.720]   If you set up some goal in your life,
[00:03:01.720 --> 00:03:03.540]   for our church, for our fellowship,
[00:03:03.540 --> 00:03:07.160]   probably we're gonna read the Bible a little bit more,
[00:03:07.160 --> 00:03:09.240]   or we wanna pray more,
[00:03:09.240 --> 00:03:13.660]   we wanna build up some of the good habits,
[00:03:13.660 --> 00:03:17.820]   and we do need to set up some incentives and disincentives,
[00:03:17.820 --> 00:03:19.660]   but tell you the truth.
[00:03:19.660 --> 00:03:23.940]   I finished this series in the 10 o'clock service,
[00:03:23.940 --> 00:03:26.560]   and after the part three, after this one,
[00:03:26.560 --> 00:03:29.540]   a brother came up to me, and he said,
[00:03:29.540 --> 00:03:30.460]   thank you for your message,
[00:03:30.460 --> 00:03:33.020]   thank you for encouraging us to set up a good habit,
[00:03:33.020 --> 00:03:38.020]   good life, and he pulled out an envelope from his pocket
[00:03:38.020 --> 00:03:43.820]   and gave me $50, because he heard the first part of message,
[00:03:43.820 --> 00:03:45.860]   and he wanna build up some good habit,
[00:03:45.860 --> 00:03:48.740]   and he wants to have some incentive
[00:03:48.740 --> 00:03:51.100]   or disincentive in his life,
[00:03:51.100 --> 00:03:55.220]   so he was encouraged by the message, by the insight,
[00:03:55.220 --> 00:03:57.420]   and he built up some good habit,
[00:03:57.420 --> 00:03:59.340]   and after part three of the series,
[00:03:59.340 --> 00:04:02.300]   he came up to me and gave me $50, yeah,
[00:04:02.300 --> 00:04:05.260]   praise God, right, praise God, $50.
[00:04:05.260 --> 00:04:08.760]   Anyways, so you have to think about life changing,
[00:04:08.760 --> 00:04:13.700]   it's necessary to have some benefits, some incentives,
[00:04:13.700 --> 00:04:16.420]   right, you go to the gym, you get some incentive,
[00:04:16.420 --> 00:04:18.340]   and you're gonna praise yourself,
[00:04:18.340 --> 00:04:20.540]   or you wanna uplift yourself,
[00:04:20.540 --> 00:04:25.540]   so you have system with incentive or disincentives.
[00:04:25.540 --> 00:04:30.460]   Number three is specifics are better than generals, right,
[00:04:30.460 --> 00:04:32.820]   set up a goal, set up a system,
[00:04:32.820 --> 00:04:35.700]   which is as specific as possible.
[00:04:35.700 --> 00:04:40.700]   Number four is that our community is important,
[00:04:40.700 --> 00:04:43.300]   because the people that we hang out with,
[00:04:43.300 --> 00:04:46.420]   the people that we see a lot,
[00:04:46.420 --> 00:04:49.340]   will have influence on us, so the community is important.
[00:04:49.340 --> 00:04:54.340]   Number five is the power of default, default, all right,
[00:04:54.340 --> 00:04:57.580]   so you set up your habit, and you say,
[00:04:57.580 --> 00:05:02.380]   this is the priority, and this is the default of my life.
[00:05:02.380 --> 00:05:05.140]   Every single morning, what are your defaults?
[00:05:05.140 --> 00:05:09.420]   You wake up, and you brush your teeth,
[00:05:09.420 --> 00:05:13.180]   wash your face, right, these are your default, right,
[00:05:13.180 --> 00:05:16.620]   so in order to have good habit in our life,
[00:05:16.620 --> 00:05:19.180]   you have to have, you have to understand
[00:05:19.180 --> 00:05:23.020]   the power of default, the effect of default, all right,
[00:05:23.020 --> 00:05:28.020]   so the assumption to make this habit possible.
[00:05:28.020 --> 00:05:31.420]   Number six is making it personal, all right,
[00:05:31.420 --> 00:05:34.420]   making it personal, either you find a friend
[00:05:34.420 --> 00:05:36.220]   who is keeping you accountable,
[00:05:36.220 --> 00:05:41.100]   making it personal will make it even more possible
[00:05:41.100 --> 00:05:44.020]   to have your new habit set up.
[00:05:44.020 --> 00:05:45.700]   So number seven now, number seven
[00:05:45.700 --> 00:05:48.340]   is the power of environment, all right,
[00:05:48.340 --> 00:05:52.400]   so you need to understand, if you want your life to change,
[00:05:52.400 --> 00:05:54.900]   or you want a kid's life change,
[00:05:54.900 --> 00:05:57.980]   we need to set up a good environment, good environment,
[00:05:57.980 --> 00:06:01.460]   the physical environment have so much impact on us,
[00:06:01.460 --> 00:06:04.320]   all the people around us, all right.
[00:06:04.320 --> 00:06:06.540]   Many, many years ago, many years ago,
[00:06:06.540 --> 00:06:11.020]   many, many years ago, I used to have a TV in my bedroom,
[00:06:12.020 --> 00:06:15.460]   a TV in my bedroom, somebody gave me a TV, right,
[00:06:15.460 --> 00:06:17.700]   so I said, where should I put it?
[00:06:17.700 --> 00:06:19.500]   I put it in my bedroom, right,
[00:06:19.500 --> 00:06:21.200]   you think it's a good environment?
[00:06:21.200 --> 00:06:26.340]   No, right, no, it was so bad, it was so bad,
[00:06:26.340 --> 00:06:30.180]   so I took it off, right, because when we had the TV
[00:06:30.180 --> 00:06:35.060]   in the bedroom, you know, it disrupt my sleep, right,
[00:06:35.060 --> 00:06:37.900]   and my kids, when they were so much younger,
[00:06:37.900 --> 00:06:40.140]   they come into my bedroom all the time,
[00:06:40.140 --> 00:06:43.420]   because they wanna watch TV, or lying on the bed, you know,
[00:06:43.420 --> 00:06:48.180]   so I remove it, because it was a bad environmental setup.
[00:06:48.180 --> 00:06:52.600]   So behavioral psychology here, study finds that
[00:06:52.600 --> 00:06:55.180]   how people maintain a diet,
[00:06:55.180 --> 00:06:58.200]   how people maintain a good diet.
[00:06:58.200 --> 00:07:03.580]   As you know, in the United States, we eat too much, right,
[00:07:03.580 --> 00:07:06.300]   we have so much to eat, we have so much to eat,
[00:07:06.300 --> 00:07:08.220]   we always eat too much.
[00:07:09.100 --> 00:07:13.700]   Well, study finds that it is simple to maintain a diet,
[00:07:13.700 --> 00:07:18.100]   to eat a little bit less, and the method is very simple.
[00:07:18.100 --> 00:07:22.340]   You make a habit before you have a meal,
[00:07:22.340 --> 00:07:25.860]   you drink two glasses of water, right,
[00:07:25.860 --> 00:07:27.020]   you drink two glasses of water,
[00:07:27.020 --> 00:07:30.200]   then you will eat a little bit less, right,
[00:07:30.200 --> 00:07:32.220]   that makes sense, right?
[00:07:32.220 --> 00:07:36.420]   Many, many years ago, when my kids were still so much younger,
[00:07:36.420 --> 00:07:37.940]   five year old, six year old, you know,
[00:07:37.940 --> 00:07:42.700]   sometimes we, in Chicago, we drive all the way to Toronto,
[00:07:42.700 --> 00:07:45.580]   right, to have some good Chinese food, right, yeah.
[00:07:45.580 --> 00:07:47.140]   Here, the Chinese food is fine too,
[00:07:47.140 --> 00:07:48.340]   but you know, you go in Toronto,
[00:07:48.340 --> 00:07:50.300]   you got so much better, right?
[00:07:50.300 --> 00:07:55.300]   So many years ago, we go to Toronto for family trip,
[00:07:55.300 --> 00:07:58.820]   because the kids were so young,
[00:07:58.820 --> 00:08:03.760]   they did not know how to appreciate good food, right?
[00:08:03.760 --> 00:08:06.260]   The expensive food, they don't know how to appreciate it.
[00:08:06.260 --> 00:08:09.300]   So we, as good parents, we bring the kids first
[00:08:09.300 --> 00:08:13.180]   to the bakery, so we buy them a bun or so,
[00:08:13.180 --> 00:08:15.220]   and fill up their stomach,
[00:08:15.220 --> 00:08:17.580]   and then we go to a good restaurant, right?
[00:08:17.580 --> 00:08:20.180]   So we adults can enjoy it, right?
[00:08:20.180 --> 00:08:24.060]   That sounds like a very, very good insightful wisdom, right?
[00:08:24.060 --> 00:08:25.660]   We save a lot of money, right?
[00:08:25.660 --> 00:08:28.460]   Because we only buy good food for ourselves, right?
[00:08:28.460 --> 00:08:29.820]   Because they don't know how to appreciate it,
[00:08:29.820 --> 00:08:32.180]   why spend the money on them, right?
[00:08:32.180 --> 00:08:37.180]   So, the study finds that if your stomach
[00:08:37.180 --> 00:08:41.940]   is a little bit full, then you go to the meal,
[00:08:41.940 --> 00:08:46.940]   then there's a bigger chance for you to maintain a good diet.
[00:08:46.940 --> 00:08:52.020]   And the flip side is telling us that new habit,
[00:08:52.020 --> 00:08:54.380]   you have to make it easy and natural.
[00:08:54.380 --> 00:08:57.900]   And there are some behavioral psychological study
[00:08:57.900 --> 00:09:02.900]   done for cafeteria of a hospital in Boston.
[00:09:02.900 --> 00:09:05.460]   And the study is trying to find out
[00:09:05.460 --> 00:09:09.940]   how to encourage the staff to get healthy food
[00:09:09.940 --> 00:09:11.620]   in the cafeteria.
[00:09:11.620 --> 00:09:14.340]   And the plan is very simple,
[00:09:14.340 --> 00:09:18.380]   is to change the layout of the cafeteria.
[00:09:18.380 --> 00:09:21.220]   Change the layout of the cafeteria.
[00:09:21.220 --> 00:09:26.060]   Simply by changing the layout, you get so much effect.
[00:09:26.060 --> 00:09:30.820]   Now, the layout change has to do with bottled water
[00:09:30.820 --> 00:09:34.060]   being put at the entrance of the cafeteria.
[00:09:34.060 --> 00:09:37.220]   And fountain drink, where do you put it?
[00:09:37.220 --> 00:09:39.380]   You put it all the way back, right?
[00:09:39.380 --> 00:09:42.120]   Make it difficult for you to get fountain drink, soda.
[00:09:42.120 --> 00:09:45.580]   So, after three months, the study finds
[00:09:45.580 --> 00:09:50.580]   that water consumption increases 25.8%,
[00:09:50.580 --> 00:09:56.020]   and soda consumption drops by 11.4%.
[00:09:57.020 --> 00:09:58.060]   Isn't that amazing?
[00:09:58.060 --> 00:10:00.420]   It's the same way.
[00:10:00.420 --> 00:10:05.420]   I mean, many of you go to office and work in the office.
[00:10:05.420 --> 00:10:10.140]   Sometimes you find office cafeteria layout intentionally
[00:10:10.140 --> 00:10:13.060]   to discourage you to get snack food.
[00:10:13.060 --> 00:10:18.180]   Snack bowl or candy bowl or junk food
[00:10:18.180 --> 00:10:20.560]   is being placed in the breakout room.
[00:10:21.660 --> 00:10:25.780]   And then the healthy food or water is being put
[00:10:25.780 --> 00:10:29.260]   on some place where it's convenient.
[00:10:29.260 --> 00:10:31.540]   What goes wrong in the last few years
[00:10:31.540 --> 00:10:34.140]   is that people working from home now, right?
[00:10:34.140 --> 00:10:36.460]   And that is bad, right?
[00:10:36.460 --> 00:10:37.300]   That is bad.
[00:10:37.300 --> 00:10:40.760]   Because in the pandemics, everybody works from home,
[00:10:40.760 --> 00:10:43.880]   works at home, and there's a huge temptation, right?
[00:10:43.880 --> 00:10:45.940]   You work from home, right?
[00:10:45.940 --> 00:10:49.600]   With your computer, and kitchen is right next to you,
[00:10:49.600 --> 00:10:51.760]   and you get hungry, right?
[00:10:51.760 --> 00:10:56.020]   You get boring, and then you go to find some potato chips
[00:10:56.020 --> 00:10:58.480]   or some snack food, right?
[00:10:58.480 --> 00:11:00.480]   And that is unhealthy.
[00:11:00.480 --> 00:11:03.640]   And actually, the biblical wisdom has so much to say
[00:11:03.640 --> 00:11:06.640]   about our environment, especially about the people
[00:11:06.640 --> 00:11:08.020]   that we hang out with.
[00:11:08.020 --> 00:11:10.080]   They have effect on us.
[00:11:10.080 --> 00:11:13.080]   Proverbs 27, 17.
[00:11:13.080 --> 00:11:14.920]   27, 17.
[00:11:14.920 --> 00:11:19.320]   It says, "As iron sharpens iron,
[00:11:19.320 --> 00:11:22.500]   "as one man sharpens the face of his friend."
[00:11:22.500 --> 00:11:27.760]   It says, "If you surround yourself with good friends."
[00:11:27.760 --> 00:11:30.220]   Now, in the immediate context of chapter 27,
[00:11:30.220 --> 00:11:32.560]   it talks about bad relationships.
[00:11:32.560 --> 00:11:37.040]   So 15 or 14, verse 13, talk about bad relationship,
