
[00:00:00.000 --> 00:00:03.740]  好 今天我們繼續看上帝的話語
[00:00:03.740 --> 00:00:06.240]  我們敬拜的時候 需要聽上帝的話語
[00:00:06.240 --> 00:00:08.580]  上帝的話語記載在聖經裏面
[00:00:08.580 --> 00:00:11.780]  聖經就是上帝的啟示
[00:00:11.780 --> 00:00:15.000]  如果我們說 上帝何時會跟我說話
[00:00:15.000 --> 00:00:18.800]  上帝可以報夢給你 可以雷劈
[00:00:18.800 --> 00:00:20.800]  可以用很多不同的方法
[00:00:20.800 --> 00:00:25.080]  但最權威的方法 最重要 最標準
[00:00:25.080 --> 00:00:28.580]  最高的標準
[00:00:28.580 --> 00:00:30.580]  就是上帝的話語 就是聖經
[00:00:30.580 --> 00:00:32.580]  所以你記得
[00:00:32.580 --> 00:00:34.580]  你剛開始信主的時候
[00:00:34.580 --> 00:00:38.580]  開始教會去摸索一下
[00:00:38.580 --> 00:00:41.580]  到底基督的信仰是一回事
[00:00:41.580 --> 00:00:43.580]  信耶穌是一回事
[00:00:43.580 --> 00:00:45.580]  你通常都會想到
[00:00:45.580 --> 00:00:49.580]  唱詩敬拜
[00:00:49.580 --> 00:00:50.580]  敬拜我們說過了
[00:00:50.580 --> 00:00:53.580]  就是其中一個最重要的環節
[00:00:53.580 --> 00:00:55.580]  另一個環節是不能夠沒有的
[00:00:55.580 --> 00:00:59.580]  就是去摸索一下 到底那本聖經是說什麼的
[00:00:59.580 --> 00:01:01.580]  聖經難不難看
[00:01:01.580 --> 00:01:03.580]  聖經難不難看
[00:01:03.580 --> 00:01:05.580]  是難的
[00:01:05.580 --> 00:01:06.580]  是難的
[00:01:06.580 --> 00:01:08.580]  聖經是挺難看的
[00:01:08.580 --> 00:01:11.580]  但聖經裏面 亦有很多很淺白的東西
[00:01:11.580 --> 00:01:13.580]  一看就明白的
[00:01:13.580 --> 00:01:18.580]  我們隔壁房的兒童主教學時間
[00:01:18.580 --> 00:01:20.580]  兒童的Kids Ministry
[00:01:20.580 --> 00:01:23.580]  他們裏面很多時候 說到聖經裏面的內容
[00:01:23.580 --> 00:01:25.580]  都是說一些比較簡單的
