
[00:00:00.000 --> 00:00:03.000]  今天我們開始一個新的系列
[00:00:03.000 --> 00:00:05.000]  這個系列叫做
[00:00:05.000 --> 00:00:08.000]  與人同在的神
[00:00:08.000 --> 00:00:14.000]  我們可能第一次接觸聖經
[00:00:14.000 --> 00:00:16.000]  你不知道聖經是甚麼
[00:00:16.000 --> 00:00:19.000]  或者你可能信了一段時間
[00:00:19.000 --> 00:00:21.000]  你不知道聖經是甚麼
[00:00:21.000 --> 00:00:23.000]  你可能信了一段時間
[00:00:23.000 --> 00:00:25.000]  你不知道聖經是甚麼
[00:00:25.000 --> 00:00:27.000]  你可能信了一段時間
[00:00:27.000 --> 00:00:30.000]  或者你可能信了一段時間
[00:00:30.000 --> 00:00:32.000]  你到底問一下
[00:00:32.000 --> 00:00:34.000]  到底聖經這麼厚
[00:00:34.000 --> 00:00:37.000]  到底是一本怎樣的書呢
[00:00:37.000 --> 00:00:41.000]  所以這個系列是為
[00:00:41.000 --> 00:00:43.000]  如果你是第一次接觸信仰
[00:00:43.000 --> 00:00:44.000]  你不是很清楚
[00:00:44.000 --> 00:00:46.000]  有時候你聽到的時候
[00:00:46.000 --> 00:00:47.000]  聽到牧師說
[00:00:47.000 --> 00:00:49.000]  不知道在哪裡找那段經文
[00:00:49.000 --> 00:00:51.000]  你找都未找到他已經說完了
[00:00:51.000 --> 00:00:53.000]  我們這個系列
[00:00:53.000 --> 00:00:55.000]  我們會特別為你而設
[00:00:55.000 --> 00:00:57.000]  但如果你信了主很久
[00:00:57.000 --> 00:00:59.000]  你不要覺得這些只是基本功
[00:00:59.000 --> 00:01:02.000]  可能你都夢察察
[00:01:02.000 --> 00:01:05.000]  你裡面下載了不同的
[00:01:05.000 --> 00:01:07.000]  聖經的章節、金句
[00:01:07.000 --> 00:01:09.000]  或者一些故事
[00:01:09.000 --> 00:01:11.000]  你都不知道如何擺放這些東西
[00:01:11.000 --> 00:01:13.000]  大家彼此是如何連繫的
[00:01:13.000 --> 00:01:16.000]  所以這個系列我們會幫你走過
[00:01:16.000 --> 00:01:18.000]  一些聖經裡面
[00:01:18.000 --> 00:01:20.000]  由第一章到最後
[00:01:20.000 --> 00:01:23.000]  一些重要的段落
[00:01:23.000 --> 00:01:25.000]  讓你知道整個上帝的故事
[00:01:25.000 --> 00:01:27.000]  那個藍圖是怎樣的
[00:01:27.000 --> 00:01:29.000]  上帝在世界裡面在做什麼
[00:01:29.000 --> 00:01:32.000]  在人類的社會裡面在做什麼
