
[00:00:00.000 --> 00:00:01.760]   her today, Sam.
[00:00:01.760 --> 00:00:06.300]   (audience applauding)
[00:00:06.300 --> 00:00:09.740]   - Good morning.
[00:00:09.740 --> 00:00:12.160]   I'm honored to be here and excited to be here.
[00:00:12.160 --> 00:00:17.620]   Privileged to be with you in worship today.
[00:00:17.620 --> 00:00:20.820]   Thank you to the worship team for leading us.
[00:00:20.820 --> 00:00:22.900]   I really enjoyed that time of worship in the Lord.
[00:00:22.900 --> 00:00:25.680]   And this morning we're gonna talk about something
[00:00:25.680 --> 00:00:28.540]   that is really important for us,
[00:00:28.540 --> 00:00:30.840]   especially in the modern world that we live in,
[00:00:30.840 --> 00:00:33.640]   and that is learning to love dependence,
[00:00:33.640 --> 00:00:35.480]   learning to love dependence.
[00:00:35.480 --> 00:00:37.400]   And that's a difficult thing for us.
[00:00:37.400 --> 00:00:39.680]   Dependence is not a cultural value
[00:00:39.680 --> 00:00:42.580]   that we are used to embracing.
[00:00:42.580 --> 00:00:44.280]   We live in a culture that really values,
[00:00:44.280 --> 00:00:46.340]   especially in the United States,
[00:00:46.340 --> 00:00:50.120]   really values individualism and independence,
[00:00:50.120 --> 00:00:52.900]   self-reliance, self-sufficiency.
[00:00:52.900 --> 00:00:55.080]   We all feel like that's how we should live
[00:00:55.080 --> 00:00:56.120]   and that's how we wanna be.
[00:00:56.120 --> 00:01:00.220]   We feel like we don't want to need anyone else.
[00:01:00.220 --> 00:01:02.060]   We don't want to have to rely on anyone else.
[00:01:02.060 --> 00:01:06.160]   We wanna be strong and get through things on our own.
[00:01:06.160 --> 00:01:11.160]   But the reality is that's not a biblical value.
[00:01:11.160 --> 00:01:15.580]   And in fact, what the Bible teaches us is the opposite.
[00:01:15.580 --> 00:01:19.440]   The Bible teaches us that we are hopelessly dependent
[00:01:19.440 --> 00:01:23.420]   on God and that we're also,
[00:01:23.420 --> 00:01:25.860]   God made us to be interdependent on one another
[00:01:25.860 --> 00:01:27.460]   in the church.
[00:01:27.460 --> 00:01:30.680]   And so our cultural instincts in the world around us
[00:01:30.680 --> 00:01:32.780]   kinda fight against that.
[00:01:32.780 --> 00:01:35.560]   We say, no, I don't wanna be dependent on God.
[00:01:35.560 --> 00:01:36.720]   I don't wanna be dependent on others.
[00:01:36.720 --> 00:01:39.140]   I wanna do everything on my own.
[00:01:39.140 --> 00:01:45.000]   But we have to learn to embrace the fact that we're human
[00:01:45.000 --> 00:01:47.220]   and that God made us with limitations
[00:01:47.220 --> 00:01:50.220]   and that we need him and that we need one another.
[00:01:50.220 --> 00:01:53.420]   So that's what we're gonna speak about this morning.
[00:01:53.420 --> 00:01:55.760]   We're gonna look at this verse in Genesis chapter two,
[00:01:55.760 --> 00:01:59.440]   verse seven, just one verse.
[00:01:59.440 --> 00:02:01.920]   And if you're not familiar with what's going on
[00:02:01.920 --> 00:02:05.480]   in Genesis two, this is when God is creating.
[00:02:05.480 --> 00:02:08.120]   And so in Genesis one, God's created the universe
[00:02:08.120 --> 00:02:09.560]   and everything in it.
[00:02:09.560 --> 00:02:12.920]   He's created the earth, he's created the animals
[00:02:12.920 --> 00:02:14.320]   and the plants that are on the earth.
[00:02:14.320 --> 00:02:19.240]   And in Genesis two, Genesis one is like an overview
[00:02:19.240 --> 00:02:22.320]   of creation, it gives all the different things God created
[00:02:22.320 --> 00:02:24.640]   and the days and when they were created.
[00:02:24.640 --> 00:02:28.200]   And then Genesis two is like zooming in on day six,
[00:02:28.200 --> 00:02:30.880]   which is when humans were created
[00:02:30.880 --> 00:02:34.920]   and giving us more detail about when we were created.
[00:02:34.920 --> 00:02:38.480]   And so in verse seven, it tells us, speaking about us,
[00:02:38.480 --> 00:02:42.720]   it says, "Then the Lord God formed the man of dust
[00:02:42.720 --> 00:02:45.640]   "from the ground and breathed into his nostrils
[00:02:45.640 --> 00:02:49.280]   "the breath of life, and the man became a living creature."
[00:02:49.280 --> 00:02:54.580]   That's our origin story right there.
[00:02:54.580 --> 00:02:57.680]   The origin story of humanity,
[00:02:57.680 --> 00:02:59.780]   not as glamorous as we think, right?
[00:02:59.780 --> 00:03:02.500]   We didn't get bitten by a radioactive spider
[00:03:02.500 --> 00:03:05.600]   or come from an alien planet.
[00:03:05.600 --> 00:03:09.400]   We got made out of dust and dirt.
[00:03:09.400 --> 00:03:13.840]   That's our origin story, that God formed us from dust
[00:03:13.840 --> 00:03:17.000]   and he literally breathed life into us.
[00:03:17.000 --> 00:03:19.440]   And not just life, but our soul
[00:03:19.440 --> 00:03:22.760]   and everything that it means to be human.
[00:03:22.760 --> 00:03:26.680]   We know in, earlier in Genesis 1, 26 and 27,
[00:03:26.680 --> 00:03:30.320]   it says that God made us in his image.
[00:03:30.320 --> 00:03:32.680]   And one of the things that we need to understand about God
[00:03:32.680 --> 00:03:36.640]   that helps us to understand ourselves is who God is.
[00:03:36.640 --> 00:03:38.500]   And one of the most significant aspects
[00:03:38.500 --> 00:03:41.180]   of Christian theology is the truth
[00:03:41.180 --> 00:03:43.380]   that God is completely distinct
[00:03:43.380 --> 00:03:45.940]   from all of the created order.
[00:03:45.940 --> 00:03:48.480]   God is in a class to himself.
[00:03:48.480 --> 00:03:51.160]   Everything else that has been created,
[00:03:51.160 --> 00:03:52.920]   everything that we interact with,
[00:03:52.920 --> 00:03:57.280]   everything in our world was created or made.
[00:03:57.280 --> 00:03:59.760]   The natural things were made by God.
[00:03:59.760 --> 00:04:04.320]   Buildings and things like that were built by humans.
[00:04:04.320 --> 00:04:07.280]   But everything we see and interact with
[00:04:07.280 --> 00:04:08.600]   was created at some point
[00:04:08.600 --> 00:04:10.240]   and it had a beginning point in time
[00:04:10.240 --> 00:04:13.560]   and it will have an end point in time, including us.
[00:04:13.560 --> 00:04:16.420]   But that's not true of God.
[00:04:16.420 --> 00:04:17.640]   God is completely different
[00:04:17.640 --> 00:04:19.760]   than everything in the created order.
[00:04:19.760 --> 00:04:22.440]   We see in Genesis that God, in the beginning,
[00:04:22.440 --> 00:04:26.400]   God, he already existed before the beginning of the universe.
[00:04:26.400 --> 00:04:28.200]   God was pre-existing, he was eternal.
[00:04:28.200 --> 00:04:33.120]   He needs nothing from no one to exist.
[00:04:33.120 --> 00:04:35.360]   That's who God is.
[00:04:35.360 --> 00:04:39.240]   And that's important to help us understand who we are.
[00:04:39.240 --> 00:04:42.420]   Because God made us in his image,
[00:04:42.420 --> 00:04:43.980]   but not the other way around.
[00:04:43.980 --> 00:04:48.240]   We are like God in some ways.
[00:04:48.240 --> 00:04:49.920]   God made us in his image.
[00:04:49.920 --> 00:04:52.480]   So God gave us a soul, this spiritual part of us
[00:04:52.480 --> 00:04:54.540]   that can have relationship with him.
[00:04:54.540 --> 00:04:57.800]   God gave us some of the things that we see in our own lives.
[00:04:57.800 --> 00:05:00.760]   We see the appreciation for beauty and creativity
[00:05:00.760 --> 00:05:02.840]   and a desire for relationship.
[00:05:02.840 --> 00:05:05.760]   Those are reflections of God.
[00:05:05.760 --> 00:05:10.280]   God obviously loves beauty and he's very creative.
[00:05:10.280 --> 00:05:14.760]   And he is a relational being.
[00:05:14.760 --> 00:05:16.480]   Even in the beginning of Genesis there,
[00:05:16.480 --> 00:05:18.880]   we see God as father, son, and the Holy Spirit
[00:05:18.880 --> 00:05:19.800]   in the act of creation.
[00:05:19.800 --> 00:05:20.720]   God's a relational being.
[00:05:20.720 --> 00:05:21.920]   And we are too.
[00:05:21.920 --> 00:05:22.960]   We're made in God's image.
[00:05:22.960 --> 00:05:25.460]   We're like God in some ways.
[00:05:25.460 --> 00:05:27.880]   But God is not like us in any way.
[00:05:27.880 --> 00:05:30.400]   And so we have to understand,
[00:05:30.400 --> 00:05:33.200]   when we start to think about who God is,
[00:05:33.200 --> 00:05:36.720]   God is completely beyond us.
[00:05:36.720 --> 00:05:41.340]   And we are finite creations of the infinite God.
[00:05:41.340 --> 00:05:43.380]   God is unlimited in every way.
[00:05:43.380 --> 00:05:47.800]   He has all knowledge, he has all power.
[00:05:47.800 --> 00:05:49.320]   His attributes are unlimited.
[00:05:49.320 --> 00:05:54.320]   He is not just loving, but he is perfect love.
[00:05:54.320 --> 00:05:57.600]   He's the definition of what love is.
[00:05:57.600 --> 00:05:59.940]   That's how we know love, because of God.
[00:05:59.940 --> 00:06:02.900]   He is just.
[00:06:02.900 --> 00:06:05.320]   That's how we know what justice is.
[00:06:05.320 --> 00:06:07.960]   Because God is the definition of perfect justice.
[00:06:07.960 --> 00:06:08.780]   He is holy.
[00:06:08.780 --> 00:06:12.540]   That's how we know what's right and holy in the world,
[00:06:12.540 --> 00:06:15.400]   because God is holy.
[00:06:15.400 --> 00:06:17.060]   He's the definition of those things.
[00:06:17.060 --> 00:06:20.640]   God is infinite in every part of who he is.
[00:06:20.640 --> 00:06:22.900]   But we're not.
[00:06:22.900 --> 00:06:28.000]   He created us as finite creations.
[00:06:28.000 --> 00:06:31.040]   We're a part of the created order.
[00:06:31.040 --> 00:06:33.760]   Now we're a very special part of the created order.
[00:06:33.760 --> 00:06:38.760]   God created us as the crowning achievement of his creation.
[00:06:38.760 --> 00:06:41.480]   He gave us, again, his image
[00:06:41.480 --> 00:06:45.760]   and things that no other part of his creation has.
[00:06:45.760 --> 00:06:47.360]   We have a soul, we have the ability
[00:06:47.360 --> 00:06:50.160]   to make moral choices for right or wrong.
[00:06:50.160 --> 00:06:52.520]   We have the ability to have relationship with God
[00:06:52.520 --> 00:06:53.840]   and relationship with one another.
[00:06:53.840 --> 00:06:55.960]   Those are really unique things.
[00:06:55.960 --> 00:07:00.160]   But we are not God.
[00:07:00.160 --> 00:07:01.160]   We are not infinite.
[00:07:01.160 --> 00:07:03.020]   We are finite in our capacity.
[00:07:03.020 --> 00:07:07.000]   And even in the attributes of God's character
[00:07:07.000 --> 00:07:08.400]   that God calls us to reflect,
[00:07:08.400 --> 00:07:10.800]   we reflect those things in a finite way.
[00:07:10.800 --> 00:07:12.280]   God's love is perfect.
[00:07:12.280 --> 00:07:14.020]   We love imperfectly.
[00:07:14.020 --> 00:07:17.320]   And we should seek to love like God.
[00:07:17.320 --> 00:07:18.940]   God calls us to that throughout scripture,
[00:07:18.940 --> 00:07:22.040]   but still, our love is imperfect, it's incomplete.
[00:07:22.040 --> 00:07:24.760]   God is perfectly holy.
[00:07:24.760 --> 00:07:28.800]   Our holiness is always flawed.
[00:07:28.800 --> 00:07:31.240]   We are finite.
[00:07:31.240 --> 00:07:37.200]   And a part of our finitude, the finite part of us,
[00:07:37.840 --> 00:07:41.120]   is that we have limitations.
[00:07:41.120 --> 00:07:44.600]   In verse seven there that we just read,
[00:07:44.600 --> 00:07:48.200]   God formed humans from the dust of the ground.
[00:07:48.200 --> 00:07:49.560]   How did he form us?
[00:07:49.560 --> 00:07:52.760]   He formed us in the way that we
[00:07:52.760 --> 00:07:55.080]   see one another in this room, right?
[00:07:55.080 --> 00:07:57.920]   God gave us spiritual bodies, physical bodies.
[00:07:57.920 --> 00:08:00.080]   He gave us spiritual life as well,
[00:08:00.080 --> 00:08:02.840]   through the universe and do different things.
[00:08:02.840 --> 00:08:06.000]   He gave us this physical container for us to live in.
[00:08:07.160 --> 00:08:11.560]   And that physical container has some limitations, right?
[00:08:11.560 --> 00:08:14.840]   One of the biggest ones is we can only
[00:08:14.840 --> 00:08:17.120]   be in one place at one time.
[00:08:17.120 --> 00:08:20.480]   As much as we would love to be in multiple places at once
[00:08:20.480 --> 00:08:22.840]   and feel like we could get so much more done,
[00:08:22.840 --> 00:08:24.240]   God gave us that limitation.
[00:08:24.240 --> 00:08:26.460]   We can only be in one place at a time.
[00:08:26.460 --> 00:08:29.240]   But there's a lot of other limitations too, right?
[00:08:29.240 --> 00:08:30.800]   We get tired.
[00:08:30.800 --> 00:08:33.120]   All of us have to sleep.
[00:08:33.120 --> 00:08:35.680]   We can work hard, we can hustle, we can do a lot,
[00:08:35.680 --> 00:08:37.960]   but then we have to rest.
[00:08:37.960 --> 00:08:42.120]   That's just a reality of having a physical body.
[00:08:42.120 --> 00:08:45.800]   And what I want us to see is that our limitations
[00:08:45.800 --> 00:08:49.320]   are actually a part of God's good design.
[00:08:49.320 --> 00:08:50.840]   Sometimes we fight those limitations.
[00:08:50.840 --> 00:08:52.140]   We say there's something wrong with me
[00:08:52.140 --> 00:08:53.800]   because I can't do more and I can't do
[00:08:53.800 --> 00:08:56.540]   all the things I wanna do and what's wrong with me?
[00:08:56.540 --> 00:08:58.640]   But the reality is our limitations
[00:08:58.640 --> 00:09:00.700]   are a part of God's good design.
[00:09:00.700 --> 00:09:03.560]   God gave us those limitations on purpose
[00:09:03.560 --> 00:09:04.780]   because we need them.
[00:09:05.620 --> 00:09:08.020]   And one of the biggest reasons that we need them
[00:09:08.020 --> 00:09:11.740]   is to make us depend on him.
[00:09:11.740 --> 00:09:15.180]   We're limited creations that are dependent on God.
[00:09:15.180 --> 00:09:18.380]   And one of the marks of God's good design in our lives
[00:09:18.380 --> 00:09:20.140]   is the limitations that he gave us
[00:09:20.140 --> 00:09:22.940]   that force us to rely on him.
[00:09:22.940 --> 00:09:26.920]   I'm gonna let you in on a secret here.
[00:09:26.920 --> 00:09:28.360]   Most of you probably already know this,
[00:09:28.360 --> 00:09:29.560]   but some of you may not.
[00:09:29.560 --> 00:09:31.340]   But here's the secret.
[00:09:31.340 --> 00:09:33.540]   It took me a long time to learn in my life.
[00:09:33.540 --> 00:09:38.540]   But the secret is that you cannot have it all in life.
[00:09:38.540 --> 00:09:40.940]   All right?
[00:09:40.940 --> 00:09:43.540]   And our world, most people in the world
[00:09:43.540 --> 00:09:45.500]   don't seem to know that or maybe they know
[00:09:45.500 --> 00:09:47.320]   but they just don't believe it.
[00:09:47.320 --> 00:09:49.620]   And they think they can have it all.
[00:09:49.620 --> 00:09:51.480]   And so at every stage of life,
[00:09:51.480 --> 00:09:54.460]   we are trying to live into that,
[00:09:54.460 --> 00:09:55.980]   that we can have it all.
[00:09:55.980 --> 00:09:57.740]   So when we're young and we're a student,
[00:09:57.740 --> 00:09:59.180]   we're trying to get the best grades
[00:09:59.180 --> 00:10:01.380]   and also do all the extracurriculars
[00:10:01.380 --> 00:10:02.620]   and maybe some of the sports
[00:10:02.620 --> 00:10:06.340]   and also be the best rated gamer
[00:10:06.340 --> 00:10:09.980]   and be a great child to our parents.
[00:10:09.980 --> 00:10:11.860]   We're trying to do it all
[00:10:11.860 --> 00:10:13.500]   because apparently we think we can
[00:10:13.500 --> 00:10:16.020]   and apparently we think we have to, right?
[00:10:16.020 --> 00:10:18.700]   Then we get a little bit older and we're working
[00:10:18.700 --> 00:10:21.140]   and we're trying to have it all in our career
[00:10:21.140 --> 00:10:24.980]   but also live this really cool life
[00:10:24.980 --> 00:10:27.560]   where our social media reels are full of great pictures
[00:10:27.560 --> 00:10:30.140]   and vacations and restaurants and beaches
[00:10:30.140 --> 00:10:32.380]   and we're trying to do it all.
[00:10:32.940 --> 00:10:34.100]   And then if we have a family,
[00:10:34.100 --> 00:10:36.700]   we find ourselves trying to still have it all in career
[00:10:36.700 --> 00:10:40.100]   and everything else but also be a great parent
[00:10:40.100 --> 00:10:43.020]   and a great spouse and we're trying to do that.
[00:10:43.020 --> 00:10:47.140]   And the reality is we can't.
[00:10:47.140 --> 00:10:50.940]   God never intended it for us to have it all.
[00:10:50.940 --> 00:10:53.900]   We are limited creations.
[00:10:53.900 --> 00:10:55.980]   And if we're gonna live in a healthy way,
[00:10:55.980 --> 00:10:58.740]   then we have to embrace that and say,
[00:10:58.740 --> 00:11:01.780]   you know what, I'm dependent on God.
[00:11:01.780 --> 00:11:03.260]   Think about what we see in this passage.
[00:11:03.260 --> 00:11:05.860]   First, we're dependent on God for our physical life,
[00:11:05.860 --> 00:11:07.620]   for our very breath.
[00:11:07.620 --> 00:11:11.680]   God breathe the breath of life into humanity.
[00:11:11.680 --> 00:11:14.820]   And we could say, well, this is just talking
[00:11:14.820 --> 00:11:16.260]   about the first man, the first woman,
[00:11:16.260 --> 00:11:17.380]   it's not talking about us.
