
[00:00:00.000 --> 00:00:03.840]   Hey family, it's great to be with you again. I hope that you had a good week
[00:00:03.840 --> 00:00:08.300]   I hope that you're encouraged and experiencing God's blessing in your life this week
[00:00:08.300 --> 00:00:12.720]   I'm praying for you. And as always I want to encourage you to reach out to us
[00:00:12.720 --> 00:00:17.300]   You can send us an email at info urban voice church comm we'd love to hear from you
[00:00:17.300 --> 00:00:22.440]   Any comments or questions you might have or any way that we can pray for you and this week?
[00:00:22.440 --> 00:00:29.040]   We're back in Matthew chapter 7 looking at this section where Jesus is talking about judgment
[00:00:29.040 --> 00:00:33.640]   And we're talking about how important it is to not have a judgmental attitude
[00:00:33.640 --> 00:00:36.520]   That's what we're really going to focus on this week how to avoid being
[00:00:36.520 --> 00:00:42.200]   Judgmental and Jesus is giving us a lot of truth in these verses about how to avoid being judgmental
[00:00:42.200 --> 00:00:46.880]   So let's look at these verses together. We're gonna start in verse 1 and read down
[00:00:46.880 --> 00:00:50.100]   To verse 5 this is Matthew chapter 7
[00:00:50.100 --> 00:00:57.920]   It says this judge not that you be not judged for with the judgment you pronounce you will be judged and with the measure you use
[00:00:58.040 --> 00:01:02.720]   It will be measured to you. Why do you see the speck that is in your brother's eye?
[00:01:02.720 --> 00:01:07.760]   But do not notice the log that is in your own eye or how can you say to your brother?
[00:01:07.760 --> 00:01:13.560]   Let me take the speck out of your eye when there is a log in your own eye you hypocrite
[00:01:13.560 --> 00:01:20.040]   First take the log out of your own eye, and then you will see clearly to take the speck out of your brother's eye
[00:01:20.040 --> 00:01:25.080]   Now last week we kind of did an intro we started to talk about what?
[00:01:26.120 --> 00:01:31.420]   Judgment is and what biblical discernment is and we talked about the fact that judgment is really
[00:01:31.420 --> 00:01:35.160]   comparing something to a standard and for us as believers
[00:01:35.160 --> 00:01:41.160]   That standard is God's truth that we we know from God's Word and so for us to exercise discernment
[00:01:41.160 --> 00:01:46.120]   To make judgments about things we compare them to God's truth and to God's Word
[00:01:46.120 --> 00:01:51.800]   And we also talked about the fact that that's something that is important to our lives in a lot of ways
[00:01:51.800 --> 00:01:55.480]   We talked about the fact that judgment has a very negative connotation
[00:01:56.000 --> 00:01:57.040]   and
[00:01:57.040 --> 00:02:02.040]   That's okay. It has a negative connotation for good reason it has a negative connotation because
[00:02:02.040 --> 00:02:07.400]   People and often people in the church have been very judgmental of others
[00:02:07.400 --> 00:02:11.400]   And so that has caused people to have this reaction to it and to say that's something bad
[00:02:11.400 --> 00:02:14.320]   But even though it has a negative connotation
[00:02:14.320 --> 00:02:19.040]   We it's still something that we have to do we have to exercise discernment
[00:02:19.040 --> 00:02:24.360]   We have to exercise judgment in order to function in order to live life in order to make decisions in order to have
[00:02:24.600 --> 00:02:30.980]   Relationships with other people and in order to know what's right and wrong and what's healthy for us, and what's not healthy
[00:02:30.980 --> 00:02:38.080]   So we talked about that last week all of those things and this week what I want us to start to do is to start
[00:02:38.080 --> 00:02:45.680]   To see how we can avoid having a judgmental attitude. That's really I believe what Jesus is saying in this verse in verse 1
[00:02:45.680 --> 00:02:47.480]   He's not saying that we shouldn't judge
[00:02:47.480 --> 00:02:50.520]   He's saying that we should not have a judgmental attitude
[00:02:50.520 --> 00:02:56.840]   And he's laying out a lot of ways that we need to avoid having a judgmental attitude, so I want us to begin to
[00:02:56.840 --> 00:02:58.960]   Examine that today
[00:02:58.960 --> 00:03:05.360]   The first thing I want us to see about a judgmental attitude. That's unhealthy is that a judgmental attitude is
[00:03:05.360 --> 00:03:14.200]   Graceless it doesn't see God's grace in my life or God's grace in the life of others a judgmental attitude is
[00:03:14.760 --> 00:03:22.160]   Graceless you know verse 2 Jesus says for with the judgment you pronounce you will be judged and with the measure you use
[00:03:22.160 --> 00:03:24.280]   It will be measured to you
[00:03:24.280 --> 00:03:30.880]   Now what is Jesus saying in that verse is he's saying that you know however you judge someone else is how God is going to
[00:03:30.880 --> 00:03:33.800]   Judge you if you judge harshly God will judge you harshly
[00:03:33.800 --> 00:03:40.480]   I don't think that's really what Jesus is saying because we know biblically that God judges us all according to the same
[00:03:40.560 --> 00:03:46.280]   Standard his standard of justice and righteousness and that by the way none of us could ever measure up to it
[00:03:46.280 --> 00:03:52.680]   That's only because of Jesus that any of us can be accepted in God's sight God is not a biased judge
[00:03:52.680 --> 00:03:55.240]   He judges us all by the same standard
[00:03:55.240 --> 00:04:00.680]   So I don't think this this verse is saying that God's standard will change depending upon how we treat others
[00:04:00.680 --> 00:04:04.600]   I think this verse is actually really similar to Matthew 5 14
[00:04:05.120 --> 00:04:13.120]   Where Jesus is talking about forgiveness and in that verse Jesus is not saying that if we don't forgive others God will refuse to forgive us
