
[00:00:00.000 --> 00:00:01.680]  兩個拖紅隊都是Mark Sir說的
[00:00:01.680 --> 00:00:02.800]  有請Mark Sir
[00:00:02.800 --> 00:00:07.880]  好,謝謝主人
[00:00:07.880 --> 00:00:10.920]  小心點,待會這個不知道交給誰
[00:00:10.920 --> 00:00:13.320]  不知道誰贏,好嗎
[00:00:13.320 --> 00:00:16.160]  我以為大家出去吃飯
[00:00:16.160 --> 00:00:18.480]  然後趕回來就去查經
[00:00:18.480 --> 00:00:21.000]  誰知道原來是看球賽,好嗎
[00:00:21.000 --> 00:00:23.600]  不會妨礙大家看球賽的
[00:00:23.600 --> 00:00:24.680]  無論如何
[00:00:24.680 --> 00:00:27.440]  我們一直在說一個短的系列
[00:00:27.440 --> 00:00:29.080]  是關於女性的侍奉
[00:00:29.160 --> 00:00:31.240]  我們從不同的經文出發
[00:00:31.240 --> 00:00:33.160]  來思考這個問題
[00:00:33.160 --> 00:00:35.240]  我們曾經說過
[00:00:35.240 --> 00:00:39.560]  聖經裡應該如何看待女性的侍奉
[00:00:39.560 --> 00:00:44.080]  以及社會裡有不同的宗派
[00:00:44.080 --> 00:00:45.600]  有不同的聲音等等
[00:00:45.600 --> 00:00:48.800]  我們應該在經文裡如何處理
[00:00:48.800 --> 00:00:50.720]  這是一個很切身的問題
[00:00:50.720 --> 00:00:53.160]  因為教會總是有男有女
[00:00:53.160 --> 00:00:57.320]  甚至很多教會都是女比較多於男
[00:00:57.400 --> 00:01:01.360]  對…我們UV不知道為甚麼
[00:01:01.360 --> 00:01:04.520]  我們是五五的
[00:01:04.520 --> 00:01:06.960]  多年來都是
[00:01:06.960 --> 00:01:09.440]  不是說女性特別多於男性
[00:01:09.440 --> 00:01:13.280]  就是男女均勻,平衡得不錯
[00:01:13.280 --> 00:01:15.680]  不知道這是誰的功勞
[00:01:15.680 --> 00:01:17.080]  我也不太清楚
[00:01:17.080 --> 00:01:19.200]  上帝差派的人來
[00:01:19.200 --> 00:01:22.040]  所以我們未必有這種問題
[00:01:22.040 --> 00:01:23.280]  我曾經去過一些教會
[00:01:23.280 --> 00:01:25.760]  整個小組,譬如10個人
[00:01:25.760 --> 00:01:27.280]  或者12個人的小組
[00:01:27.360 --> 00:01:28.880]  一個男生在那裡
[00:01:28.880 --> 00:01:32.280]  然後有11個女生
[00:01:32.280 --> 00:01:35.600]  就像蝴蝶般飛來飛去
[00:01:35.600 --> 00:01:37.960]  是有點不同的
[00:01:37.960 --> 00:01:39.480]  但這是一個切身的問題
[00:01:39.480 --> 00:01:41.400]  因為普遍的教會裡
[00:01:41.400 --> 00:01:46.840]  有很多女士和姐妹合作建立教會
[00:01:46.840 --> 00:01:49.200]  所以她們的功不可沒
[00:01:49.200 --> 00:01:50.800]  但很多時候我們看聖經時
[00:01:50.800 --> 00:01:53.760]  我們有個感覺是以男為上
[00:01:53.760 --> 00:01:55.920]  或者以男為主導
[00:01:56.000 --> 00:01:57.800]  我不知道大家有沒有這種感覺
[00:01:57.800 --> 00:02:00.440]  在聖經裡,從頭到尾
[00:02:00.440 --> 00:02:03.040]  如果你留意一下
[00:02:03.040 --> 00:02:07.520]  有沒有一些信心的人物
[00:02:07.520 --> 00:02:08.680]  聖經裡的人物
[00:02:08.680 --> 00:02:11.400]  很多都是男人嗎
[00:02:11.400 --> 00:02:13.480]  你想想有誰
[00:02:13.480 --> 00:02:15.960]  你想到的大部分都是男人
[00:02:15.960 --> 00:02:18.120]  阿伯拉罕是男人嗎
[00:02:18.120 --> 00:02:19.680]  以撒瓦國
[00:02:19.680 --> 00:02:22.880]  十二眾子、十二支派之父
[00:02:22.960 --> 00:02:26.680]  然後摩西、大衛、索羅門
[00:02:26.680 --> 00:02:29.800]  這些全部都是男人的名字,對吧
[00:02:29.800 --> 00:02:31.040]  好像很奇怪
[00:02:31.040 --> 00:02:32.280]  其實一點也不奇怪
[00:02:32.280 --> 00:02:35.840]  因為當時的社會、文化
[00:02:35.840 --> 00:02:39.760]  是屬於這種習俗
[00:02:39.760 --> 00:02:44.560]  男為上,男在外,女在內
[00:02:44.560 --> 00:02:45.400]  所以很多時候
[00:02:45.400 --> 00:02:48.640]  從年輕的時候到現在
[00:02:48.640 --> 00:02:50.520]  在教會裡說
[00:02:50.600 --> 00:02:54.000]  聖經裡故屬歷史的推展
[00:02:54.000 --> 00:02:55.840]  工作的進展
[00:02:55.840 --> 00:02:57.680]  由創世直到基督
[00:02:57.680 --> 00:02:59.520]  然後再到新天新地
[00:02:59.520 --> 00:03:02.400]  你看到時間線
[00:03:02.400 --> 00:03:06.960]  從左邊創世與人的叛變墮落
[00:03:06.960 --> 00:03:08.640]  到族長的時期
[00:03:08.640 --> 00:03:10.080]  出埃及
[00:03:10.080 --> 00:03:12.760]  出埃及後,他們在礦業40年
[00:03:12.760 --> 00:03:14.720]  然後他們才入主迦南
[00:03:14.720 --> 00:03:17.600]  然後才定居迦南,對吧
[00:03:17.600 --> 00:03:19.520]  然後到王國的時代
[00:03:19.600 --> 00:03:22.560]  王國分裂了,然後北國滅
[00:03:22.560 --> 00:03:24.360]  南國又被滅
[00:03:24.360 --> 00:03:28.600]  然後他們大部分被老巴比倫回歸
[00:03:28.600 --> 00:03:29.680]  回歸回來的時候
[00:03:29.680 --> 00:03:32.840]  一直等待這位尼賽亞基督
[00:03:32.840 --> 00:03:34.560]  耶穌基督來到,對吧
[00:03:34.560 --> 00:03:42.440]  這已經涵蓋了整個舊約新約的歷史
[00:03:42.440 --> 00:03:44.720]  或者整個救贖的計劃,對吧
[00:03:44.720 --> 00:03:45.840]  中間那裡
[00:03:45.840 --> 00:03:47.560]  我們很多時候聽到的就是
[00:03:47.640 --> 00:03:50.480]  這個故事,從頭到尾我們讀的時候
[00:03:50.480 --> 00:03:52.840]  那些所謂英雄人物
[00:03:52.840 --> 00:03:54.680]  所謂那些神用的人
[00:03:54.680 --> 00:03:56.920]  就是下面那些
[00:03:56.920 --> 00:03:59.400]  阿布拉罕爾薩雅國、摩西
[00:03:59.400 --> 00:04:02.440]  約書亞帶領以色列人進入迦南
[00:04:02.440 --> 00:04:03.760]  然後有士司的時代
[00:04:03.760 --> 00:04:05.880]  大部分的士司都是男人
[00:04:05.880 --> 00:04:07.640]  然後大衛,之前是蘇羅
[00:04:07.640 --> 00:04:10.160]  後面就是所羅門等等
[00:04:10.160 --> 00:04:12.560]  然後他們被老回歸
[00:04:12.560 --> 00:04:16.000]  就是以斯拉、尼希米
[00:04:16.080 --> 00:04:18.400]  然後到耶穌呼召十二個門徒
[00:04:18.400 --> 00:04:20.040]  都是男人,對吧
[00:04:20.040 --> 00:04:23.920]  這個就是下面我們通常留意到的
[00:04:23.920 --> 00:04:26.760]  上面我們很少留意的
[00:04:26.760 --> 00:04:29.000]  原來每一個關鍵的地方
[00:04:29.000 --> 00:04:30.640]  你看到它有轉折
[00:04:30.640 --> 00:04:32.960]  聖經歷史有轉折的時候
[00:04:32.960 --> 00:04:36.760]  關鍵的人物往往就是女士
[00:04:36.760 --> 00:04:38.320]  你有沒有留意過
[00:04:38.320 --> 00:04:40.720]  由人的叛變開始
[00:04:40.720 --> 00:04:42.720]  然後上帝有一個應許
[00:04:42.720 --> 00:04:45.520]  就是給一個女人的後裔
[00:04:45.600 --> 00:04:49.200]  然後她可以戰勝邪惡
[00:04:49.200 --> 00:04:52.960]  女人的後裔…
[00:04:52.960 --> 00:04:55.480]  然後到族長時期過了
[00:04:55.480 --> 00:04:59.920]  以色列人流浪在埃及的時候
[00:04:59.920 --> 00:05:02.280]  救他們出埃及之前
[00:05:02.280 --> 00:05:06.920]  是誰使摩西能夠成為英雄的
[00:05:06.920 --> 00:05:09.320]  原來就是修生婆
[00:05:09.320 --> 00:05:11.640]  出埃及記第一章,記得嗎
[00:05:11.720 --> 00:05:16.560]  Alice也提及過這幾段經文
[00:05:16.560 --> 00:05:21.640]  然後米利暗就是摩西的姐姐
[00:05:21.640 --> 00:05:23.720]  法魯的女兒
[00:05:23.720 --> 00:05:30.960]  這些在上帝的暗處去到薄後安排
[00:05:30.960 --> 00:05:33.280]  他們所謂立功
[00:05:33.280 --> 00:05:34.720]  或者在關鍵的時候
[00:05:34.720 --> 00:05:37.200]  因為他們所做的事情
[00:05:37.200 --> 00:05:40.200]  以至有摩西誕生
[00:05:40.280 --> 00:05:42.760]  到了入主迦南
[00:05:42.760 --> 00:05:44.680]  他們派探子進去
[00:05:44.680 --> 00:05:47.320]  然後有誰告訴他們
[00:05:47.320 --> 00:05:50.240]  這個地方是耶和華給了你們
[00:05:50.240 --> 00:05:52.760]  是妓女拉合,對吧
[00:05:52.760 --> 00:05:53.960]  入主迦南之後
[00:05:53.960 --> 00:05:57.640]  到混亂的時候,就是士司的時代
[00:05:57.640 --> 00:05:59.720]  雖然大部分士司都是男人
[00:05:59.720 --> 00:06:00.840]  因為打仗
[00:06:00.840 --> 00:06:05.080]  但其中一個女的將士
[00:06:05.160 --> 00:06:10.440]  就是迪波拉,士司記第四章
[00:06:10.440 --> 00:06:13.520]  然後在《路德記》中當然提及過
[00:06:13.520 --> 00:06:14.680]  路德所做的事情
[00:06:14.680 --> 00:06:17.240]  以至大衛能夠誕生,對吧
[00:06:17.240 --> 00:06:21.000]  王國的時期還未到之前
[00:06:21.000 --> 00:06:24.880]  誰去開發這個時期
[00:06:24.880 --> 00:06:26.520]  就是哈拿
[00:06:26.520 --> 00:06:28.040]  哈拿是母子生的
[00:06:28.040 --> 00:06:30.680]  然後求耶和華給她一個兒子
[00:06:30.680 --> 00:06:34.400]  就變成了薩姆爾誕生,對吧
[00:06:34.480 --> 00:06:37.520]  所以王國的時期才臨到
[00:06:37.520 --> 00:06:39.480]  到秘魯回歸的時候
[00:06:39.480 --> 00:06:42.440]  有一本書叫作《以斯帖》
[00:06:42.440 --> 00:06:46.680]  《以斯帖》是關於女人的書
[00:06:46.680 --> 00:06:47.880]  然後到瑪利亞
[00:06:47.880 --> 00:06:50.720]  當然瑪利亞是因為她的信心緣故
[00:06:50.720 --> 00:06:53.640]  所以救主能夠出生
[00:06:53.640 --> 00:06:57.840]  到了耶穌基督,從死裡復活
[00:06:57.840 --> 00:07:01.680]  發現空墳墓的和第一個被差派
[00:07:01.760 --> 00:07:08.000]  宣告復活的訊息是誰
[00:07:08.000 --> 00:07:09.880]  Mary Magdalene
[00:07:09.880 --> 00:07:11.280]  所以如果你這樣看
[00:07:11.280 --> 00:07:16.960]  其實女人不是一些配角或註腳
[00:07:16.960 --> 00:07:18.760]  是一些很重要的角色
[00:07:18.760 --> 00:07:27.360]  每逢一些關鍵或轉捩點
[00:07:27.360 --> 00:07:28.960]  就會有女士出現
[00:07:28.960 --> 00:07:31.640]  所以上帝是揀選一些女性
[00:07:31.720 --> 00:07:35.080]  跟男人一起去成就自己的計劃
