
[00:00:00.000 --> 00:00:02.000]  是 Mark Sir 現在將時間交給他
[00:00:02.000 --> 00:00:04.000]  各位好 新年快樂
[00:00:04.000 --> 00:00:07.000]  好像萬歲更生一樣
[00:00:07.000 --> 00:00:09.000]  天氣都好一點
[00:00:09.000 --> 00:00:12.000]  我們想用這段聖經開始
[00:00:12.000 --> 00:00:15.000]  我們今天是2026年第一個主日
[00:00:15.000 --> 00:00:17.000]  一篇很熟悉的詩篇
[00:00:17.000 --> 00:00:19.000]  詩篇第八篇
[00:00:19.000 --> 00:00:20.000]  耶和華我們的主
[00:00:20.000 --> 00:00:22.000]  祢的名在全地何其美
[00:00:22.000 --> 00:00:24.000]  祢將祢的榮耀彰顯於天
[00:00:24.000 --> 00:00:30.000]  祢因敵人的緣故從孩童吃奶的口中建立了能力
[00:00:30.000 --> 00:00:34.000]  使仇敵報仇的閉口無言
[00:00:34.000 --> 00:00:36.000]  我觀看祢手指所造的天
[00:00:36.000 --> 00:00:39.000]  並祢所陳設的月亮星宿
[00:00:39.000 --> 00:00:42.000]  人算甚麼 祢竟眷顧他
[00:00:42.000 --> 00:00:45.000]  世人算甚麼 祢竟眷顧他
[00:00:45.000 --> 00:00:48.000]  祢視他比神微小一點
[00:00:48.000 --> 00:00:51.000]  視他榮耀尊貴為冠冕
[00:00:51.000 --> 00:00:53.000]  祢派他管理祢手所做的
[00:00:53.000 --> 00:00:55.000]  使萬物一切的牛羊
[00:00:55.000 --> 00:00:57.000]  田野的牲畜
[00:00:57.000 --> 00:00:59.000]  空中的鳥海裡的魚
[00:00:59.000 --> 00:01:02.000]  飯油在水裡的都服在他的腳下
[00:01:02.000 --> 00:01:04.000]  耶和華我們的主
[00:01:04.000 --> 00:01:07.000]  祢的名在全地何其美
[00:01:07.000 --> 00:01:09.000]  這篇詩篇很熟悉
[00:01:09.000 --> 00:01:12.000]  這次開年的時候不難倒大家
[00:01:12.000 --> 00:01:15.000]  揀一首很熟悉的詩篇
[00:01:15.000 --> 00:01:19.000]  詩篇裡面載著很多當時神的子民
[00:01:19.000 --> 00:01:21.000]  私人的禱告
[00:01:21.000 --> 00:01:24.000]  所以他們的禱告 他們的禱詞
[00:01:24.000 --> 00:01:26.000]  或者他們作了一些詩歌
[00:01:26.000 --> 00:01:30.000]  去表達他們對上帝的讚美
[00:01:30.000 --> 00:01:33.000]  或者不同的呼求等等
