
[00:00:00.000 --> 00:00:05.440]  (請看片段)
[00:00:05.440 --> 00:00:09.160]  我們繼續看這個系列
[00:00:09.160 --> 00:00:11.640]  我們看看在我們生命當中有什麼節期
[00:00:11.640 --> 00:00:13.160]  有什麼時間提醒我們
[00:00:13.160 --> 00:00:14.760]  這些屬靈的生命
[00:00:14.760 --> 00:00:18.960]  所以我們這次去看另一個節期
[00:00:18.960 --> 00:00:20.520]  上一次我們提過
[00:00:20.520 --> 00:00:22.240]  就是豬膀節
[00:00:22.240 --> 00:00:23.480]  Feast of Tabernacles
[00:00:23.480 --> 00:00:25.680]  剛剛這個星期以色列完結
[00:00:25.680 --> 00:00:30.720]  這個豬膀節
[00:00:30.720 --> 00:00:33.680]  今天我們要看的是賈伯
[00:00:33.680 --> 00:00:35.280]  賈伯這個應該很清楚
[00:00:35.280 --> 00:00:39.200]  因為是七天的其中一天
[00:00:39.200 --> 00:00:40.600]  這一段時間
[00:00:40.600 --> 00:00:42.880]  如果你在以色列的街上走
[00:00:42.880 --> 00:00:44.600]  我們就會覺得很神奇
[00:00:44.600 --> 00:00:47.600]  因為星期五的日落
[00:00:47.600 --> 00:00:49.520]  到星期六的日落
[00:00:49.520 --> 00:00:51.520]  就是他們的安息日
[00:00:51.520 --> 00:00:55.920]  就是一個星期的第七天
[00:00:55.920 --> 00:00:58.880]  所以他們會在街上沒有車
[00:00:58.880 --> 00:01:01.320]  或者沒有人來走等等
[00:01:01.320 --> 00:01:04.320]  因為在賈伯那裡的時候
[00:01:04.320 --> 00:01:05.960]  一切都是靜態的
[00:01:05.960 --> 00:01:07.240]  每個人都回家
[00:01:07.240 --> 00:01:09.840]  然後不做工
[00:01:09.840 --> 00:01:11.000]  也不打火
[00:01:11.000 --> 00:01:13.440]  所以不按一些按鈕
[00:01:13.440 --> 00:01:15.680]  或者電話會關掉等等
[00:01:15.680 --> 00:01:18.000]  或者走路不可以多於半英里
[00:01:18.000 --> 00:01:20.720]  如果那些是非常保守的人
[00:01:20.720 --> 00:01:22.120]  就會半英里之內
[00:01:22.120 --> 00:01:24.520]  只是半英里之內可以走路
[00:01:24.520 --> 00:01:26.280]  這些都會對你很神奇
[00:01:26.280 --> 00:01:28.040]  其實不只是在那裡
[00:01:28.040 --> 00:01:30.200]  美國也有不同的角落是這樣的
[00:01:30.200 --> 00:01:33.160]  如果你有去過紐約的布魯克林
[00:01:33.160 --> 00:01:35.120]  一些比較多猶太人住的地方
[00:01:35.120 --> 00:01:37.320]  或者我們芝加哥北面
[00:01:37.320 --> 00:01:38.440]  斯科奇
[00:01:38.440 --> 00:01:41.520]  也有很多不同的猶太人在那裡聚居
[00:01:41.520 --> 00:01:46.000]  他們就會實行這個安息日
[00:01:46.000 --> 00:01:47.960]  安息日
[00:01:47.960 --> 00:01:50.720]  顧名思義就是安息不做事
[00:01:50.720 --> 00:01:52.640]  所以有很多我們覺得
[00:01:52.640 --> 00:01:55.600]  現代人覺得比較神奇的東西就會出現
[00:01:55.600 --> 00:01:57.320]  譬如這裡有幾張相片給你看
[00:01:57.320 --> 00:01:58.640]  有一些大樓
[00:01:58.640 --> 00:02:00.000]  有一些高樓大廈
[00:02:00.000 --> 00:02:02.800]  就會有一些安息日的電梯
[00:02:02.800 --> 00:02:04.640]  Schochberg elevator
[00:02:04.640 --> 00:02:07.680]  這裡看到Schochberg elevator是什麼
[00:02:07.680 --> 00:02:10.160]  就會是計劃了
[00:02:10.160 --> 00:02:12.640]  以至星期五的新單開始
[00:02:12.640 --> 00:02:18.680]  電梯就會每層停一次
[00:02:18.680 --> 00:02:21.240]  為了什麼
[00:02:21.240 --> 00:02:22.840]  為了你不會打火
[00:02:22.840 --> 00:02:25.120]  因為你按鍵就會打火
[00:02:25.120 --> 00:02:27.160]  按鍵就會亮燈
[00:02:27.160 --> 00:02:29.040]  所以這些比較神奇的東西
[00:02:29.040 --> 00:02:30.840]  這個挺有趣的
[00:02:30.840 --> 00:02:34.760]  這個是酒店的Schochberg elevator
[00:02:34.760 --> 00:02:37.280]  它有兩部elevator
[00:02:37.280 --> 00:02:41.360]  第一部在右邊的elevator A
[00:02:41.360 --> 00:02:43.720]  你見不見到它想說什麼
[00:02:43.720 --> 00:02:47.360]  由下面basement二樓
[00:02:47.360 --> 00:02:49.520]  去到ground floor零
[00:02:49.520 --> 00:02:51.920]  然後它會逐層停一次
[00:02:51.920 --> 00:02:54.080]  然後它就會下來
[00:02:54.080 --> 00:02:55.480]  然後再倒過來
[00:02:55.480 --> 00:02:59.600]  如果你要四樓去一樓的話
[00:02:59.600 --> 00:03:02.440]  你就要繞過大轉
[00:03:02.440 --> 00:03:06.320]  另外這個elevator D
[00:03:06.320 --> 00:03:08.200]  就會跳上去五樓開始
[00:03:08.200 --> 00:03:10.320]  然後五樓到九樓就逐層停
[00:03:10.320 --> 00:03:13.120]  然後再倒過來
[00:03:13.120 --> 00:03:16.640]  這個挺有趣的
[00:03:16.640 --> 00:03:17.920]  In case of fire
[00:03:17.920 --> 00:03:19.840]  Do not use the elevator
