
[00:00:00.000 --> 00:00:02.920]  今天中文堂的講員就是Mark Sir
[00:00:02.920 --> 00:00:04.320]  我們將時間交給他
[00:00:04.320 --> 00:00:07.520]  好 謝謝Sandy
[00:00:07.520 --> 00:00:10.240]  今天我們繼續這個系列
[00:00:10.240 --> 00:00:12.000]  今天第二部分講到
[00:00:12.000 --> 00:00:14.840]  聖經裏面 特別是舊約裏面的節期
[00:00:14.840 --> 00:00:18.520]  這些節期都是一些時間的標誌
[00:00:18.520 --> 00:00:22.520]  一些時間的標誌
[00:00:22.520 --> 00:00:24.560]  一些提醒
[00:00:24.560 --> 00:00:27.720]  讓我們知道一年四季裏面
[00:00:27.720 --> 00:00:29.800]  有些什麼值得我們去紀念
[00:00:29.800 --> 00:00:31.840]  有些什麼值得我們去想起
[00:00:31.840 --> 00:00:33.560]  和上帝的關係
[00:00:33.560 --> 00:00:35.920]  但剛才講到時間的問題
[00:00:35.920 --> 00:00:37.560]  什麼時候開關
[00:00:37.560 --> 00:00:39.680]  什麼時候可以去旅遊
[00:00:39.680 --> 00:00:44.480]  或者讀書的可能在講開學 科學學等等
[00:00:44.480 --> 00:00:48.440]  我們生命裏面總是有一些時間的標籤
[00:00:48.440 --> 00:00:49.680]  一些標誌
[00:00:49.680 --> 00:00:51.280]  一些提醒
[00:00:51.280 --> 00:00:54.640]  這些可能都是一些人生裏面一定會經歷的事情
[00:00:54.640 --> 00:00:56.760]  什麼時候會有財政年度 什麼時候會發工資
[00:00:56.760 --> 00:01:01.080]  什麼時候會有公司裏面有不同的轉變
[00:01:01.080 --> 00:01:02.640]  不同的季度等等
[00:01:02.640 --> 00:01:04.560]  但我們需要知道
[00:01:04.560 --> 00:01:07.400]  聖經裏面一些的節期
[00:01:07.400 --> 00:01:10.280]  其實是在一年四季裏面
[00:01:10.280 --> 00:01:13.920]  給我們一些獨特的標記
[00:01:13.920 --> 00:01:17.920]  讓我們不要忘記上帝在我們生命裏面做的事情
[00:01:17.920 --> 00:01:22.040]  所以我們不斷在這個系列裏面會講一些節期
[00:01:22.040 --> 00:01:25.080]  我們曾經提過有三大節期
[00:01:25.080 --> 00:01:28.640]  就是預節 大概四月左右的時間
[00:01:28.640 --> 00:01:32.600]  就是我們Good Friday和Ressurection
[00:01:32.600 --> 00:01:34.240]  Easter Sunday的時候
[00:01:34.240 --> 00:01:38.000]  然後過了好幾個星期 七個星期之後
[00:01:38.000 --> 00:01:39.440]  就是所謂的五旬
[00:01:39.440 --> 00:01:45.040]  或者是以色列巴勒斯坦本地的修國節
[00:01:45.040 --> 00:01:47.560]  小麥 大麥修國等等
[00:01:47.560 --> 00:01:50.920]  這個也是一個標記
[00:01:50.920 --> 00:01:52.840]  告訴神的子民
[00:01:52.840 --> 00:01:55.000]  這個時候是時候發工資了
[00:01:55.000 --> 00:01:57.360]  發工資的時候要想起什麼
[00:01:57.360 --> 00:02:00.480]  他們就會修成他們有一個First Food
[00:02:00.480 --> 00:02:02.280]  第一次的修國
[00:02:02.280 --> 00:02:07.520]  然後他們將某一部分奉獻出來
[00:02:07.520 --> 00:02:11.080]  所以這些是生命裏面的標記
[00:02:11.080 --> 00:02:14.880]  然後第三個大的節期就是豬棒節
[00:02:14.880 --> 00:02:17.200]  Feast of Tabernacles 或者Feast of Booths
[00:02:17.200 --> 00:02:18.960]  或者Sukkot
[00:02:18.960 --> 00:02:22.760]  上一次我們提到豬棒節
[00:02:22.760 --> 00:02:26.800]  三大節期 除了有其他不同的小節之外
[00:02:26.800 --> 00:02:29.120]  都是在一年裏面
[00:02:29.120 --> 00:02:32.240]  去到給一些Reminder給神的子民
[00:02:32.240 --> 00:02:35.200]  十月的時候 大概是豬棒節的時候
[00:02:35.200 --> 00:02:37.280]  譬如我們西歷十月初
[00:02:37.280 --> 00:02:40.040]  就是以色列的豬棒節來到
[00:02:40.040 --> 00:02:42.800]  是一些盛大的慶典
[00:02:42.800 --> 00:02:44.560]  如果我們去看看舊約裏面
[00:02:44.560 --> 00:02:46.320]  有不同的時間
[00:02:46.320 --> 00:02:52.360]  神的子民都會去紀念和守豬棒節
[00:02:52.360 --> 00:02:53.920]  我們選一段經文
[00:02:53.920 --> 00:02:57.560]  這段經文就是《利欺米記》第八章
[00:02:57.560 --> 00:02:59.280]  上下文發生什麼事呢
[00:02:59.280 --> 00:03:02.040]  就是他們秘魯回歸之後
[00:03:02.040 --> 00:03:03.920]  他們回到耶路撒冷的時候
[00:03:03.920 --> 00:03:05.920]  他們重建了聖殿
[00:03:05.920 --> 00:03:07.680]  又重建了城牆
[00:03:07.680 --> 00:03:12.000]  《利欺米記》其實記載他們Rebuild the Wall
[00:03:12.000 --> 00:03:14.360]  然後他們去到第八章的時候
[00:03:14.360 --> 00:03:16.200]  每件事都搞定了
[00:03:16.200 --> 00:03:19.160]  於是他們發生什麼事呢
[00:03:19.160 --> 00:03:22.040]  領袖就去吩咐那些子民做什麼
[00:03:22.040 --> 00:03:23.880]  你們當出去
[00:03:23.880 --> 00:03:25.120]  去上山
[00:03:25.120 --> 00:03:27.760]  去將橄欖樹
[00:03:27.760 --> 00:03:29.280]  野橄欖樹
[00:03:29.280 --> 00:03:30.720]  番石榴樹
[00:03:30.720 --> 00:03:35.520]  棕樹和各人茂密的樹枝取來
[00:03:35.520 --> 00:03:40.360]  照著摩西律法裏所寫的去搭棚
[00:03:40.360 --> 00:03:42.040]  於是百姓就出去了
[00:03:42.040 --> 00:03:42.800]  取了樹枝
[00:03:42.800 --> 00:03:44.920]  各人在自己的房頂
[00:03:44.920 --> 00:03:45.840]  院子
[00:03:45.840 --> 00:03:48.480]  上帝的殿院裏面
[00:03:48.480 --> 00:03:50.240]  水門的廣場
[00:03:50.240 --> 00:03:53.240]  以法廉門的廣場等等的地方
[00:03:53.240 --> 00:03:54.680]  去搭棚
[00:03:54.680 --> 00:03:58.600]  從秘魯之地歸回的傳會眾就搭棚了
[00:03:58.600 --> 00:04:01.200]  住在張棚裏面
[00:04:01.200 --> 00:04:02.040]  從亂的日子
[00:04:02.040 --> 00:04:04.840]  約書亞記開始的時候
[00:04:04.840 --> 00:04:06.320]  他入主加衙的時候
[00:04:06.320 --> 00:04:07.520]  直到這一天
[00:04:07.520 --> 00:04:10.120]  以色列人沒有這樣行
[00:04:10.120 --> 00:04:12.120]  他們都大大喜樂
[00:04:12.120 --> 00:04:14.280]  由約書亞記入主加衙之後
[00:04:14.280 --> 00:04:16.720]  都沒有試過這麼大規模的
[00:04:16.720 --> 00:04:17.960]  整個子民的
[00:04:17.960 --> 00:04:22.320]  整個耶路撒冷來守這個
[00:04:22.320 --> 00:04:23.400]  豬八戒
[00:04:23.400 --> 00:04:26.440]  所以你見到他們很體重
[00:04:26.440 --> 00:04:27.920]  某一些節日
[00:04:27.920 --> 00:04:31.320]  這些節日去提醒他們
[00:04:31.320 --> 00:04:36.000]  生命裏面上帝有他的工作
[00:04:36.000 --> 00:04:37.440]  我不知道你自己怎樣
[00:04:37.440 --> 00:04:39.120]  你作為一個基督徒
[00:04:39.120 --> 00:04:41.400]  或者你認識信仰開始
[00:04:41.400 --> 00:04:42.800]  到現在
[00:04:42.800 --> 00:04:44.200]  有沒有一些節期
[00:04:44.200 --> 00:04:46.120]  有沒有一些提醒告訴你
[00:04:46.120 --> 00:04:49.120]  上帝對你生命裏面
[00:04:49.120 --> 00:04:51.840]  一些的恩典和工作
[00:04:51.840 --> 00:04:53.120]  有些人可能記得
[00:04:53.120 --> 00:04:55.640]  他自己剛初信的時候
[00:04:55.640 --> 00:04:58.480]  什麼時候缺志
[00:04:58.480 --> 00:05:00.200]  有些人可能還記得
[00:05:00.200 --> 00:05:02.440]  他什麼時候受洗
[00:05:02.440 --> 00:05:04.200]  有些人可能記得
