
[00:00:00.000 --> 00:00:01.780]  各位歡迎回來《智慧廚房》
[00:00:01.780 --> 00:00:03.160]  我們邊煮邊講
[00:00:03.160 --> 00:00:05.600]  這一次我們繼續講《雅各書》第五章了
[00:00:05.600 --> 00:00:07.840]  這一次《智慧廚房》已經是第五集了
[00:00:07.840 --> 00:00:10.780]  這一次我們先看第五章《雅各書》
[00:00:10.780 --> 00:00:12.960]  一到第六節
[00:00:12.960 --> 00:00:15.220]  這裡講你們富有的人
[00:00:15.220 --> 00:00:19.600]  應當為那將要臨到你們的災禍來哭泣
[00:00:19.600 --> 00:00:20.800]  哀號
[00:00:20.800 --> 00:00:22.760]  你們的財物扭壞了
[00:00:22.760 --> 00:00:24.980]  你們的衣服吸住了
[00:00:24.980 --> 00:00:27.200]  你們的金銀生鏽
[00:00:27.200 --> 00:00:29.560]  這鏽要成為空高你們的鐵證
[00:00:29.560 --> 00:00:31.920]  又要像火一樣吞吃你們的肉
[00:00:31.920 --> 00:00:36.240]  你們竟在這末後的日子積聚財寶
[00:00:36.240 --> 00:00:38.800]  漢那工人為你們收割莊稼
[00:00:38.800 --> 00:00:41.780]  你們竟然剋扣他們的工資
[00:00:41.780 --> 00:00:44.980]  那工資必要為他們敷冤
[00:00:44.980 --> 00:00:48.820]  收割者的呼聲已經達到萬軍之主的耳中了
[00:00:48.820 --> 00:00:52.980]  你們在世上窮奢極侈養肥了自己
[00:00:52.980 --> 00:00:54.820]  竟不知屠宰的日子到了
[00:00:54.820 --> 00:00:57.020]  你們把二人定罪殺害
[00:00:57.020 --> 00:00:59.620]  但他並沒有反抗
[00:00:59.620 --> 00:01:03.160]  這裡又回到亞國書一個很重要的主題了
[00:01:03.160 --> 00:01:04.420]  就是對 wealth(富有)
[00:01:04.420 --> 00:01:05.860]  就是富有的人
[00:01:05.860 --> 00:01:09.860]  有一些審判或者一些很嚴密的警告
[00:01:09.860 --> 00:01:11.900]  這裡講到當時富有的人
[00:01:11.900 --> 00:01:13.540]  不僅窮奢極侈
[00:01:13.540 --> 00:01:14.360]  很有錢
[00:01:14.360 --> 00:01:19.420]  並且他們是剋扣那些工人的工資
[00:01:19.420 --> 00:01:22.800]  這個要了解當時的社會
[00:01:22.800 --> 00:01:24.200]  當時的人
[00:01:24.200 --> 00:01:26.660]  大部分在社會裡面都是很窮的
[00:01:26.660 --> 00:01:27.860]  正如我所講
[00:01:27.860 --> 00:01:30.600]  只有1%或者少於1%的人
[00:01:30.600 --> 00:01:32.000]  是比較有錢的
[00:01:32.000 --> 00:01:34.460]  而那些人跟平民百姓比較起來
[00:01:34.460 --> 00:01:37.460]  他們得到的財寶和產業
[00:01:37.460 --> 00:01:39.660]  是多很多很多倍的
[00:01:39.660 --> 00:01:41.460]  所以大部分的窮人
[00:01:41.460 --> 00:01:43.860]  他們當時是一天就出一次工資的
[00:01:43.860 --> 00:01:45.660]  你聽過耶穌講的一些比喻
[00:01:45.660 --> 00:01:47.760]  跟那些葡萄園工人
[00:01:47.760 --> 00:01:52.560]  那些在田地裡面打工的比喻
[00:01:52.560 --> 00:01:53.260]  你們知道了
[00:01:53.260 --> 00:01:55.560]  那些人是早上去開工
[00:01:55.560 --> 00:01:57.160]  幸好有工作
[00:01:57.160 --> 00:01:59.960]  然後在最後日落之前
[00:01:59.960 --> 00:02:02.660]  下班的時候就給他們一天的工錢
[00:02:02.660 --> 00:02:05.960]  所以當時是那些 day wage labor
[00:02:05.960 --> 00:02:07.460]  day wage labor 是什麼呢?
[00:02:07.460 --> 00:02:09.760]  就是做一天的工作就出一天的工資
[00:02:09.760 --> 00:02:12.860]  那麼少了一天的工資
[00:02:12.860 --> 00:02:15.760]  就代表一家大小就沒東西吃了
[00:02:15.760 --> 00:02:17.260]  這裡就是那個情況了
[00:02:17.260 --> 00:02:19.360]  就是說那些有錢的人
[00:02:19.360 --> 00:02:22.460]  他們連一天的工資
[00:02:22.460 --> 00:02:24.360]  都不肯給那些工人
[00:02:24.360 --> 00:02:26.060]  來欺壓他們
[00:02:26.060 --> 00:02:29.560]  所以這裡的雅各就好像先知的口氣
[00:02:29.560 --> 00:02:31.060]  你記得我說過的雅各
[00:02:31.060 --> 00:02:31.960]  二者雅各
[00:02:31.960 --> 00:02:32.960]  James the Just
[00:02:32.960 --> 00:02:34.760]  就好像舊約的先知
[00:02:34.760 --> 00:02:35.960]  叫做 Amos
[00:02:35.960 --> 00:02:36.760]  Amos
[00:02:36.760 --> 00:02:40.560]  Amos 就是當時古以色列時期的一個先知
[00:02:40.560 --> 00:02:43.660]  他是國家裡面的元首
[00:02:43.660 --> 00:02:46.860]  那些少數的貴族
[00:02:46.860 --> 00:02:48.760]  囤積著很多財富的
[00:02:48.760 --> 00:02:50.660]  那幫人去警告他們
[00:02:50.660 --> 00:02:51.960]  那麼雅各呢
[00:02:51.960 --> 00:02:53.360]  也是用同一個口氣
[00:02:53.360 --> 00:02:56.160]  用同一個警告來告訴他們
[00:02:56.160 --> 00:02:56.960]  說什麼呢?
[00:02:56.960 --> 00:02:58.960]  他說你們這些人
[00:02:58.960 --> 00:03:03.560]  你們應該從喜樂變成哭泣和哀號
[00:03:03.560 --> 00:03:06.160]  因為很快很快上帝要去審判你們了
[00:03:06.160 --> 00:03:09.560]  你們的金銀銅鐵就會生鏽了
[00:03:09.560 --> 00:03:11.860]  你們的衣服穿得這麼華麗的時候
[00:03:11.860 --> 00:03:13.360]  又會被蟲蛀等等
[00:03:13.360 --> 00:03:16.060]  這些就好像耶穌說的那些口氣
[00:03:16.060 --> 00:03:18.660]  在地上積聚財寶的人
[00:03:18.660 --> 00:03:22.860]  上帝就一定會來 keep them accountable(保護他們)
[00:03:22.860 --> 00:03:25.060]  最後會有 judgment day(審判日)
[00:03:25.060 --> 00:03:29.260]  他形容世上奢華極恥的人
[00:03:29.260 --> 00:03:31.860]  就好像一頭肥牛一樣
[00:03:31.860 --> 00:03:33.960]  就是你一尾養一尾養他
[00:03:33.960 --> 00:03:35.660]  那麼他其實呢
[00:03:35.660 --> 00:03:37.560]  最終的結局是怎麼樣呢?
[00:03:37.560 --> 00:03:39.060]  就是被屠宰了
[00:03:39.060 --> 00:03:41.260]  那麼這個是很大的 warning(警告)
[00:03:41.260 --> 00:03:42.860]  一個很大的警告
[00:03:42.860 --> 00:03:44.060]  當 judgment day(審判日)
[00:03:44.060 --> 00:03:45.560]  審判來到的時候
[00:03:45.560 --> 00:03:48.560]  上帝就要去問責
[00:03:48.560 --> 00:03:50.960]  上帝就會施行他的審判
[00:03:50.960 --> 00:03:53.960]  我們要了解聖經當時的時代
[00:03:53.960 --> 00:03:55.260]  特別講到經濟的時候
[00:03:55.260 --> 00:03:57.460]  就需要留意我們現代人的經濟
[00:03:57.460 --> 00:04:00.860]  跟古代人的經濟的分別
[00:04:00.860 --> 00:04:04.260]  我們現代人看經濟是很不同的
[00:04:04.260 --> 00:04:08.660]  因為我們自工業革命等等的發達
[00:04:08.660 --> 00:04:10.760]  或者 capitalism(資本主義)發達的時候
[00:04:10.760 --> 00:04:12.060]  那麼自由市場裡面
[00:04:12.060 --> 00:04:14.960]  我們永遠都覺得資源是無限的
[00:04:14.960 --> 00:04:17.560]  或者資源會繼續去開發
[00:04:17.560 --> 00:04:18.960]  會繼續去 produce(生產)
[00:04:18.960 --> 00:04:20.760]  繼續去 multiply(多元化)的
[00:04:20.760 --> 00:04:21.360]  Right?
[00:04:21.360 --> 00:04:24.360]  永遠都覺得資源是不會有限的
[00:04:24.360 --> 00:04:26.360]  在古代的經濟裡面
[00:04:26.360 --> 00:04:28.060]  只有一個餅去分的
[00:04:28.060 --> 00:04:30.360]  那麼那些有錢有權有勢的人
