
[00:00:00.000 --> 00:00:11.500]  各位好,各位好,現在是經衛線的時候了
[00:00:11.500 --> 00:00:15.500]  上一次我們看完約拿書的第二章
[00:00:15.500 --> 00:00:19.000]  從約拿一個我們覺得相當之奇妮的祈禱
[00:00:19.000 --> 00:00:23.500]  我們看到一樣東西,會不會有時我們都好像約拿一樣
[00:00:23.500 --> 00:00:26.500]  在那個祈禱或者一個生活當中
[00:00:26.500 --> 00:00:30.000]  我們表面上有很多的敬虔、很多的讚美
[00:00:30.000 --> 00:00:34.000]  但是其實背後是隱藏著我們去逃避
[00:00:34.000 --> 00:00:38.500]  去承認自己需要認罪的一個情況
[00:00:38.500 --> 00:00:42.000]  將我們的屬靈生命變得形式化了
[00:00:42.000 --> 00:00:46.000]  而今天我們就轉到第三章了
[00:00:46.000 --> 00:00:48.500]  而在第三章裡面很有趣
[00:00:48.500 --> 00:00:51.000]  因為在第二章的第十節
[00:00:51.000 --> 00:00:54.000]  當約拿做完祈禱之後
[00:00:54.000 --> 00:00:58.000]  耶和華吩咐大禹一吐
[00:00:58.000 --> 00:01:00.000]  就吐了約拿出來
[00:01:00.000 --> 00:01:04.000]  吐了約拿出來之後,第三章就開始了
[00:01:04.000 --> 00:01:11.000]  究竟當約拿在一個旱地的時候又發生了什麼事呢?
[00:01:11.000 --> 00:01:15.000]  約拿在旱地上的時候所發生的事就是
[00:01:15.000 --> 00:01:17.000]  耶和華再一次的來呼召她
[00:01:17.000 --> 00:01:23.000]  在這次的呼召裡面,神的呼召的內容沒有變
[00:01:23.000 --> 00:01:25.000]  她的心意也沒有變
[00:01:25.000 --> 00:01:27.000]  變的就是約拿變了
[00:01:27.000 --> 00:01:31.000]  在第一章的時候,約拿是逃避耶和華神的呼召
[00:01:31.000 --> 00:01:35.000]  但是來到第三章的時候,約拿就是聽耶和華神的吩咐
[00:01:35.000 --> 00:01:38.000]  聽耶和華神的吩咐,去了利利眉
[00:01:38.000 --> 00:01:40.000]  但是到了利利眉之後
[00:01:40.000 --> 00:01:45.000]  究竟大家有沒有留意她那段跟著的記錄有什麼特別呢?
[00:01:45.000 --> 00:01:47.000]  Benny看到什麼呢?
[00:01:47.000 --> 00:01:50.000]  我覺得這段記錄是很過癮的
[00:01:50.000 --> 00:01:55.000]  首先經文說到利利眉是一個很大的城
[00:01:55.000 --> 00:01:57.000]  要三天才能走完
[00:01:57.000 --> 00:02:01.000]  約拿只能走一天
[00:02:01.000 --> 00:02:03.000]  然後她就跟別人宣告
[00:02:03.000 --> 00:02:05.000]  她說再等四十天
[00:02:05.000 --> 00:02:08.000]  四十天,利利眉就傾覆了
[00:02:08.000 --> 00:02:13.000]  這些跟平時先知所說的有一點不同
[00:02:13.000 --> 00:02:16.000]  因為她只是說一個consequence
[00:02:16.000 --> 00:02:18.000]  她沒有說那個解救的方法
[00:02:18.000 --> 00:02:24.000]  其實我想問,其實約拿是不是在敷衍呢?
[00:02:24.000 --> 00:02:30.000]  因為原文,希伯文宣告第四字的內容只有五個字
[00:02:30.000 --> 00:02:32.000]  真的很厲害
