
[00:00:00.000 --> 00:00:05.600]  大家好,我是很高興又和大家一起在這週的節目中與神的話一起跳進來,
[00:00:05.600 --> 00:00:08.400]  探討神對我們的真相,
[00:00:08.400 --> 00:00:13.100]  祂對我們所在的地方和現實中的勇氣,
[00:00:13.100 --> 00:00:15.100]  以及我們正在經歷的事情。
[00:00:15.100 --> 00:00:19.000]  這週我們將離開聖經的聖經,
[00:00:19.000 --> 00:00:21.300]  我們將看另一個國家的價值,
[00:00:21.300 --> 00:00:25.000]  那就是愛我們的鄰居。
[00:00:25.000 --> 00:00:30.600]  我們今天會看這個,因為現今世界有很多事情發生,
[00:00:30.600 --> 00:00:34.000]  我們作為信徒,我們想要回應這些事情,
[00:00:34.000 --> 00:00:36.000]  我們想要愛我們的鄰居,
[00:00:36.000 --> 00:00:39.900]  耶穌在福音書中給我們一些很好的建議,
[00:00:39.900 --> 00:00:41.600]  我們要怎麼做。
[00:00:41.600 --> 00:00:45.800]  有時候,我們看到的一切都很令人感到沮喪,
[00:00:45.800 --> 00:00:49.800]  例如,我們看到在維吾爾族軍隊在維吾爾州發生暴亂,
[00:00:49.800 --> 00:00:52.300]  在維吾爾州,軍隊在控制國家,
[00:00:52.300 --> 00:00:54.300]  然後有各種暴力,
[00:00:54.300 --> 00:00:56.300]  有被壓迫的人,
[00:00:56.300 --> 00:00:58.300]  有被壓迫的人的聲音,
[00:00:58.300 --> 00:01:00.300]  有被傷害的人,
[00:01:00.300 --> 00:01:03.800]  還有香港的這個糟糕的情況,
[00:01:03.800 --> 00:01:05.800]  自由被偷走了,
[00:01:05.800 --> 00:01:08.800]  有被沮喪的行為,
[00:01:08.800 --> 00:01:12.300]  我們看到世界上各種各樣的宗教暴力,
[00:01:12.300 --> 00:01:14.800]  我們看到中東和非洲的地方,
[00:01:14.800 --> 00:01:17.300]  在那裡,基督徒被迫害和襲擊,
[00:01:17.300 --> 00:01:19.800]  我們在這個地方,在這個市鎮,
[00:01:19.800 --> 00:01:21.800]  我們看到在街上的暴力,
[00:01:21.800 --> 00:01:23.800]  在這個市鎮,我們看到在街上的暴力,
[00:01:23.800 --> 00:01:25.800]  在這個市鎮,我們看到在街上的暴力,
[00:01:25.800 --> 00:01:27.800]  在這個市鎮,我們看到在街上的暴力,
