
[00:00:00.000 --> 00:00:02.000]  大兄姊妹早安
[00:00:02.000 --> 00:00:04.000]  早安
[00:00:04.000 --> 00:00:09.000]  記得幾年前在一間教會實習
[00:00:09.000 --> 00:00:14.000]  我和一個傳導人帶著一班大兄姊妹去台灣短訓
[00:00:14.000 --> 00:00:17.000]  其中一站我們就去這裡
[00:00:17.000 --> 00:00:21.000]  去這些食堂跟人們聊天報道
[00:00:21.000 --> 00:00:25.000]  我們幾個人一組,三四個人一組
[00:00:25.000 --> 00:00:29.000]  我們想著有一個辦法,不過這個是糞便的辦法
[00:00:29.000 --> 00:00:36.000]  我們就拿著大家看到我的左上角的鑰匙
[00:00:36.000 --> 00:00:42.000]  其實是五色珠,代表著不同的救恩狀態
[00:00:42.000 --> 00:00:46.000]  如果大家有用過五色珠應該會知道,去報道
[00:00:46.000 --> 00:00:54.000]  我們就這樣,拿著鑰匙扔在地上,踢過去
[00:00:54.000 --> 00:00:58.000]  我們想著…你先幫我保持著鑰匙
[00:00:58.000 --> 00:01:05.000]  這麼大的動作,台下或附近的年輕人應該會幫你撿
[00:01:05.000 --> 00:01:11.000]  我們看到一個年輕人很興奮地在打遊戲機
[00:01:11.000 --> 00:01:14.000]  我們就想著順理成章,把鑰匙踢過去
[00:01:14.000 --> 00:01:21.000]  年輕人,我叫Ken,謝謝你幫我們撿起這個鑰匙
[00:01:21.000 --> 00:01:26.000]  你有興趣了解一下這把鑰匙的意思嗎
[00:01:26.000 --> 00:01:29.000]  誰知道這個年輕人一點都不理睬我們
[00:01:29.000 --> 00:01:33.000]  我說國語已經算很標準了,對吧
[00:01:33.000 --> 00:01:36.000]  他一點都不理睬我們,不斷地在打遊戲機
[00:01:36.000 --> 00:01:40.000]  我猜新的世代可能也是這樣
[00:01:40.000 --> 00:01:44.000]  然後我們就很尷尬,你知道我們把鑰匙踢出去
[00:01:44.000 --> 00:01:49.000]  怎麼辦呢?我們唯有死氣沉沉地走到台下
[00:01:49.000 --> 00:01:51.000]  把鑰匙撿起來
[00:01:51.000 --> 00:01:56.000]  我們就眼尾一看,旁邊有沒有其他人
[00:01:56.000 --> 00:01:58.000]  有沒有其他目標
[00:01:58.000 --> 00:02:04.000]  我們就看到這個,這是AI圖
