
[00:00:00.000 --> 00:00:02.240]  每當我們想起一些浩劫的時候
[00:00:02.240 --> 00:00:04.000]  我們自然就會想起
[00:00:04.000 --> 00:00:06.640]  在我們世界的政局裡面有不穩
[00:00:06.640 --> 00:00:08.880]  或者可能近身一些
[00:00:08.880 --> 00:00:11.240]  在我們生活當中的狀況
[00:00:11.240 --> 00:00:12.440]  很多的改變
[00:00:12.440 --> 00:00:14.840]  或是經濟或是關係
[00:00:14.840 --> 00:00:17.840]  或者甚至是我們自己命途的前途
[00:00:17.840 --> 00:00:20.040]  觸摸不到的很多未知之數
[00:00:20.040 --> 00:00:24.440]  聖經每每提到一種類似情況的時候
[00:00:24.440 --> 00:00:28.040]  其實是講到上帝會做一些新的事情
[00:00:28.440 --> 00:00:30.440]  今天我們要去看一個人
[00:00:30.440 --> 00:00:31.760]  他是一個先知
[00:00:31.760 --> 00:00:33.040]  Prophet
[00:00:33.040 --> 00:00:35.560]  但是我們首先要搞清楚什麼叫Prophet
[00:00:35.560 --> 00:00:36.640]  什麼叫先知
[00:00:36.640 --> 00:00:39.560]  先知並不是拿著水晶球
[00:00:39.560 --> 00:00:40.840]  然後去微卜先知
[00:00:40.840 --> 00:00:43.040]  知道明天預測什麼時候會下雨
[00:00:43.040 --> 00:00:44.840]  真正的先知
[00:00:44.840 --> 00:00:47.440]  其實就是神的代言人
[00:00:47.440 --> 00:00:50.640]  是代替上帝說話的
[00:00:50.640 --> 00:00:52.840]  每一個真的先知
[00:00:52.840 --> 00:00:55.440]  就是接受了上帝對他的啟示
[00:00:55.440 --> 00:00:57.440]  應用在他自己的生命當中
[00:00:57.840 --> 00:01:00.440]  並且在危機的時候
[00:01:00.440 --> 00:01:02.040]  在轉變的時候
[00:01:02.040 --> 00:01:06.440]  他代替上帝向其他人宣告神的心意
[00:01:06.440 --> 00:01:08.240]  今天我們看這個先知
[00:01:08.240 --> 00:01:09.440]  他叫做以西傑
[00:01:09.440 --> 00:01:10.440]  Ezekiel
[00:01:10.440 --> 00:01:12.440]  以西傑書第一章
[00:01:12.440 --> 00:01:15.440]  當三十年四月初五日
[00:01:15.440 --> 00:01:18.440]  以西傑在加巴魯河邊避老的人中
[00:01:18.440 --> 00:01:20.240]  天就開了
[00:01:20.240 --> 00:01:21.840]  得見神的異象
[00:01:21.840 --> 00:01:24.440]  正是約瓦根王避老去
[00:01:24.440 --> 00:01:26.640]  第五年四月初五日
[00:01:27.240 --> 00:01:28.840]  在加勒底人之地
[00:01:28.840 --> 00:01:30.440]  加巴魯河邊
[00:01:30.440 --> 00:01:33.840]  耶和華的話特特臨到布西的兒子
[00:01:33.840 --> 00:01:35.240]  祭司以西傑
