
[00:00:00.000 --> 00:00:02.000]   And here's the announcement.
[00:00:02.000 --> 00:00:05.000]   Let's welcome Pastor Mark for today's sermon.
[00:00:05.000 --> 00:00:07.000]   Welcome everyone.
[00:00:07.000 --> 00:00:10.000]   And again, I want to remind you on your way out,
[00:00:10.000 --> 00:00:18.000]   there will be a table, there will be some products, CDs and media products featuring sun music.
[00:00:18.000 --> 00:00:21.000]   And please go pick it up. It's not free.
[00:00:21.000 --> 00:00:23.000]   You have to pay for it.
[00:00:23.000 --> 00:00:27.000]   And I think it's worth for you to support a ministry like this, right?
[00:00:27.000 --> 00:00:36.000]   To have strong and solid spiritual hymns and contemporary songs, worship songs, serving for the church.
[00:00:36.000 --> 00:00:43.000]   And we want to praise God and thank God for using Brenda in the past many years and writing so many songs.
[00:00:43.000 --> 00:00:48.000]   And Cantonese songs or English songs or Mandarin songs, right?
[00:00:48.000 --> 00:00:52.000]   Mandarin songs. Wasn't it a beautiful song?
[00:00:52.000 --> 00:00:54.000]   What was it?
[00:00:54.000 --> 00:00:57.000]   The Mandarin song I'm talking about. Yeah, the third one.
[00:00:57.000 --> 00:01:00.000]   Okay, those of you who don't know Chinese, it's okay.
[00:01:00.000 --> 00:01:02.000]   It's still beautiful, right?
[00:01:02.000 --> 00:01:03.000]   It's still beautiful.
[00:01:03.000 --> 00:01:10.000]   And we want a ministry like this to grow and to work with the church and support the church
[00:01:10.000 --> 00:01:15.000]   so that churches around the world can sing praises to our Lord, right?
[00:01:15.000 --> 00:01:16.000]   Amen?
[00:01:16.000 --> 00:01:19.000]   So please do support the Sun Music ministry.
[00:01:19.000 --> 00:01:23.000]   By the way, they have a YouTube channel and go Google it.
[00:01:23.000 --> 00:01:30.000]   Sun Music, S-O-N, Son of God, S-O-N, God's Son, Jesus Christ, S-O-N Music, okay?
[00:01:30.000 --> 00:01:32.000]   So go and subscribe, all right?
[00:01:32.000 --> 00:01:35.000]   Go and subscribe, please. Go and subscribe, all right?
[00:01:35.000 --> 00:01:42.000]   And support her ministry and it's really a bless to have her in the past weekend.
