
[00:00:00.000 --> 00:00:09.000]  耶利米埃國主持586年耶路撒冷聖殿被毀
[00:00:09.000 --> 00:00:13.000]  說到四處有很多敵人
[00:00:13.000 --> 00:00:15.000]  耶和華發怒的日子
[00:00:15.000 --> 00:00:18.000]  無人逃脫 無人生還
[00:00:18.000 --> 00:00:21.000]  全部都殺盡
[00:00:21.000 --> 00:00:23.000]  是不是真的耶路撒冷所有人都死了
[00:00:23.000 --> 00:00:27.000]  是不是猶大地的人所有人都死了
[00:00:27.000 --> 00:00:32.000]  不可能 事實上聖經其他的章節都告訴我們
[00:00:32.000 --> 00:00:34.000]  還有很多人留下了
[00:00:34.000 --> 00:00:37.000]  雖然被擄 有些人被攻陷
[00:00:37.000 --> 00:00:39.000]  但是有很多人在那裡
[00:00:39.000 --> 00:00:41.000]  所以又是所謂universal language
[00:00:41.000 --> 00:00:43.000]  一些普世性的語言
[00:00:43.000 --> 00:00:47.000]  西班牙一章第二節
[00:00:47.000 --> 00:00:50.000]  說到神要去審判以色列民
[00:00:50.000 --> 00:00:53.000]  我必從地上徹底地去除滅萬物
[00:00:53.000 --> 00:00:55.000]  所有的東西 core
[00:00:55.000 --> 00:00:59.000]  除滅所有的活物
[00:00:59.000 --> 00:01:01.000]  我必從地面裡剪除它們
[00:01:01.000 --> 00:01:04.000]  然後殺死所有的居民 core
[00:01:04.000 --> 00:01:07.000]  在那裡除滅它們
[00:01:07.000 --> 00:01:09.000]  這裡又是說586年
[00:01:09.000 --> 00:01:13.000]  上帝的審判來到的時候
[00:01:13.000 --> 00:01:17.000]  很肯定不是每個人都死清光
[00:01:17.000 --> 00:01:21.000]  為什麼作者要指出這裡呢
[00:01:21.000 --> 00:01:23.000]  Norman和Walton
[00:01:23.000 --> 00:01:28.000]  因為我們的解經一定需要一貫 一致
[00:01:28.000 --> 00:01:35.000]  我們不能夠說那裡有普世性的語言字眼
[00:01:35.000 --> 00:01:37.000]  然後我們就說全球
[00:01:37.000 --> 00:01:38.000]  這裡就不是了
[00:01:38.000 --> 00:01:40.000]  這裡我們就把它解釋掉
[00:01:40.000 --> 00:01:43.000]  這樣解釋就很生硬
[00:01:43.000 --> 00:01:47.000]  所以我們要知道聖經的原則
[00:01:47.000 --> 00:01:50.000]  是需要consistent 需要一致
[00:01:50.000 --> 00:01:54.000]  如何處理這些core auras
[00:01:54.000 --> 00:01:56.000]  in all the earth
[00:01:56.000 --> 00:02:00.000]  即是普世universal的字眼呢
[00:02:00.000 --> 00:02:02.000]  我們需要知道
[00:02:02.000 --> 00:02:06.000]  聖經很多時候記載一些大的災難
[00:02:06.000 --> 00:02:09.000]  一些很厲害的災劫發生
[00:02:09.000 --> 00:02:11.000]  浩劫發生的時候
[00:02:11.000 --> 00:02:15.000]  很多時候都會用一些這樣的語句去形容
[00:02:15.000 --> 00:02:18.000]  比如耶路撒冷被毀
[00:02:18.000 --> 00:02:20.000]  天下有饑荒
[00:02:20.000 --> 00:02:22.000]  沒有可能
[00:02:22.000 --> 00:02:25.000]  信了也好 還沒信的歷史學家都會告訴你
[00:02:25.000 --> 00:02:27.000]  根本沒有可能
[00:02:27.000 --> 00:02:30.000]  1500-1600BC約瑟的時間
[00:02:30.000 --> 00:02:32.000]  居然是全球的饑荒
[00:02:32.000 --> 00:02:34.000]  如果你告訴別人真的會笑死人
[00:02:34.000 --> 00:02:39.000]  所以我們在解經上需要留意這些
[00:02:39.000 --> 00:02:42.000]  所以有些人就說
[00:02:42.000 --> 00:02:44.000]  沒有可能
[00:02:44.000 --> 00:02:48.000]  如果你要證明洪水是全球的
[00:02:48.000 --> 00:02:52.000]  你一翻開耶穌的說話就知道是全球的
[00:02:52.000 --> 00:02:54.000]  因為在巴塞科罕第十四章說到
[00:02:54.000 --> 00:02:56.000]  人子來的時候
[00:02:56.000 --> 00:02:58.000]  耶穌的second coming
[00:02:58.000 --> 00:03:00.000]  沒有人知道那個時辰
[00:03:00.000 --> 00:03:03.000]  羅亞的日子怎樣 人子來臨也要怎樣
[00:03:03.000 --> 00:03:05.000]  他就說
[00:03:05.000 --> 00:03:08.000]  因為人子來的時候一定是全球的
[00:03:08.000 --> 00:03:10.000]  所有的人都會知道
[00:03:10.000 --> 00:03:12.000]  所以羅亞的日子是這樣的
