
[00:00:00.000 --> 00:00:03.200]  我們一向都在講啟示錄的
[00:00:03.200 --> 00:00:04.800]  我已經講了兩次了
[00:00:04.800 --> 00:00:08.400]  本身我們繼續講下去
[00:00:08.400 --> 00:00:10.280]  但是我就想一下
[00:00:10.280 --> 00:00:13.600]  我們需要去明白啟示錄裡面所講的東西的時候
[00:00:13.600 --> 00:00:16.200]  我們需要有一個整體一點的
[00:00:16.200 --> 00:00:19.800]  我們聖經裡面叫做《宗末論》
[00:00:19.800 --> 00:00:21.080]  Eschatology
[00:00:21.080 --> 00:00:23.600]  講起這個字的時候我們覺得很難
[00:00:23.600 --> 00:00:24.800]  其實一點都不難
[00:00:24.800 --> 00:00:26.480]  什麼叫做Eschatology呢
[00:00:26.480 --> 00:00:27.880]  是Eschaton這個字出來
[00:00:27.880 --> 00:00:31.000]  Greek的希臘文這個字
[00:00:31.000 --> 00:00:32.480]  意思就是說《宗末》的意思
[00:00:32.480 --> 00:00:33.480]  或者終點
[00:00:33.480 --> 00:00:35.680]  就是最後The End的意思
[00:00:35.680 --> 00:00:39.480]  聖經裡面有很多的不同的經文
[00:00:39.480 --> 00:00:41.280]  是跟這個《宗末論》是有關的
[00:00:41.280 --> 00:00:42.600]  Eschatology有關
[00:00:42.600 --> 00:00:45.480]  其中一段除了在啟示錄之外
[00:00:45.480 --> 00:00:47.080]  就是《馬太福音》第24章
[00:00:47.080 --> 00:00:50.680]  所以我們今天花一點時間去看《馬太福音》第24章
[00:00:50.680 --> 00:00:54.680]  一個很出名的港獨叫做Olivet Discourse
[00:00:54.680 --> 00:00:57.480]  意思就是說在艦艦山上面的港獨
[00:00:57.480 --> 00:00:59.880]  一個整段的聖經
[00:00:59.880 --> 00:01:01.080]  整段的經文
[00:01:01.080 --> 00:01:04.680]  就記載耶穌基督在艦艦山上面面對著耶路撒冷
[00:01:04.680 --> 00:01:08.280]  來講了一篇的說話
[00:01:08.280 --> 00:01:10.880]  這篇的說話是講到
[00:01:10.880 --> 00:01:13.280]  耶路撒冷聖城
[00:01:13.280 --> 00:01:14.680]  聖殿的將來
[00:01:14.680 --> 00:01:17.480]  還有世界終末的將來
[00:01:17.480 --> 00:01:19.880]  所以因為在艦艦山上面講
[00:01:19.880 --> 00:01:23.280]  我們就叫它做Olivet Discourse
[00:01:23.280 --> 00:01:24.680]  一篇的港獨
[00:01:24.680 --> 00:01:27.680]  但是我們每次看一篇的經文的時候
[00:01:27.680 --> 00:01:29.280]  要看一下上下文
[00:01:29.280 --> 00:01:30.480]  上下文發生什麼事呢
