
[00:00:00.000 --> 00:00:02.000]  各位觀眾大家好
[00:00:02.000 --> 00:00:04.000]  今天我們立刻去大雪
[00:00:04.000 --> 00:00:06.000]  剛進來的時候大雪
[00:00:06.000 --> 00:00:08.000]  和大家身邊的人說一說
[00:00:08.000 --> 00:00:10.000]  多謝你們來
[00:00:10.000 --> 00:00:12.000]  多謝你們冒著風雨
[00:00:12.000 --> 00:00:14.000]  值得多謝他們
[00:00:14.000 --> 00:00:16.000]  多謝他們,真的好事
[00:00:16.000 --> 00:00:18.000]  因為我早到的
[00:00:18.000 --> 00:00:20.000]  我算是早到的,八點多就到了
[00:00:20.000 --> 00:00:22.000]  所以那時候我們還是沒有雪的
[00:00:22.000 --> 00:00:24.000]  現在就非常大雪
[00:00:24.000 --> 00:00:26.000]  好了,夠了
[00:00:26.000 --> 00:00:28.000]  不用多謝大家
[00:00:28.000 --> 00:00:32.000]  這次我們回來的主題就是
[00:00:32.000 --> 00:00:34.000]  生命的頻道
[00:00:34.000 --> 00:00:36.000]  正如我所說,我們屬靈的生命
[00:00:36.000 --> 00:00:38.000]  是有一點像收音機
[00:00:38.000 --> 00:00:41.000]  我們需要收到上帝對我們的聲音
[00:00:41.000 --> 00:00:44.000]  我們有沒有調整好我們的收音機
[00:00:44.000 --> 00:00:46.000]  很多時候我們生活忙碌的時候
[00:00:46.000 --> 00:00:49.000]  我們沒有調整好,所以我們聽不到上帝的聲音
[00:00:49.000 --> 00:00:51.000]  或者我們沒有一個習慣
[00:00:51.000 --> 00:00:54.000]  練習一下怎樣調整那條天線
[00:00:54.000 --> 00:00:56.000]  調整那個頻道
[00:00:56.000 --> 00:00:58.000]  讓我們可以說話
[00:00:58.000 --> 00:01:00.000]  和聽到上帝說話的頻道
[00:01:00.000 --> 00:01:02.000]  上帝一向都是在說話的
[00:01:02.000 --> 00:01:04.000]  而我們呢
[00:01:04.000 --> 00:01:06.000]  就是不是在聽的意思
[00:01:06.000 --> 00:01:08.000]  上一次我們說到
[00:01:08.000 --> 00:01:10.000]  牧羊人和羊的關係
[00:01:10.000 --> 00:01:12.000]  記得嗎
[00:01:12.000 --> 00:01:15.000]  上帝,耶穌基督就是牧羊人
[00:01:15.000 --> 00:01:18.000]  而我們就是牠的一群羊
[00:01:18.000 --> 00:01:20.000]  羊就是做什麼的
[00:01:20.000 --> 00:01:25.000]  就是聽見和認得到牧羊人的聲音
[00:01:25.000 --> 00:01:27.000]  要我們認得到的時候
[00:01:27.000 --> 00:01:29.000]  我們才能夠知道
[00:01:29.000 --> 00:01:31.000]  上帝怎樣帶領我們
[00:01:31.000 --> 00:01:33.000]  所以有時候
[00:01:33.000 --> 00:01:35.000]  你想一下,如果你信了主那麼久
[00:01:35.000 --> 00:01:37.000]  你要了解,我們和上帝之間的關係
[00:01:37.000 --> 00:01:39.000]  不是純粹頭腦上的內容
[00:01:39.000 --> 00:01:41.000]  我們可以想到很多東西
[00:01:41.000 --> 00:01:43.000]  或者去拆位
[00:01:43.000 --> 00:01:47.000]  拆很多難的概念
[00:01:47.000 --> 00:01:49.000]  我們明白到等等
[00:01:49.000 --> 00:01:51.000]  但都是需要用心去感受
[00:01:51.000 --> 00:01:53.000]  我們和上帝之間的關係
[00:01:53.000 --> 00:01:56.000]  羊和牧羊人就是一個這樣的比喻
[00:01:56.000 --> 00:01:58.000]  這次我們用另一個比喻
[00:01:58.000 --> 00:02:01.000]  就是「我是葡萄樹,你們是枝子」
[00:02:01.000 --> 00:02:03.000]  這個比喻
[00:02:03.000 --> 00:02:05.000]  就是說耶穌
[00:02:05.000 --> 00:02:07.000]  就是葡萄樹
[00:02:07.000 --> 00:02:09.000]  我們就是那些枝子
[00:02:09.000 --> 00:02:11.000]  Vine and Branches
[00:02:11.000 --> 00:02:14.000]  我們想用這個比喻
[00:02:14.000 --> 00:02:16.000]  入手去想一想
[00:02:16.000 --> 00:02:19.000]  到底我們怎樣和上帝之間建立關係
