
[00:00:00.000 --> 00:00:02.000]  兄弟姐妹新年發財
[00:00:02.000 --> 00:00:04.000]  恭喜發財
[00:00:04.000 --> 00:00:06.000]  我們很喜歡錢
[00:00:06.000 --> 00:00:10.000]  新的一年快要到
[00:00:10.000 --> 00:00:13.000]  希望大家花點時間去拜年
[00:00:13.000 --> 00:00:16.000]  還有在後面拍照的時間
[00:00:16.000 --> 00:00:19.000]  這次我們試一下說一個新的題目
[00:00:19.000 --> 00:00:22.000]  這個題目其實我從來沒有說過
[00:00:22.000 --> 00:00:23.000]  在教會
[00:00:23.000 --> 00:00:25.000]  但我有時候會在團契
[00:00:25.000 --> 00:00:27.000]  或者茶經
[00:00:27.000 --> 00:00:29.000]  或者主要學校會提過
[00:00:29.000 --> 00:00:32.000]  就是和大地和萬物有關
[00:00:32.000 --> 00:00:34.000]  和創造有關
[00:00:34.000 --> 00:00:36.000]  上帝是否愛這個大地
[00:00:36.000 --> 00:00:38.000]  怎樣愛這個大地
[00:00:38.000 --> 00:00:40.000]  上帝和這個大地的萬物
[00:00:40.000 --> 00:00:44.000]  受造界、創造界有什麼關係
[00:00:44.000 --> 00:00:48.000]  所以我想藉著好幾次的講道
[00:00:48.000 --> 00:00:51.000]  和大家思想一下這個題目
[00:00:51.000 --> 00:00:54.000]  我們做一點點神學反省
[00:00:54.000 --> 00:00:57.000]  講神學反省的人會覺得很深
[00:00:57.000 --> 00:00:58.000]  什麼事?什麼神學反省?
[00:00:58.000 --> 00:01:00.000]  其實不是這麼深
[00:01:00.000 --> 00:01:02.000]  其實用我們的信仰或者聖經
[00:01:02.000 --> 00:01:05.000]  去想一想一些主題
[00:01:05.000 --> 00:01:07.000]  和信仰有什麼關係?
[00:01:07.000 --> 00:01:09.000]  我們有沒有地方我們想少了
[00:01:09.000 --> 00:01:11.000]  或者想不夠的?
[00:01:11.000 --> 00:01:13.000]  我們需要去到聖經裡面
[00:01:13.000 --> 00:01:16.000]  給我們一些啟示
[00:01:16.000 --> 00:01:17.000]  一些啟迪
[00:01:17.000 --> 00:01:20.000]  讓我們了解某一些主題
[00:01:20.000 --> 00:01:22.000]  到底應該作為一個基督徒
[00:01:22.000 --> 00:01:25.000]  作為一個站在聖經之下
[00:01:25.000 --> 00:01:26.000]  我們相信聖經的
[00:01:26.000 --> 00:01:30.000]  聖經、信仰對這些主題有什麼關係?
[00:01:30.000 --> 00:01:33.000]  我想首先做這些神學反省的時候
[00:01:33.000 --> 00:01:35.000]  先用幾個命題開始
[00:01:35.000 --> 00:01:39.000]  你回答我到底這個命題對還是不對
[00:01:39.000 --> 00:01:40.000]  第一
[00:01:40.000 --> 00:01:42.000]  上帝只是關心我的靈魂
[00:01:42.000 --> 00:01:44.000]  叫我信耶穌就上天堂
[00:01:44.000 --> 00:01:46.000]  對不對?
[00:01:46.000 --> 00:01:48.000]  先不要回答
[00:01:48.000 --> 00:01:50.000]  先不用開口回答
[00:01:50.000 --> 00:01:53.000]  因為等下最後會揭曉
[00:01:53.000 --> 00:01:58.000]  基督的救贖是不是只是救我脫離這個世界?
[00:01:58.000 --> 00:02:00.000]  離開這個這麼痛苦的世界
[00:02:00.000 --> 00:02:02.000]  敗壞的世界
[00:02:02.000 --> 00:02:03.000]  第三
[00:02:03.000 --> 00:02:05.000]  受造的世界必然都毀滅了
[00:02:05.000 --> 00:02:07.000]  沒得救了
[00:02:07.000 --> 00:02:09.000]  所以走為常計
[00:02:09.000 --> 00:02:11.000]  我們去天堂吧
[00:02:11.000 --> 00:02:13.000]  第四
[00:02:13.000 --> 00:02:15.000]  所謂Creation Care
[00:02:15.000 --> 00:02:18.000]  是與我無關的
[00:02:18.000 --> 00:02:20.000]  就是管理大地
[00:02:20.000 --> 00:02:21.000]  Take care 大地
[00:02:21.000 --> 00:02:23.000]  Take care 環境等等
[00:02:23.000 --> 00:02:25.000]  與我無關
[00:02:25.000 --> 00:02:27.000]  先打四個問號
[00:02:27.000 --> 00:02:29.000]  我們問這個問題的時候
[00:02:29.000 --> 00:02:31.000]  需要做一點反省
[00:02:31.000 --> 00:02:33.000]  到底聖經裡面怎麼說
[00:02:33.000 --> 00:02:35.000]  與我們和創造界有什麼關係?
[00:02:35.000 --> 00:02:37.000]  如果創造界是
[00:02:37.000 --> 00:02:39.000]  我們這個大自然
[00:02:39.000 --> 00:02:41.000]  或者這個世界
[00:02:41.000 --> 00:02:43.000]  用完即棄的話
[00:02:43.000 --> 00:02:46.000]  有些東西用完一次就丟掉了
[00:02:46.000 --> 00:02:48.000]  其實沒有什麼好保育的
[00:02:48.000 --> 00:02:50.000]  保留它幹嘛?
[00:02:50.000 --> 00:02:52.000]  反正它都玩完了
[00:02:52.000 --> 00:02:54.000]  你就不需要去保留它
[00:02:54.000 --> 00:02:56.000]  或者去
[00:02:56.000 --> 00:02:58.000]  Take care 它
[00:02:58.000 --> 00:03:00.000]  或者去護理它
[00:03:00.000 --> 00:03:03.000]  所以這裡首先有些大前提
[00:03:03.000 --> 00:03:06.000]  到底是不是好像這樣?
[00:03:06.000 --> 00:03:08.000]  我們知道原先的天地
[00:03:08.000 --> 00:03:10.000]  創世紀告訴我們一切都是好的
[00:03:10.000 --> 00:03:12.000]  甚至上帝看見這個世界
[00:03:12.000 --> 00:03:15.000]  創立這個世界是甚好的
[00:03:15.000 --> 00:03:18.000]  誰知道人就半變
[00:03:18.000 --> 00:03:20.000]  然後罪就闖入世界
[00:03:20.000 --> 00:03:22.000]  然後搞砸了這個世界
[00:03:22.000 --> 00:03:24.000]  現在的世界就是中間這條線
[00:03:24.000 --> 00:03:26.000]  基督當然有來過
[00:03:26.000 --> 00:03:28.000]  在歷史裡面
