
[00:00:00.000 --> 00:00:02.000]  時間交畀Mark Sir
[00:00:02.000 --> 00:00:06.000]  唔該曬啦Cindy
[00:00:06.000 --> 00:00:08.000]  好我哋再睇呢一個嘅topic
[00:00:08.000 --> 00:00:10.000]  我哋一路都係講緊
[00:00:10.000 --> 00:00:12.000]  健康嘅教會
[00:00:12.000 --> 00:00:14.000]  第一個問題想問大家
[00:00:14.000 --> 00:00:16.000]  一個健康嘅教會當然就係
[00:00:16.000 --> 00:00:18.000]  一班健康嘅基督徒嚟到組成
[00:00:18.000 --> 00:00:20.000]  一個健康嘅基督徒
[00:00:20.000 --> 00:00:22.000]  應該係點㗎
[00:00:22.000 --> 00:00:28.000]  好似medical report咁樣
[00:00:28.000 --> 00:00:30.000]  最近有冇睇醫生
[00:00:30.000 --> 00:00:32.000]  有呀
[00:00:32.000 --> 00:00:34.000]  我就去咗check up
[00:00:34.000 --> 00:00:36.000]  醫生就同我講你小心啲
[00:00:36.000 --> 00:00:38.000]  有啲嘢唔等你入口
[00:00:38.000 --> 00:00:40.000]  你就唔好放入口
[00:00:40.000 --> 00:00:42.000]  OK
[00:00:42.000 --> 00:00:44.000]  佢就話你都唔曬啦
[00:00:44.000 --> 00:00:46.000]  應該留意下你自己
[00:00:46.000 --> 00:00:48.000]  跟住你又瞓得唔好
[00:00:48.000 --> 00:00:50.000]  加加埋埋好多嘢你就玩完
[00:00:50.000 --> 00:00:52.000]  佢就畀個report畀我
[00:00:52.000 --> 00:00:54.000]  OK
[00:00:54.000 --> 00:00:56.000]  有啲嘢係需要承認
[00:00:56.000 --> 00:00:58.000]  我自己都有啲嘅生活上面
[00:00:58.000 --> 00:01:00.000]  一啲嘅
[00:01:00.000 --> 00:01:02.000]  或者dietary上面
[00:01:02.000 --> 00:01:04.000]  一啲嘅adjustment
[00:01:04.000 --> 00:01:06.000]  食嘢少咗呀等等
[00:01:06.000 --> 00:01:08.000]  食嘢少咗唔係因為窮
[00:01:08.000 --> 00:01:10.000]  食嘢少咗因為有啲嘢係真係唔落得口嘅
[00:01:10.000 --> 00:01:12.000]  咁就算啦
[00:01:12.000 --> 00:01:14.000]  咁我就唔食咁多嗰啲我鍾意食嘅嘢
[00:01:14.000 --> 00:01:16.000]  一個medical report
[00:01:16.000 --> 00:01:18.000]  聖經畀我哋
[00:01:18.000 --> 00:01:20.000]  教會基督徒
[00:01:20.000 --> 00:01:22.000]  都好多時有一個medical report
[00:01:22.000 --> 00:01:24.000]  去check check
[00:01:24.000 --> 00:01:26.000]  去check check
[00:01:26.000 --> 00:01:28.000]  到底你係咪健康先
[00:01:28.000 --> 00:01:30.000]  check check到底你係咪healthy
[00:01:30.000 --> 00:01:34.000]  我記得係呢個series裏面問過呢個問題
[00:01:34.000 --> 00:01:36.000]  係咪信得耶穌來嘅
[00:01:36.000 --> 00:01:38.000]  就知道
[00:01:38.000 --> 00:01:40.000]  好明白
[00:01:40.000 --> 00:01:42.000]  一個健康嘅教會
[00:01:42.000 --> 00:01:44.000]  一個健康嘅
[00:01:44.000 --> 00:01:46.000]  受靈心靈
[00:01:46.000 --> 00:01:48.000]  就應該係點嘅
[00:01:48.000 --> 00:01:50.000]  係咪信得耐就知嘅
[00:01:50.000 --> 00:01:52.000]  唔係呀嘛
[00:01:52.000 --> 00:01:54.000]  可能係初信嘅
[00:01:54.000 --> 00:01:56.000]  你更加清楚
[00:01:56.000 --> 00:01:58.000]  just shame on us
[00:01:58.000 --> 00:02:00.000]  有時係信得耐嘅
[00:02:00.000 --> 00:02:02.000]  反而唔係好知道
[00:02:02.000 --> 00:02:04.000]  問一問
[00:02:04.000 --> 00:02:06.000]  健康嘅基督徒係點
[00:02:06.000 --> 00:02:08.000]  一個健康嘅教會應該係點嘅
[00:02:08.000 --> 00:02:10.000]  ok 健康嘅教會應該係點呀
[00:02:10.000 --> 00:02:14.000]  舉個例
[00:02:14.000 --> 00:02:16.000]  一家好嘅餐館應該係點呀
[00:02:16.000 --> 00:02:20.000]  係咪個menu乜嘢都有呀
[00:02:20.000 --> 00:02:22.000]  係咪有成千樣menu
[00:02:22.000 --> 00:02:24.000]  你入去揀嘅時候
[00:02:24.000 --> 00:02:26.000]  唔知點揀嘅
[00:02:26.000 --> 00:02:28.000]  有冇去過啲餐館呀
[00:02:28.000 --> 00:02:30.000]  百幾個menu item
[00:02:30.000 --> 00:02:32.000]  你知點揀
[00:02:32.000 --> 00:02:34.000]  揀咗成15分鐘都未揀到
[00:02:34.000 --> 00:02:36.000]  又唔得定㗎喎
[00:02:36.000 --> 00:02:38.000]  唔得定嗰個嘅餐館
[00:02:38.000 --> 00:02:40.000]  樣樣嘢都有齊
[00:02:40.000 --> 00:02:42.000]  包羅萬有嘅
[00:02:42.000 --> 00:02:44.000]  有一間好嘅餐館
[00:02:44.000 --> 00:02:46.000]  另外一個例子
[00:02:48.000 --> 00:02:50.000]  你話你家
[00:02:50.000 --> 00:02:52.000]  你屋企
[00:02:52.000 --> 00:02:54.000]  係咪樣嘢都有呀你屋企
[00:02:54.000 --> 00:02:56.000]  但我問你呀
[00:02:56.000 --> 00:02:58.000]  如果你最近你屋企想買啲咩
[00:02:58.000 --> 00:03:00.000]  想到想買啲咩
[00:03:00.000 --> 00:03:02.000]  爭啲咩呀你屋企
[00:03:02.000 --> 00:03:04.000]  爭屋
[00:03:04.000 --> 00:03:06.000]  爭啲咩電器呀
[00:03:06.000 --> 00:03:08.000]  有啲需要用嘅用具呀
[00:03:08.000 --> 00:03:10.000]  有冇呀
[00:03:10.000 --> 00:03:12.000]  成日都有㗎係咪
[00:03:12.000 --> 00:03:14.000]  買幾多買唔完
[00:03:14.000 --> 00:03:16.000]  係咪你家屋企
[00:03:16.000 --> 00:03:18.000]  乜嘢都有
[00:03:18.000 --> 00:03:20.000]  就係一個健康嘅快樂嘅家
[00:03:20.000 --> 00:03:22.000]  英文好有意思呀
[00:03:22.000 --> 00:03:24.000]  英文係
[00:03:24.000 --> 00:03:26.000]  我記得嗰陣時我哋
[00:03:26.000 --> 00:03:28.000]  婚前輔導嘅時候我同我太太
[00:03:28.000 --> 00:03:30.000]  嗰個counselor同我哋講
[00:03:30.000 --> 00:03:32.000]  You are not building a house
[00:03:32.000 --> 00:03:34.000]  You are building a home
[00:03:34.000 --> 00:03:36.000]  You are building a home
[00:03:36.000 --> 00:03:38.000]  House同Home有咩分別
[00:03:38.000 --> 00:03:40.000]  House同Home有咩分別
[00:03:44.000 --> 00:03:46.000]  Home係講relationship
[00:03:46.000 --> 00:03:50.000]  House係講咩
[00:03:50.000 --> 00:03:52.000]  硬件
[00:03:52.000 --> 00:03:54.000]  有啲咩爐頭呀
[00:03:54.000 --> 00:03:56.000]  個廚房幾靚呀雲石做呀
[00:03:56.000 --> 00:03:58.000]  地板幾靚呀
[00:03:58.000 --> 00:04:00.000]  木嘅地板
[00:04:00.000 --> 00:04:02.000]  冷氣幾好呀
[00:04:02.000 --> 00:04:04.000]  但係裏面
[00:04:04.000 --> 00:04:06.000]  係點嘅
[00:04:06.000 --> 00:04:08.000]  就睇你個home係點
[00:04:08.000 --> 00:04:10.000]  睇你個relationship係點
[00:04:10.000 --> 00:04:12.000]  其實教會都係一樣
[00:04:12.000 --> 00:04:14.000]  教會都係一樣
[00:04:14.000 --> 00:04:16.000]  呢個topic值得我哋去諗下
[00:04:16.000 --> 00:04:18.000]  乜嘢係一間
[00:04:18.000 --> 00:04:20.000]  合上帝心意嘅教會
[00:04:20.000 --> 00:04:22.000]  again
[00:04:22.000 --> 00:04:24.000]  唔係將我哋嘅preference
[00:04:24.000 --> 00:04:26.000]  放喺頭先
[00:04:26.000 --> 00:04:28.000]  可能人哋問到你
[00:04:28.000 --> 00:04:30.000]  一個好嘅教會係點樣嘅
[00:04:30.000 --> 00:04:32.000]  你話樣樣嘢都有囉
[00:04:32.000 --> 00:04:34.000]  有兒童士工
[00:04:34.000 --> 00:04:36.000]  有培基士工有小學士工
[00:04:36.000 --> 00:04:38.000]  有中學士工有大學士工
[00:04:38.000 --> 00:04:40.000]  青少年士工等等所有嘢
[00:04:40.000 --> 00:04:42.000]  全部都有晒
[00:04:42.000 --> 00:04:44.000]  係咪一定係好嘅教會
[00:04:44.000 --> 00:04:46.000]  again we are not building a house
[00:04:46.000 --> 00:04:48.000]  we are building a home
[00:04:48.000 --> 00:04:50.000]  right
[00:04:50.000 --> 00:04:52.000]  again唔係我哋嘅preference
[00:04:52.000 --> 00:04:54.000]  係最重要
[00:04:54.000 --> 00:04:56.000]  係上帝嘅話語
[00:04:56.000 --> 00:04:58.000]  呢個先係最高嘅權威
[00:04:58.000 --> 00:05:00.000]  所以點解我哋一定要返返去
[00:05:00.000 --> 00:05:02.000]  上帝嘅說話
[00:05:02.000 --> 00:05:04.000]  上一次我哋睇咗
[00:05:04.000 --> 00:05:06.000]  係哥林多前書第十二章
[00:05:06.000 --> 00:05:08.000]  嗰度講到話每一個
[00:05:08.000 --> 00:05:10.000]  喺我哋在座嘅只要我哋
[00:05:10.000 --> 00:05:12.000]  喺基督裏面嘅如果你係未信嘅
[00:05:12.000 --> 00:05:14.000]  你係仲係摸索緊嘅
[00:05:14.000 --> 00:05:16.000]  除外
[00:05:16.000 --> 00:05:18.000]  如果你已經信咗主嘅話
[00:05:18.000 --> 00:05:20.000]  無論你信咗幾耐
[00:05:20.000 --> 00:05:22.000]  聖靈呢按照佢嘅主權
[00:05:22.000 --> 00:05:24.000]  係畀咗你
[00:05:24.000 --> 00:05:26.000]  恩賜
[00:05:26.000 --> 00:05:28.000]  畀你恩賜
[00:05:28.000 --> 00:05:30.000]  嘅原因同埋個目的
[00:05:30.000 --> 00:05:32.000]  就係為咗造就教會
[00:05:32.000 --> 00:05:34.000]  係咪
[00:05:34.000 --> 00:05:36.000]  哥林多前書第十二章
[00:05:36.000 --> 00:05:38.000]  本來就係處理緊
[00:05:38.000 --> 00:05:40.000]  spiritual gifts嘅問題
[00:05:40.000 --> 00:05:42.000]  每一個人都有spiritual gifts
[00:05:42.000 --> 00:05:44.000]  咁你哋點樣去到使到呢啲
[00:05:44.000 --> 00:05:46.000]  spiritual gifts去造就教會
[00:05:46.000 --> 00:05:48.000]  當然哥林多教會可能
[00:05:48.000 --> 00:05:50.000]  係新約教會裏面
[00:05:50.000 --> 00:05:52.000]  新約裏面眾多嘅教會裏面
[00:05:52.000 --> 00:05:54.000]  最豐盛嘅一間教會
[00:05:54.000 --> 00:05:56.000]  資源
[00:05:56.000 --> 00:05:58.000]  資材最豐盛嘅應該
[00:05:58.000 --> 00:06:00.000]  因為喺哥林多前書第一章
[00:06:00.000 --> 00:06:02.000]  開始嘅時候
[00:06:02.000 --> 00:06:04.000]  本來開頭嘅時候通常呢佢就會
[00:06:04.000 --> 00:06:06.000]  話為教會係咩祈禱
[00:06:06.000 --> 00:06:08.000]  佢都已經講咗句咁嘅
[00:06:08.000 --> 00:06:10.000]  說話佢話因為
[00:06:10.000 --> 00:06:12.000]  你哋呢
[00:06:12.000 --> 00:06:14.000]  在神裏面在主裏面
[00:06:14.000 --> 00:06:16.000]  凡事富足就
[00:06:16.000 --> 00:06:18.000]  具有各種口才
[00:06:18.000 --> 00:06:20.000]  各種知識
[00:06:20.000 --> 00:06:22.000]  嘅
[00:06:22.000 --> 00:06:24.000]  好唔好呢間教會
[00:06:24.000 --> 00:06:26.000]  最sharp嘅人都係嗰度
[00:06:26.000 --> 00:06:28.000]  社會裏面
[00:06:28.000 --> 00:06:30.000]  教會裏面所有
[00:06:30.000 --> 00:06:32.000]  有口才嘅人有知識
[00:06:32.000 --> 00:06:34.000]  嘅人
[00:06:34.000 --> 00:06:36.000]  都喺
[00:06:36.000 --> 00:06:38.000]  教會裏面
[00:06:38.000 --> 00:06:40.000]  但係呢個教會
[00:06:40.000 --> 00:06:42.000]  又係最混亂
[00:06:42.000 --> 00:06:44.000]  又係最混亂
[00:06:44.000 --> 00:06:46.000]  因為裏面
[00:06:46.000 --> 00:06:48.000]  有好多嘅人佢哋追求呢啲嘅
[00:06:48.000 --> 00:06:50.000]  才幹同埋
[00:06:50.000 --> 00:06:52.000]  恩慈
[00:06:52.000 --> 00:06:54.000]  就覺得自己係十分熟練
[00:06:54.000 --> 00:06:56.000]  覺得我比其他人
[00:06:56.000 --> 00:06:58.000]  洞見更加好
[00:06:58.000 --> 00:07:00.000]  我經歷呢就比較深
[00:07:00.000 --> 00:07:02.000]  其中一個嘅恩慈
[00:07:02.000 --> 00:07:04.000]  大家知道就係講方言嘅恩慈
[00:07:04.000 --> 00:07:06.000]  我哋唔係嗰種嘅
[00:07:06.000 --> 00:07:08.000]  傳統我哋唔係嗰種
[00:07:08.000 --> 00:07:10.000]  即係第一節會講方言嗰種嘅
[00:07:10.000 --> 00:07:12.000]  傳統我哋可能未必會直接
[00:07:12.000 --> 00:07:14.000]  去即係處理到
[00:07:14.000 --> 00:07:16.000]  佢裏面即係
[00:07:16.000 --> 00:07:18.000]  處理講方言嘅問題
[00:07:18.000 --> 00:07:20.000]  但保羅提醒咗乜嘢呢
[00:07:20.000 --> 00:07:22.000]  最主要個中心
[00:07:22.000 --> 00:07:24.000]  每一間教會都可以聽嘅
[00:07:24.000 --> 00:07:26.000]  或者每一間教會都可以應用嘅
[00:07:26.000 --> 00:07:28.000]  個原則就係乜
[00:07:28.000 --> 00:07:30.000]  佢具有超凡嘅能力
[00:07:30.000 --> 00:07:32.000]  OK 比人多
[00:07:32.000 --> 00:07:34.000]  知才比人多
[00:07:34.000 --> 00:07:36.000]  resources
[00:07:36.000 --> 00:07:38.000]  你哋要知道保羅話係出自上帝
[00:07:38.000 --> 00:07:40.000]  係聖靈
[00:07:40.000 --> 00:07:42.000]  所賜畀你嘅按照佢嘅主權
[00:07:42.000 --> 00:07:44.000]  按照佢嘅自由
[00:07:44.000 --> 00:07:46.000]  你都可以賜畀你
[00:07:46.000 --> 00:07:48.000]  以致你能夠
[00:07:48.000 --> 00:07:50.000]  使用喺教會裏面
[00:07:50.000 --> 00:07:52.000]  因此目的
[00:07:52.000 --> 00:07:54.000]  就係為咗the common good
[00:07:54.000 --> 00:07:56.000]  保羅就喺十二章嗰度講
[00:07:56.000 --> 00:07:58.000]  用身體
[00:07:58.000 --> 00:08:00.000]  嚟做一個比方
[00:08:00.000 --> 00:08:02.000]  十二章最後
[00:08:02.000 --> 00:08:04.000]  我哋繼續睇落去
[00:08:04.000 --> 00:08:06.000]  二十七節
[00:08:06.000 --> 00:08:08.000]  希盟士基督嘅身體係各自
[00:08:08.000 --> 00:08:10.000]  都士之體
[00:08:10.000 --> 00:08:12.000]  神喺教會裏面所設立嘅
[00:08:12.000 --> 00:08:14.000]  第一係使徒
[00:08:14.000 --> 00:08:16.000]  第二係prophet
[00:08:16.000 --> 00:08:18.000]  先至
[00:08:18.000 --> 00:08:20.000]  第三係教師
[00:08:20.000 --> 00:08:22.000]  其次嘅係行義能嘅
[00:08:22.000 --> 00:08:24.000]  再次嘅係
[00:08:24.000 --> 00:08:26.000]  醫病嘅恩賜
[00:08:26.000 --> 00:08:28.000]  幫助人嘅
[00:08:28.000 --> 00:08:30.000]  治理人嘅
[00:08:30.000 --> 00:08:32.000]  最後係說方言嘅
[00:08:32.000 --> 00:08:34.000]  佢特登將
[00:08:34.000 --> 00:08:36.000]  佢哋最渴求嘅嗰樣嘢
[00:08:36.000 --> 00:08:38.000]  最能夠表現到嗰樣嘢
[00:08:38.000 --> 00:08:40.000]  就係講方言
[00:08:40.000 --> 00:08:42.000]  佢就放喺最尾嘅
[00:08:42.000 --> 00:08:44.000]  唔係話嗰樣嘢冇價值
[00:08:44.000 --> 00:08:46.000]  而係保羅話咩
[00:08:46.000 --> 00:08:48.000]  恩賜嘅目的
[00:08:48.000 --> 00:08:50.000]  係要去造就其他人
[00:08:50.000 --> 00:08:52.000]  去使其他人
[00:08:52.000 --> 00:08:54.000]  有common good
[00:08:54.000 --> 00:08:56.000]  能夠去分享得到
