
[00:00:00.000 --> 00:00:03.160]  好 各位電視節目的觀眾 我們繼續今天的主題
[00:00:03.160 --> 00:00:04.660]  過去的三講
[00:00:04.660 --> 00:00:05.700]  兩講
[00:00:05.700 --> 00:00:06.700]  這次是第三講
[00:00:06.700 --> 00:00:08.700]  我們講到新天新地
[00:00:08.700 --> 00:00:13.100]  聖經裡面啟示了一個世界的觀念
[00:00:13.100 --> 00:00:15.600]  或者怎樣去看我們人生的觀念
[00:00:15.600 --> 00:00:20.800]  不是一個沒完沒了不斷循環的觀念
[00:00:20.800 --> 00:00:24.000]  看人生或者看世界 看歷史
[00:00:24.000 --> 00:00:27.000]  都不是一個沒完沒了一直在循環
[00:00:28.000 --> 00:00:30.000]  好像一首樂章一樣
[00:00:30.000 --> 00:00:32.000]  總是有一個目的地要去的
[00:00:32.000 --> 00:00:34.000]  那個叫Coda或者conclusion
[00:00:34.000 --> 00:00:36.000]  一定會是一條直線
[00:00:36.000 --> 00:00:39.000]  雖然可能有時候會重複一些東西
[00:00:39.000 --> 00:00:42.000]  但到最後會有一個結論
[00:00:42.000 --> 00:00:44.000]  這個就是聖經告訴我們有的世界觀
[00:00:44.000 --> 00:00:46.000]  就是新天新地
[00:00:46.000 --> 00:00:48.000]  聖經由開始的第一頁
[00:00:48.000 --> 00:00:51.000]  到它最後的那兩章
[00:00:51.000 --> 00:00:53.000]  就是好像那本Book N那樣
[00:00:53.000 --> 00:00:56.000]  告訴我們整個的時間表
[00:00:56.000 --> 00:00:59.000]  由頭到尾上帝是帶領著整個歷史
[00:00:59.000 --> 00:01:01.000]  而在中間發生什麼事
[00:01:01.000 --> 00:01:03.000]  中間就是耶穌基督來到
[00:01:03.000 --> 00:01:05.000]  祂的誕生 祂傳道
[00:01:05.000 --> 00:01:07.000]  然後在耶路撒冷上面
[00:01:07.000 --> 00:01:08.000]  祂寫在十字架上面
[00:01:08.000 --> 00:01:11.000]  為我們罪人擔當我們的罪
[00:01:11.000 --> 00:01:13.000]  然後第三天
[00:01:13.000 --> 00:01:15.000]  埋葬之後 祂就復活了
[00:01:15.000 --> 00:01:17.000]  墳墓是空的
[00:01:17.000 --> 00:01:20.000]  然後呢 神的兒子也都升天
[00:01:20.000 --> 00:01:22.000]  現在坐在天上面來作夢
[00:01:22.000 --> 00:01:25.000]  將有一天 祂會再回來
[00:01:25.000 --> 00:01:27.000]  所以這個聖經告訴我們
[00:01:27.000 --> 00:01:29.000]  這個世界觀
[00:01:29.000 --> 00:01:32.000]  是和世界裡面所說的世界觀是不同的
[00:01:32.000 --> 00:01:34.000]  向著一個結論
[00:01:34.000 --> 00:01:37.000]  向著一個意義來走向
[00:01:37.000 --> 00:01:39.000]  而到新天新地來到的時候
[00:01:39.000 --> 00:01:41.000]  就是基督再來的時候
[00:01:41.000 --> 00:01:45.000]  人在基督裡面就會復活了
[00:01:45.000 --> 00:01:49.000]  我們就會有一個不壞的榮耀的身體
[00:01:49.000 --> 00:01:52.000]  然後新天新地就會降臨
[00:01:52.000 --> 00:01:54.000]  好像新的耶路撒冷聖城一樣
[00:01:54.000 --> 00:01:57.000]  是沒有罪 沒有邪惡的一個地方
[00:01:57.000 --> 00:02:00.000]  沒有痛苦 沒有疾病 沒有哭號的一個地方
[00:02:00.000 --> 00:02:03.000]  那個地方就是我們正在去的目的地
[00:02:03.000 --> 00:02:06.000]  所以聖經裡面說很多終末的事情
[00:02:06.000 --> 00:02:09.000]  對我們人生是很有關係
[00:02:09.000 --> 00:02:12.000]  因為我們不是在這裡沒完沒了的
[00:02:12.000 --> 00:02:15.000]  去做我們一生裡面經營的事
[00:02:15.000 --> 00:02:17.000]  而是朝著一個方向
[00:02:17.000 --> 00:02:20.000]  朝著一個新天新地來去
[00:02:20.000 --> 00:02:22.000]  這次是第三講
[00:02:22.000 --> 00:02:25.000]  我們會看一段經文
[00:02:25.000 --> 00:02:27.000]  就是貼在我現在的前書
[00:02:27.000 --> 00:02:29.000]  這段經文我們看的時候
[00:02:29.000 --> 00:02:31.000]  我只有兩個重點
[00:02:31.000 --> 00:02:33.000]  第一個重點就是
[00:02:33.000 --> 00:02:36.000]  說到這位的王者會再來
[00:02:36.000 --> 00:02:38.000]  就是耶穌基督我們的主
[00:02:38.000 --> 00:02:40.000]  這個死而復活
[00:02:40.000 --> 00:02:45.000]  並且在天上來作王的主耶穌基督
[00:02:45.000 --> 00:02:47.000]  祂會再來的
[00:02:47.000 --> 00:02:50.000]  並且聖經宣告是肯定的
[00:02:50.000 --> 00:02:52.000]  聖經的啟示
[00:02:52.000 --> 00:02:54.000]  上天給我們的啟示
[00:02:54.000 --> 00:02:56.000]  揭開這個奧秘
[00:02:56.000 --> 00:02:58.000]  就是這個第二次來臨
[00:02:58.000 --> 00:03:02.000]  這個將會再來的君王
[00:03:02.000 --> 00:03:03.000]  是肯定的
[00:03:03.000 --> 00:03:05.000]  第二點就是
[00:03:05.000 --> 00:03:09.000]  祂的再來是越來越接近
[00:03:09.000 --> 00:03:11.000]  越來越近
[00:03:11.000 --> 00:03:13.000]  我們先看經文
[00:03:13.000 --> 00:03:15.000]  貼在我現在前書第四章
[00:03:15.000 --> 00:03:19.000]  抵門至於已睡了的人
[00:03:19.000 --> 00:03:21.000]  我們不願意你們不知道
[00:03:21.000 --> 00:03:23.000]  恐怕你們憂傷
[00:03:23.000 --> 00:03:25.000]  像那些沒有子望的人一樣
[00:03:25.000 --> 00:03:27.000]  既然我們信耶穌死了復活了
[00:03:27.000 --> 00:03:30.000]  那些已經在耶穌裡面睡了的人
[00:03:30.000 --> 00:03:34.000]  上帝也必將他們與耶穌一同帶來
[00:03:34.000 --> 00:03:36.000]  我們照著主的話
[00:03:36.000 --> 00:03:38.000]  告訴你們一件事
[00:03:38.000 --> 00:03:42.000]  我們這活著還存留到主來臨的人
[00:03:42.000 --> 00:03:45.000]  絕不能在那已經睡了的人之先
[00:03:45.000 --> 00:03:47.000]  因為召集另一法
[00:03:47.000 --> 00:03:49.000]  天使長的呼聲一叫
[00:03:49.000 --> 00:03:51.000]  上帝的號角一吹
[00:03:51.000 --> 00:03:54.000]  主必親自從天降臨
[00:03:54.000 --> 00:03:56.000]  那在基督裡面死了的人
[00:03:56.000 --> 00:03:58.000]  必先復活
[00:03:58.000 --> 00:04:01.000]  然後我們這些活著還存留的人
[00:04:01.000 --> 00:04:06.000]  必和他們一同被提到雲裡
[00:04:06.000 --> 00:04:08.000]  在空中與主相會
[00:04:08.000 --> 00:04:12.000]  這樣我們就要和主永遠同在
[00:04:12.000 --> 00:04:15.000]  所以你們要用這些話
[00:04:15.000 --> 00:04:19.000]  這些話彼此勸勉
[00:04:19.000 --> 00:04:25.000]  這段話是保羅寫信給當時的教會
[00:04:25.000 --> 00:04:27.000]  在帖撒雷加的一個城鎮
[00:04:27.000 --> 00:04:32.000]  一個羅馬的大城寫給他們的
[00:04:32.000 --> 00:04:34.000]  這個初生的教會可能有很多的struggle
[00:04:34.000 --> 00:04:37.000]  特別他們可能中間有些親人去世
[00:04:37.000 --> 00:04:40.000]  或者有些人離開了
[00:04:40.000 --> 00:04:42.000]  他們就憂傷難過
[00:04:42.000 --> 00:04:44.000]  這是難免的也是自然的
[00:04:44.000 --> 00:04:47.000]  但是保羅在這封書信
[00:04:47.000 --> 00:04:49.000]  帖撒雷加前書
[00:04:49.000 --> 00:04:51.000]  之後還有一本後書
[00:04:51.000 --> 00:04:53.000]  前書他講什麼呢
[00:04:53.000 --> 00:04:54.000]  講到第四章的時候
[00:04:54.000 --> 00:04:57.000]  他就說提一提這個很重要的事
[00:04:57.000 --> 00:05:00.000]  那以色說了的人
[00:05:00.000 --> 00:05:03.000]  我們知道他將來會發生什麼事
[00:05:03.000 --> 00:05:05.000]  而且我們還存留的
[00:05:05.000 --> 00:05:07.000]  如果我們有福氣
[00:05:07.000 --> 00:05:10.000]  耶穌是在我們有生之年回來的話
[00:05:10.000 --> 00:05:12.000]  我們會發生什麼事
[00:05:12.000 --> 00:05:14.000]  這是很重要的一段話
[00:05:14.000 --> 00:05:16.000]  這些的終末的思考
[00:05:16.000 --> 00:05:18.000]  或者終末的教導
[00:05:18.000 --> 00:05:20.000]  不是一些抽象的東西
[00:05:20.000 --> 00:05:23.000]  是和我們今時今日面對的事有關
[00:05:23.000 --> 00:05:25.000]  生活裡面可能有憂傷
[00:05:25.000 --> 00:05:26.000]  會有難過
[00:05:26.000 --> 00:05:27.000]  甚至會有困境
[00:05:27.000 --> 00:05:28.000]  不過這些終末的教導
[00:05:28.000 --> 00:05:30.000]  是給我們生命裡面有盼望
[00:05:30.000 --> 00:05:31.000]  有力量
[00:05:31.000 --> 00:05:34.000]  當你看到目的地的時候
[00:05:34.000 --> 00:05:39.000]  你的人生的方向就不會這麼容易陣腳大亂
[00:05:39.000 --> 00:05:41.000]  當我們面對有不同的險阻
[00:05:41.000 --> 00:05:45.000]  不同的眾叛親離等等
[00:05:45.000 --> 00:05:47.000]  只要我們見到最終的終點
[00:05:47.000 --> 00:05:51.000]  我們今時今日就會有所不同
[00:05:51.000 --> 00:05:53.000]  第四章第十五節這裡說什麼
[00:05:53.000 --> 00:05:57.000]  他說我們照主的話告訴你一件事
[00:05:57.000 --> 00:06:00.000]  主的話是誰
[00:06:00.000 --> 00:06:02.000]  就是主耶穌基督說過的
[00:06:02.000 --> 00:06:05.000]  這裡就是主耶穌曾經說過的東西
[00:06:05.000 --> 00:06:06.000]  然後初期的信徒
[00:06:06.000 --> 00:06:07.000]  初期的使徒
[00:06:07.000 --> 00:06:10.000]  他們記起那一件事
[00:06:10.000 --> 00:06:14.000]  我不知道他真正在引用的是哪一道
[00:06:14.000 --> 00:06:16.000]  可能是鑒探山的港道等等
[00:06:16.000 --> 00:06:19.000]  你記得面對耶路撒冷的時候
[00:06:19.000 --> 00:06:21.000]  耶穌進入耶路撒冷之前
[00:06:21.000 --> 00:06:25.000]  他在鑒探山上說過一些有關主在來的事情
[00:06:25.000 --> 00:06:27.000]  特別是主後70年
[00:06:27.000 --> 00:06:30.000]  會有什麼動盪的事情會發生
[00:06:30.000 --> 00:06:31.000]  然後有戰亂
[00:06:31.000 --> 00:06:32.000]  有饑荒等等
[00:06:32.000 --> 00:06:34.000]  羅馬軍隊會打過來
[00:06:34.000 --> 00:06:37.000]  然後用這個情況
[00:06:37.000 --> 00:06:40.000]  他又說了主的在來
[00:06:40.000 --> 00:06:42.000]  這種預言
[00:06:42.000 --> 00:06:45.000]  聖經裡面有很多這樣的應許
[00:06:45.000 --> 00:06:47.000]  由舊約至新約
[00:06:47.000 --> 00:06:49.000]  神的承諾
[00:06:49.000 --> 00:06:51.000]  我不喜歡說預言這麼多
[00:06:51.000 --> 00:06:53.000]  因為現代人一聽到預言
[00:06:53.000 --> 00:06:56.000]  我們就覺得是預先寫好的報紙
