
[00:00:00.000 --> 00:00:04.320]  好,我們這次繼續看敬拜的系列
[00:00:04.320 --> 00:00:08.120]  我們有幾次會講到什麼叫做敬拜
[00:00:08.120 --> 00:00:10.880]  上一次我們講到詩篇第八篇
[00:00:10.880 --> 00:00:15.800]  這次我們講到聖經的開頭
[00:00:15.800 --> 00:00:22.640]  我們看看聖經裡面整體有什麼對敬拜有教導的
[00:00:22.640 --> 00:00:25.880]  首先我們去看一段聖經
[00:00:25.880 --> 00:00:28.400]  就是《蒼世紀》第二章
[00:00:28.400 --> 00:00:30.920]  我們回到伊甸園
[00:00:30.920 --> 00:00:32.920]  我們先讀經文
[00:00:32.920 --> 00:00:34.920]  二章第七節
[00:00:34.920 --> 00:00:38.520]  耶和華上帝用地上的塵土造人
[00:00:38.520 --> 00:00:42.600]  將生命的氣吹進他的鼻孔
[00:00:42.600 --> 00:00:46.040]  這人就成了有靈的活人
[00:00:46.040 --> 00:00:50.640]  耶和華上帝在東方的伊甸栽了一個原子
[00:00:50.640 --> 00:00:53.680]  把所造的人安置在那裡
[00:00:53.680 --> 00:00:59.080]  耶和華上帝使各樣的樹從土地裡長出來
[00:00:59.080 --> 00:01:01.600]  可以越人的眼目好作食物
[00:01:01.600 --> 00:01:06.840]  原子當中有生命樹和知善惡的樹
[00:01:06.840 --> 00:01:08.440]  第十五節我們跳到
[00:01:08.440 --> 00:01:12.360]  耶和華上帝把那人安置在伊甸園
[00:01:12.360 --> 00:01:15.000]  讓他耕耘看管
[00:01:15.000 --> 00:01:16.720]  耶和華上帝吩咐那人說
[00:01:16.720 --> 00:01:19.360]  原種各樣樹上所出的
[00:01:19.360 --> 00:01:21.480]  你可以隨意吃
[00:01:21.480 --> 00:01:24.240]  只是知善惡的樹所出的
[00:01:24.240 --> 00:01:25.520]  你不可吃
[00:01:25.520 --> 00:01:28.920]  因為你吃他的日子必定死
[00:01:28.920 --> 00:01:30.160]  耶和華上帝說
[00:01:30.160 --> 00:01:33.120]  那人單獨一個不好
