
[00:00:00.000 --> 00:00:03.360]  今天中文堂的講演是Joyce傳道
[00:00:03.360 --> 00:00:05.360]  將時間交給她
[00:00:05.360 --> 00:00:13.760]  感謝神
[00:00:13.760 --> 00:00:16.760]  今天有機會在大家當中靜讀
[00:00:16.760 --> 00:00:19.840]  今天的主題叫《我而》
[00:00:19.840 --> 00:00:22.840]  經文在《針研三章》五至十二節
[00:00:22.840 --> 00:00:24.840]  我先跟大家讀一次
[00:00:24.840 --> 00:00:26.840]  你要專心仰賴耶和華
[00:00:26.840 --> 00:00:29.840]  不可以靠自己的聰明
[00:00:29.840 --> 00:00:31.840]  在你一切所行的事上
[00:00:31.840 --> 00:00:33.240]  都要認定它
[00:00:33.240 --> 00:00:35.240]  它必指引你的路
[00:00:35.240 --> 00:00:37.240]  不要自以為有智慧
[00:00:37.240 --> 00:00:39.240]  要敬畏耶和華
[00:00:39.240 --> 00:00:41.240]  遠離惡事
[00:00:41.240 --> 00:00:44.640]  這邊依自你的肚臍
[00:00:44.640 --> 00:00:46.640]  滋潤你的白骨
[00:00:46.640 --> 00:00:50.040]  你要以財物和一切初熟的土產
[00:00:50.040 --> 00:00:51.240]  尊榮耶和華
[00:00:51.240 --> 00:00:54.240]  這樣你的倉房必充滿有餘
[00:00:54.240 --> 00:00:57.240]  你的酒窖有新酒盈日
[00:00:57.240 --> 00:01:00.640]  我而你不可輕看耶和華的管教
[00:01:00.640 --> 00:01:03.240]  也不可厭煩他的責備
[00:01:03.240 --> 00:01:05.240]  因為耶和華所愛的
[00:01:05.240 --> 00:01:06.640]  他必責備
[00:01:06.640 --> 00:01:09.640]  正如父親責備所喜愛的兒子
[00:01:09.640 --> 00:01:13.640]  如果
[00:01:13.640 --> 00:01:16.640]  你相信主已經一段時間
[00:01:16.640 --> 00:01:19.240]  我相信這段經文
[00:01:19.240 --> 00:01:20.640]  大家都很熟悉
[00:01:20.640 --> 00:01:23.640]  特別這個《針研三章》五至十二節
[00:01:23.640 --> 00:01:26.240]  你要專心仰賴耶和華
[00:01:26.240 --> 00:01:28.240]  不可以靠自己的聰明
[00:01:28.240 --> 00:01:30.240]  在你一切所行的事上
[00:01:30.240 --> 00:01:32.240]  都要認定祂
[00:01:32.240 --> 00:01:34.240]  祂必指引你的路
[00:01:34.240 --> 00:01:36.240]  表面看來
[00:01:36.240 --> 00:01:38.240]  這段經文一點也不難明白
[00:01:38.240 --> 00:01:42.240]  似乎是說人要專心仰賴神
[00:01:42.240 --> 00:01:45.240]  不要自己冷醒靠自己的聰明
[00:01:45.240 --> 00:01:48.240]  認定神是我們生命的主
[00:01:48.240 --> 00:01:50.240]  如果人這樣做的時候
[00:01:50.240 --> 00:01:53.240]  神就會給我們一條出路
[00:01:53.240 --> 00:01:56.240]  一條方法或最好的結果
[00:01:56.240 --> 00:01:59.240]  作為一個基督徒
[00:01:59.240 --> 00:02:01.240]  特別我生了女兒之後
[00:02:01.240 --> 00:02:05.240]  這句經文就是我的座右銘
[00:02:05.240 --> 00:02:07.240]  我經常祈禱問神
[00:02:07.240 --> 00:02:10.240]  給我智慧如何養育我的女兒
[00:02:10.240 --> 00:02:12.240]  依照聖經的教導
[00:02:12.240 --> 00:02:15.240]  以致我不要得罪神
[00:02:15.240 --> 00:02:19.240]  特別是養小朋友的時候
[00:02:19.240 --> 00:02:23.240]  小時候有一樣東西很煩擾我
[00:02:23.240 --> 00:02:26.240]  就是每一次上學或外出
[00:02:26.240 --> 00:02:28.240]  他就會在抽屜裡找衣服
[00:02:28.240 --> 00:02:31.240]  我女兒找衣服的方法是這樣的
[00:02:31.240 --> 00:02:33.240]  找到一團亂
[00:02:33.240 --> 00:02:35.240]  如果你認識我
[00:02:35.240 --> 00:02:37.240]  我是一個很整齊的人
[00:02:37.240 --> 00:02:40.240]  這件事令我很苦惱
[00:02:40.240 --> 00:02:42.240]  有一次洗完衣服
[00:02:42.240 --> 00:02:44.240]  一起在房間坐在地毯上
[00:02:44.240 --> 00:02:46.240]  再摺衣服的時候
[00:02:46.240 --> 00:02:48.240]  我又想起這段經文
[00:02:48.240 --> 00:02:50.240]  神祈禱
[00:02:50.240 --> 00:02:52.240]  主啊 祢一定要給我一些方法
[00:02:52.240 --> 00:02:54.240]  如何教導我的女兒
[00:02:54.240 --> 00:02:56.240]  要選衣服的時候
[00:02:56.240 --> 00:02:57.240]  我自己想
[00:02:57.240 --> 00:02:59.240]  可以這樣揭開
[00:02:59.240 --> 00:03:01.240]  不用這樣抄
[00:03:01.240 --> 00:03:03.240]  一直祈禱的時候
[00:03:03.240 --> 00:03:06.240]  期間我有一個意念
[00:03:06.240 --> 00:03:08.240]  意念就是
[00:03:08.240 --> 00:03:11.240]  當我們摺好衣服的時候
[00:03:11.240 --> 00:03:14.240]  我就一手把我女兒摺的衣服推倒
[00:03:14.240 --> 00:03:16.240]  我女兒當然嚇了一跳
[00:03:16.240 --> 00:03:18.240]  媽媽 你在做什麼
[00:03:18.240 --> 00:03:20.240]  我就告訴她
[00:03:20.240 --> 00:03:23.240]  每一次這樣摺衣服的時候
[00:03:23.240 --> 00:03:25.240]  把衣服弄亂
[00:03:25.240 --> 00:03:29.240]  她現在的感受就是媽媽的感受
[00:03:29.240 --> 00:03:31.240]  我女兒點頭
[00:03:31.240 --> 00:03:33.240]  告訴我她明白
[00:03:33.240 --> 00:03:37.240]  當時我女兒六歲
[00:03:37.240 --> 00:03:40.240]  我當時當然在想
[00:03:40.240 --> 00:03:41.240]  主啊 祢真好
