
[00:00:00.000 --> 00:00:04.320]  我們今天繼續在以巴衝突的主題裡面
[00:00:04.320 --> 00:00:06.960]  我們思想到土地的問題
[00:00:06.960 --> 00:00:08.760]  在舊約裡面說了很多
[00:00:08.760 --> 00:00:10.320]  Land of Canaan
[00:00:10.320 --> 00:00:11.440]  Promised Land
[00:00:11.440 --> 00:00:12.600]  應許之地
[00:00:12.600 --> 00:00:14.000]  是什麼意思呢
[00:00:14.000 --> 00:00:16.400]  我們在過去的兩次
[00:00:16.400 --> 00:00:18.400]  我們都是處理著五個命題
[00:00:18.400 --> 00:00:19.840]  我們還在第三個命題
[00:00:19.840 --> 00:00:22.000]  第三個命題就是我們很多時候
[00:00:22.000 --> 00:00:25.840]  認為迦林地就是在舊約聖經裡面
[00:00:25.840 --> 00:00:28.520]  上帝寫包丹給以色列人
[00:00:28.760 --> 00:00:33.200]  只要上帝有這個地契
[00:00:33.200 --> 00:00:34.880]  他們就可以進入這個地方
[00:00:34.880 --> 00:00:37.360]  上一次我們解釋了大概一半左右
[00:00:37.360 --> 00:00:40.440]  其實在舊約的聖經裡面告訴我們
[00:00:40.440 --> 00:00:46.000]  土地是上帝和他的子民之間一個約
[00:00:46.000 --> 00:00:49.480]  所以不是寫包丹或者隨隨便便
[00:00:49.480 --> 00:00:52.440]  而是有恩典賜給土地
[00:00:52.440 --> 00:00:53.760]  給以色列人
[00:00:53.760 --> 00:00:56.480]  他們進入這個土地生活的時候
[00:00:56.480 --> 00:00:58.320]  在上帝的同在下生活
[00:00:58.320 --> 00:01:01.360]  他們就需要守約
[00:01:01.360 --> 00:01:05.680]  所以在律法書裡面說了很多不同的律例
[00:01:05.680 --> 00:01:08.320]  是說到他們得到這個地的時候
[00:01:08.320 --> 00:01:10.320]  不是說我們霸佔這個地
[00:01:10.320 --> 00:01:13.080]  而是我們得到這個恩典
[00:01:13.080 --> 00:01:15.800]  我們去學習回報
[00:01:15.800 --> 00:01:18.760]  所以第一個主題我們需要想清楚
[00:01:18.760 --> 00:01:21.320]  就是Land is a gift
[00:01:21.320 --> 00:01:23.560]  土地 迦林地
[00:01:23.560 --> 00:01:27.040]  是對上帝的子民是一個恩典
[00:01:27.040 --> 00:01:29.040]  能夠進入這個土地
[00:01:29.040 --> 00:01:32.040]  就能夠享受這個土地裡面的土產
[00:01:32.040 --> 00:01:34.040]  享受了之後
[00:01:34.040 --> 00:01:37.040]  接受了這個恩典的時候就需要去回報
[00:01:37.040 --> 00:01:40.040]  當然有很多這樣的律例都告訴以色列人
[00:01:40.040 --> 00:01:42.040]  他們在土地裡面應該怎樣生活
[00:01:42.040 --> 00:01:43.040]  或者Live in the land
[00:01:43.040 --> 00:01:45.040]  應該怎樣去生活
[00:01:45.040 --> 00:01:49.040]  怎樣去他們的操守行為等等
[00:01:49.040 --> 00:01:52.040]  其中一段我們可以去看一下
[00:01:52.040 --> 00:01:54.040]  就是《新民記》二十四章
[00:01:54.040 --> 00:01:56.040]  這裡說到他們收割的時候
[00:01:56.040 --> 00:01:58.040]  就是收割橄欖樹
[00:01:58.040 --> 00:02:00.040]  橄欖樹
[00:02:00.040 --> 00:02:04.040]  橄欖樹收割大概是每年的九月十月的時候
[00:02:04.040 --> 00:02:06.040]  當他們打橄欖樹的時候
[00:02:06.040 --> 00:02:08.040]  為什麼說打橄欖樹呢
[00:02:08.040 --> 00:02:10.040]  因為橄欖樹是用一支棍子去打
[00:02:10.040 --> 00:02:12.040]  然後橄欖樹會掉下來
[00:02:12.040 --> 00:02:14.040]  下面就鋪一塊布或者有個籃
[00:02:14.040 --> 00:02:16.040]  然後你就會收到那些橄欖
[00:02:16.040 --> 00:02:18.040]  打橄欖樹的時候
[00:02:18.040 --> 00:02:22.040]  枝上面所剩下的就不可再打了
[00:02:22.040 --> 00:02:24.040]  為什麼呢
[00:02:24.040 --> 00:02:27.040]  因為打剩的當然會有一點點
[00:02:27.040 --> 00:02:32.040]  所以耶和華就說不要打完
[00:02:32.040 --> 00:02:34.040]  就是說有錢不要賺完
[00:02:34.040 --> 00:02:36.040]  有錢不要賺到盡
[00:02:36.040 --> 00:02:39.040]  剩下一點點在樹枝上面
[00:02:39.040 --> 00:02:42.040]  要留給那些軟弱有需要的人
[00:02:42.040 --> 00:02:44.040]  孤兒寡婦寄居等等
[00:02:44.040 --> 00:02:46.040]  然後二十一節
[00:02:46.040 --> 00:02:48.040]  你們摘葡萄的時候
[00:02:48.040 --> 00:02:50.040]  摘葡萄
[00:02:50.040 --> 00:02:52.040]  我們這裡也有這樣的活動
[00:02:52.040 --> 00:02:54.040]  每逢秋季的時候
[00:02:54.040 --> 00:02:56.040]  我們就去摘一下南瓜
[00:02:56.040 --> 00:02:58.040]  不是摘南瓜
[00:02:58.040 --> 00:03:00.040]  摘一下蘋果等等
[00:03:00.040 --> 00:03:02.040]  南瓜太大了
[00:03:02.040 --> 00:03:04.040]  摘一下不同的東西
[00:03:04.040 --> 00:03:06.040]  摘一下一些水果等等
[00:03:06.040 --> 00:03:08.040]  這裡同樣是在說這件事
[00:03:08.040 --> 00:03:10.040]  同一個季度
[00:03:10.040 --> 00:03:12.040]  在秋季的時候
[00:03:12.040 --> 00:03:14.040]  葡萄樹要結果
[00:03:14.040 --> 00:03:16.040]  然後要去到收割
[00:03:16.040 --> 00:03:18.040]  掉下來的不可以收取
[00:03:18.040 --> 00:03:20.040]  就是說那些葡萄熟了
[00:03:20.040 --> 00:03:22.040]  掉在地上
[00:03:22.040 --> 00:03:24.040]  你就不要再收拾
[00:03:24.040 --> 00:03:26.040]  有錢不要賺到盡
[00:03:26.040 --> 00:03:28.040]  剩下給誰呢
[00:03:28.040 --> 00:03:32.040]  剩下給寄居孤兒和寡婦
[00:03:32.040 --> 00:03:34.040]  很多時候律法後面也有一句東西
[00:03:34.040 --> 00:03:38.040]  就是動機的句子
[00:03:38.040 --> 00:03:40.040]  Motive class
[00:03:40.040 --> 00:03:42.040]  就是告訴你為什麼要這樣做
[00:03:42.040 --> 00:03:44.040]  很多時候我們看律法的時候
[00:03:44.040 --> 00:03:46.040]  覺得很多事情要做
[00:03:46.040 --> 00:03:48.040]  很辛苦
[00:03:48.040 --> 00:03:50.040]  很多工作和責任等等
[00:03:50.040 --> 00:03:52.040]  但不是的
[00:03:52.040 --> 00:03:54.040]  他先說律法
[00:03:54.040 --> 00:03:56.040]  很多時候後面他一定會再提醒你
[00:03:56.040 --> 00:03:58.040]  提醒你什麼呢
[00:03:58.040 --> 00:04:00.040]  提醒你恩典
[00:04:00.040 --> 00:04:02.040]  你要記得
[00:04:02.040 --> 00:04:04.040]  因為你曾經在埃及地作過奴僕
[00:04:04.040 --> 00:04:08.040]  所以我就吩咐你進行這事
[00:04:08.040 --> 00:04:10.040]  你見不見到那個Motive告訴你
[00:04:10.040 --> 00:04:12.040]  你要記得曾經在埃及
[00:04:12.040 --> 00:04:14.040]  上帝拯救過你出來
[00:04:14.040 --> 00:04:16.040]  你已經得到恩典
[00:04:16.040 --> 00:04:18.040]  能夠進入這個地
[00:04:18.040 --> 00:04:20.040]  所以你應該
[00:04:20.040 --> 00:04:26.040]  不要像以前欺凌你埃及的主人一樣
[00:04:26.040 --> 00:04:28.040]  法老
[00:04:28.040 --> 00:04:30.040]  你今時今日進入迦牟尼的時候
[00:04:30.040 --> 00:04:32.040]  就在恩典的土地當中去學習
[00:04:32.040 --> 00:04:34.040]  感恩去回饋
[00:04:34.040 --> 00:04:38.040]  剩下的東西給貧苦大眾
[00:04:38.040 --> 00:04:40.040]  慷慨的來施瑜
[00:04:40.040 --> 00:04:44.040]  打橄欖打兩下就好了
[00:04:44.040 --> 00:04:46.040]  你已經有足夠
[00:04:46.040 --> 00:04:48.040]  其他東西可以奉獻給人
[00:04:48.040 --> 00:04:50.040]  去施瑜給人
[00:04:50.040 --> 00:04:52.040]  所以在舊約的律法裏面
[00:04:52.040 --> 00:04:54.040]  經常提到以色列人
[00:04:54.040 --> 00:04:56.040]  恩典的土地
[00:04:56.040 --> 00:04:58.040]  感恩的生活
[00:04:58.040 --> 00:05:00.040]  這個土地的認許
[00:05:00.040 --> 00:05:02.040]  已經在舊約裏面
[00:05:02.040 --> 00:05:04.040]  是實現了
[00:05:04.040 --> 00:05:06.040]  一句也不落空
[00:05:06.040 --> 00:05:08.040]  全都應閻了
