
[00:00:00.000 --> 00:00:02.960]  我們都會覺得是一篇讚美詩
[00:00:02.960 --> 00:00:04.480]  因為我們都很熟悉
[00:00:04.480 --> 00:00:05.600]  我們都很熟悉
[00:00:05.600 --> 00:00:06.600]  我們都會覺得
[00:00:06.600 --> 00:00:08.600]  這篇詩是一篇讚美詩
[00:00:08.600 --> 00:00:09.800]  我們都會覺得
[00:00:09.800 --> 00:00:11.800]  這篇詩是一篇讚美詩
[00:00:11.800 --> 00:00:12.800]  我們都會覺得
[00:00:12.800 --> 00:00:14.800]  這篇詩是一篇讚美詩
[00:00:14.800 --> 00:00:15.800]  我們都會覺得
[00:00:15.800 --> 00:00:17.800]  這篇詩是一篇讚美詩
[00:00:17.800 --> 00:00:18.800]  我們都會覺得
[00:00:18.800 --> 00:00:20.800]  這篇詩是一篇讚美詩
[00:00:20.800 --> 00:00:21.800]  我們都會覺得
[00:00:21.800 --> 00:00:23.800]  這篇詩是一篇讚美詩
[00:00:23.800 --> 00:00:24.800]  我們都會覺得
[00:00:24.800 --> 00:00:26.800]  這篇詩是一篇讚美詩
[00:00:26.800 --> 00:00:27.800]  我們都會覺得
[00:00:27.800 --> 00:00:29.800]  這篇詩是一篇讚美詩
[00:00:29.800 --> 00:00:31.800]  因為裡面的詩詞歌賦
[00:00:31.800 --> 00:00:34.800]  讓我們好像很感激上帝
[00:00:34.800 --> 00:00:35.800]  讓我們好像很感激上帝
[00:00:35.800 --> 00:00:36.800]  很感恩等等
[00:00:36.800 --> 00:00:38.800]  大家看看這篇詩篇
[00:00:38.800 --> 00:00:39.800]  很多時候的用語
[00:00:39.800 --> 00:00:42.800]  都不是一篇典型的讚美詩會用的
[00:00:42.800 --> 00:00:46.800]  他向耶和華呼求
[00:00:46.800 --> 00:00:49.800]  他去求主
[00:00:49.800 --> 00:00:51.800]  去為他伸冤
[00:00:51.800 --> 00:00:54.800]  有很多的敵人來壓迫他
[00:00:54.800 --> 00:00:58.800]  這些都不是普通讚美詩會寫的東西
[00:00:58.800 --> 00:01:00.800]  反而在詩篇裡面
[00:01:00.800 --> 00:01:02.800]  很多時候會提到
[00:01:02.800 --> 00:01:05.800]  叫上帝伸冤
[00:01:05.800 --> 00:01:08.800]  這些都是哀歌經常會提到的
[00:01:08.800 --> 00:01:10.800]  哀歌是什麼呢?
[00:01:10.800 --> 00:01:15.800]  就是詩人面對很多重重的壓迫
[00:01:15.800 --> 00:01:17.800]  重重的不安
[00:01:17.800 --> 00:01:22.800]  他會去求上帝為他伸冤
[00:01:22.800 --> 00:01:24.800]  他面對敵人的時候
[00:01:24.800 --> 00:01:25.800]  面對欺壓的時候
[00:01:25.800 --> 00:01:27.800]  他去求主幫助他
[00:01:27.800 --> 00:01:30.800]  他的心來到神的面前
[00:01:30.800 --> 00:01:32.800]  求上帝給他力量
[00:01:32.800 --> 00:01:36.800]  給他能夠有那種智慧
[00:01:36.800 --> 00:01:39.800]  去面對重重的壓迫
[00:01:39.800 --> 00:01:41.800]  今天在疫情當中
[00:01:41.800 --> 00:01:44.800]  這篇詩篇就是對我們說話的
[00:01:44.800 --> 00:01:46.800]  不如我們看看這篇詩篇到底說什麼
[00:01:46.800 --> 00:01:49.800]  詩篇139篇
[00:01:49.800 --> 00:01:51.800]  耶和華你監察了我
[00:01:51.800 --> 00:01:52.800]  你認識我
[00:01:52.800 --> 00:01:54.800]  我坐下我起來
[00:01:54.800 --> 00:01:55.800]  你都知道
[00:01:55.800 --> 00:01:58.800]  你在遠處就明白我的意念
[00:01:58.800 --> 00:02:00.800]  我行路我躺臥
[00:02:00.800 --> 00:02:01.800]  你都細察
[00:02:01.800 --> 00:02:04.800]  我的一切行為你都熟悉
[00:02:04.800 --> 00:02:07.800]  耶和華我的舌頭還沒有發炎
