
[00:00:00.000 --> 00:00:03.400]  好 今日我哋繼續睇呢個series
[00:00:03.400 --> 00:00:05.400]  就係睇下聖經嘅節期
[00:00:05.400 --> 00:00:07.400]  每逢講到節期嘅時候
[00:00:07.400 --> 00:00:10.400]  好多時我哋都會諗起同一啲故事
[00:00:10.400 --> 00:00:12.400]  或者歷史嘅事蹟
[00:00:12.400 --> 00:00:14.400]  或者食物有關
[00:00:14.400 --> 00:00:16.400]  譬如我比你估估
[00:00:16.400 --> 00:00:18.400]  或者你諗一諗
[00:00:18.400 --> 00:00:20.400]  到新年嘅時候我哋華人食咩
[00:00:20.400 --> 00:00:25.400]  年糕係咪 冇錯 年糕
[00:00:25.400 --> 00:00:27.400]  或者
[00:00:27.400 --> 00:00:29.400]  蠔豉發菜嗰啲咁嘅嘢
[00:00:29.400 --> 00:00:31.400]  我細個嘅時候最怕食嗰啲
[00:00:31.400 --> 00:00:33.400]  食一日ok
[00:00:33.400 --> 00:00:35.400]  跟住第二日又食 第三日又食
[00:00:35.400 --> 00:00:37.400]  食到初七 咁我就覺得好辛苦
[00:00:37.400 --> 00:00:39.400]  譬如仲有咩節日呢
[00:00:39.400 --> 00:00:41.400]  同呢啲食物有關
[00:00:41.400 --> 00:00:43.400]  冬至
[00:00:43.400 --> 00:00:45.400]  湯圓係咪
[00:00:45.400 --> 00:00:47.400]  喂 湯圓
[00:00:47.400 --> 00:00:49.400]  仲有呢 糯米
[00:00:49.400 --> 00:00:51.400]  仲有呢 打邊爐係咪
[00:00:51.400 --> 00:00:53.400]  打邊爐
[00:00:53.400 --> 00:00:55.400]  仲有咩節呢
[00:00:55.400 --> 00:00:57.400]  感恩節呢
[00:00:57.400 --> 00:00:59.400]  係打邊爐係咪
[00:00:59.400 --> 00:01:01.400]  端午節食咩
[00:01:01.400 --> 00:01:03.400]  就唔係打邊爐
[00:01:03.400 --> 00:01:05.400]  我哋淨係識打邊爐
[00:01:05.400 --> 00:01:07.400]  咁講到聖經嘅節期
[00:01:07.400 --> 00:01:09.400]  其實都有好多同食物有關
[00:01:09.400 --> 00:01:11.400]  譬如今次我哋講
[00:01:11.400 --> 00:01:13.400]  預節
[00:01:13.400 --> 00:01:15.400]  預節同乜嘢有關
[00:01:15.400 --> 00:01:17.400]  食物
[00:01:17.400 --> 00:01:19.400]  羊我哋諗到係咪
[00:01:19.400 --> 00:01:21.400]  我哋第一樣嘢就會諗到係羊
[00:01:21.400 --> 00:01:23.400]  事實上聖經裏面
[00:01:23.400 --> 00:01:25.400]  第一次守預節嘅時候
[00:01:25.400 --> 00:01:27.400]  就係同羊有關
[00:01:27.400 --> 00:01:29.400]  係出埃及記你記得
[00:01:29.400 --> 00:01:31.400]  當耶和華要降十災
[00:01:31.400 --> 00:01:33.400]  最後嗰災
[00:01:33.400 --> 00:01:37.400]  就係擊殺埃及長子嘅一災
[00:01:37.400 --> 00:01:39.400]  係上帝嘅審判
[00:01:39.400 --> 00:01:41.400]  去到呢一個嘅
[00:01:41.400 --> 00:01:43.400]  即係所謂強國當時
[00:01:43.400 --> 00:01:45.400]  然之後呢
[00:01:45.400 --> 00:01:47.400]  以色列人住喺埃及裏面
[00:01:47.400 --> 00:01:49.400]  佢哋係需要被拯救出嚟嘅
[00:01:49.400 --> 00:01:51.400]  於是乎上帝就同佢哋
[00:01:51.400 --> 00:01:53.400]  設立呢一個嘅預節
[00:01:53.400 --> 00:01:55.400]  十二章第三節
[00:01:55.400 --> 00:01:57.400]  嗰度講到
[00:01:57.400 --> 00:01:59.400]  預節嘅安排
[00:01:59.400 --> 00:02:01.400]  即係你哋要去做啲乜嘢
[00:02:01.400 --> 00:02:03.400]  然之後呢
