
[00:00:00.000 --> 00:00:02.520]  謝謝Mark Sir的邀請
[00:00:02.520 --> 00:00:05.200]  今天來到U3都覺得很棒
[00:00:05.200 --> 00:00:06.920]  很多人都很歡迎
[00:00:06.920 --> 00:00:08.400]  又有很好吃的早餐
[00:00:08.400 --> 00:00:09.440]  很棒的咖啡
[00:00:09.440 --> 00:00:13.120]  很感謝大家願意在教會服侍
[00:00:13.120 --> 00:00:17.800]  我今天講題是《若拿的一小步》
[00:00:17.800 --> 00:00:19.960]  是關於若拿書二章的
[00:00:19.960 --> 00:00:23.520]  希望上帝的話語能夠觸動大家
[00:00:23.520 --> 00:00:27.120]  希望今天你拿走的是上帝去感動你
[00:00:27.120 --> 00:00:29.120]  親自去跟你說話
[00:00:29.120 --> 00:00:33.200]  我們為何會叫《若拿的一小步》呢?
[00:00:33.200 --> 00:00:37.000]  我想先跟大家看看《若拿書》的背景
[00:00:37.000 --> 00:00:39.200]  我們先看看前文提要
[00:00:39.200 --> 00:00:41.600]  究竟若拿發生了甚麼事呢?
[00:00:41.600 --> 00:00:44.560]  若拿一開始在猶大的地方
[00:00:44.560 --> 00:00:47.000]  他就被上帝呼召
[00:00:47.000 --> 00:00:48.480]  上帝就跟他說
[00:00:48.480 --> 00:00:50.360]  你要去尼尼尾城
[00:00:50.360 --> 00:00:52.440]  去宣講神的話語
[00:00:52.440 --> 00:00:55.440]  尼尼尾城在東邊
[00:00:55.440 --> 00:00:57.280]  若拿做了甚麼呢?
[00:00:57.280 --> 00:01:00.240]  若拿一走,就走到西邊
[00:01:00.240 --> 00:01:02.520]  直接經過約柏這個港口
[00:01:02.520 --> 00:01:04.560]  直接要去塔斯
[00:01:04.560 --> 00:01:06.280]  如果你知道距離
[00:01:06.280 --> 00:01:09.520]  是一個以色列和西班牙的距離
[00:01:09.520 --> 00:01:13.120]  意思就是他要橫跨整個地中海
[00:01:13.120 --> 00:01:15.480]  逃避上帝的呼召
[00:01:15.480 --> 00:01:18.080]  當然上帝就沒有放過他
[00:01:18.080 --> 00:01:20.240]  上帝不會那麼容易放過我們
[00:01:20.240 --> 00:01:24.080]  所以上帝就在途中興起了一個風浪
[00:01:24.080 --> 00:01:25.600]  那些人就很害怕
[00:01:25.600 --> 00:01:26.520]  怎麼辦?
[00:01:26.520 --> 00:01:28.680]  我們這次怎麼做好?
[00:01:28.680 --> 00:01:30.480]  當那些人很害怕的時候
[00:01:30.480 --> 00:01:31.840]  若拿就沒有反應
[00:01:31.840 --> 00:01:33.760]  他只好睡覺
[00:01:33.760 --> 00:01:35.520]  但接著那些人就開始抽籤
[00:01:35.520 --> 00:01:40.680]  是誰的錯令我們受風浪呢?
[00:01:40.680 --> 00:01:42.120]  接著他一抽籤
[00:01:42.120 --> 00:01:44.040]  抽到若拿出來
[00:01:44.040 --> 00:01:47.600]  若拿就唯有坦白相告發生了甚麼事
[00:01:47.600 --> 00:01:49.040]  那些人就問若拿
[00:01:49.040 --> 00:01:49.960]  喂,怎麼辦?
[00:01:49.960 --> 00:01:51.760]  我們應該怎麼做?
[00:01:51.760 --> 00:01:53.000]  若拿就說
[00:01:53.000 --> 00:01:55.000]  那不如你把我扔下海
[00:01:55.000 --> 00:01:56.360]  你把我扔下海的話
[00:01:56.360 --> 00:01:58.080]  風浪就會停止
[00:01:58.080 --> 00:02:01.720]  那若拿就被人扔下海了
[00:02:01.720 --> 00:02:03.440]  發生了甚麼事呢?
[00:02:03.440 --> 00:02:06.160]  上帝猜險了一條大魚
[00:02:06.160 --> 00:02:07.680]  吞了若拿
[00:02:07.680 --> 00:02:11.000]  很多人會覺得那條大魚很噁心
[00:02:11.000 --> 00:02:15.720]  想像一下在口水滿佈的漁福裡面生存
[00:02:15.720 --> 00:02:16.560]  但你想清楚一點
[00:02:16.560 --> 00:02:19.120]  這是一個上帝的拯救
[00:02:19.120 --> 00:02:20.880]  我們今天要看的第二章
[00:02:20.880 --> 00:02:24.480]  是在一個上帝拯救的場景下發生的
[00:02:24.480 --> 00:02:27.160]  究竟若拿面對上帝的拯救
[00:02:27.160 --> 00:02:29.040]  他會怎麼回應呢?
[00:02:29.040 --> 00:02:32.760]  但同時我們知道若拿是一個不信服的先知
[00:02:32.760 --> 00:02:36.240]  若拿是一個不喜歡上帝的呼召的先知
[00:02:36.240 --> 00:02:39.320]  他越走越遠
[00:02:39.320 --> 00:02:43.040]  他正在經歷的不單只是一個生命的低谷
[00:02:43.040 --> 00:02:46.240]  他正在經歷的是一個屬靈的低谷
[00:02:46.240 --> 00:02:48.480]  今天我想大家帶走的是
[00:02:48.480 --> 00:02:51.440]  如果你今天身處屬靈的低谷
[00:02:51.440 --> 00:02:54.120]  其實我們有沒有一個轉捩點呢?
[00:02:54.120 --> 00:02:56.800]  我們如果今天面對一個屬靈的低谷
[00:02:56.800 --> 00:02:59.440]  我們有沒有辦法走出去呢?
[00:02:59.440 --> 00:03:01.520]  這個世界只有兩類人
[00:03:01.520 --> 00:03:04.160]  一是屬靈的低谷裡面的人
[00:03:04.160 --> 00:03:07.080]  一是將要面對屬靈的低谷的人
[00:03:07.080 --> 00:03:10.600]  從來沒有人可以避過一個屬靈的低谷
[00:03:10.600 --> 00:03:12.080]  但我們想知道的是
[00:03:12.080 --> 00:03:16.520]  其實有沒有一個轉捩點可以發生呢?
[00:03:16.520 --> 00:03:18.480]  我們一起有個祈禱吧
[00:03:18.480 --> 00:03:20.440]  我們透過祈禱求神
[00:03:20.440 --> 00:03:23.320]  開開我們的眼睛
[00:03:23.320 --> 00:03:26.040]  親愛的天父我們去感謝祢
[00:03:26.040 --> 00:03:28.920]  我們很感謝祢賜下祢的話語
[00:03:28.920 --> 00:03:31.400]  我們感謝祢賜下約拿書
[00:03:31.400 --> 00:03:34.800]  讓我們知道原來人很真實的場景就是
[00:03:34.800 --> 00:03:36.840]  我們會不信服
[00:03:36.840 --> 00:03:39.960]  我們會面對屬靈的低谷
[00:03:39.960 --> 00:03:42.720]  但神啊祢去給我們一個出路
[00:03:42.720 --> 00:03:46.040]  所以主啊求祢給我們心裡面有期待
[00:03:46.040 --> 00:03:47.520]  求祢給我們心裡面
[00:03:47.520 --> 00:03:50.480]  我們期待祢的話語來到我們生命裡面
[00:03:50.480 --> 00:03:51.640]  去轉化我們
[00:03:51.640 --> 00:03:53.120]  去更新我們
[00:03:53.120 --> 00:03:55.120]  請祢去憐憫 保守
[00:03:55.120 --> 00:03:57.000]  以上禱告奉主命求
[00:03:57.000 --> 00:03:58.520]  阿們
[00:03:58.520 --> 00:03:59.320]  好
[00:03:59.320 --> 00:04:02.000]  那我就讀一次約拿書吧
[00:04:02.000 --> 00:04:02.960]  我讀一次
[00:04:02.960 --> 00:04:05.480]  我想大家去感受一下
[00:04:05.480 --> 00:04:07.000]  究竟這篇詩裡面
[00:04:07.000 --> 00:04:09.280]  約拿是怎樣祈禱的呢?
[00:04:09.280 --> 00:04:11.280]  請聽我讀
[00:04:11.280 --> 00:04:15.440]  約拿從餘福裡向上主他的神祈禱
[00:04:15.440 --> 00:04:16.680]  他說
[00:04:16.680 --> 00:04:20.120]  我從我的厄困中向上主呼求
[00:04:20.120 --> 00:04:22.320]  他就答應了我
[00:04:22.320 --> 00:04:25.280]  從陰間的深處我求告
[00:04:25.280 --> 00:04:28.200]  你就垂聽了我的聲音
[00:04:28.200 --> 00:04:30.520]  你把我投到深處
[00:04:30.520 --> 00:04:32.120]  在海的中心
[00:04:32.120 --> 00:04:34.080]  水流環繞我
[00:04:34.080 --> 00:04:36.280]  你的紅塗和你的波浪
[00:04:36.280 --> 00:04:38.600]  全都掩蓋我身
[00:04:38.600 --> 00:04:39.600]  而我說
[00:04:39.600 --> 00:04:40.800]  我被逐出
[00:04:40.800 --> 00:04:42.960]  離開了你的眼前
[00:04:42.960 --> 00:04:47.800]  然而我仍要仰望你的聖殿
[00:04:47.800 --> 00:04:49.400]  縱水圍繞我
[00:04:49.400 --> 00:04:50.800]  直到喉咽
[00:04:50.800 --> 00:04:52.800]  深淵環繞我
[00:04:52.800 --> 00:04:55.320]  海草纏繞我的頭
[00:04:55.320 --> 00:04:56.880]  我下到山腳
[00:04:56.880 --> 00:05:00.520]  大地的門山把我永遠關閉
[00:05:00.520 --> 00:05:01.560]  然而
[00:05:01.560 --> 00:05:05.480]  你從鄉中把我生命提上來
[00:05:05.480 --> 00:05:07.800]  上主我的神啊
[00:05:07.800 --> 00:05:09.880]  我的氣息未蕊時
[00:05:09.880 --> 00:05:12.000]  我記起了上主
[00:05:12.000 --> 00:05:13.200]  我的祈禱
[00:05:13.200 --> 00:05:14.720]  已來到你那裡
[00:05:14.720 --> 00:05:18.360]  到達你的聖殿
[00:05:18.360 --> 00:05:20.800]  那些信奉虛無偶像的
[00:05:20.800 --> 00:05:22.120]  他們的忠誠
[00:05:22.120 --> 00:05:23.840]  他們離棄
[00:05:23.840 --> 00:05:25.120]  至於我
[00:05:25.120 --> 00:05:27.160]  我要以感謝的聲音
[00:05:27.160 --> 00:05:28.880]  獻祭給你
[00:05:28.880 --> 00:05:30.160]  我所去的願
[00:05:30.160 --> 00:05:31.720]  我必償還
[00:05:31.720 --> 00:05:34.600]  拯救自屬於上主的
[00:05:34.600 --> 00:05:36.520]  然後上主吩咐的語
[00:05:36.520 --> 00:05:38.920]  他就套藥拿出來了
[00:05:38.920 --> 00:05:42.000]  這個就是我們今天要看的經文
[00:05:42.000 --> 00:05:43.440]  不知道你看的時候
[00:05:43.440 --> 00:05:45.360]  你有什麼感受
[00:05:45.360 --> 00:05:48.720]  我想如果今天這個是一個見證分享會
[00:05:48.720 --> 00:05:50.160]  你最大的感受就是
[00:05:50.160 --> 00:05:51.360]  哇 藥拿悔改
[00:05:51.360 --> 00:05:52.120]  不得了
[00:05:52.120 --> 00:05:53.320]  拍手掌
[00:05:53.320 --> 00:05:54.480]  是吧
[00:05:54.480 --> 00:05:56.920]  藥拿說我雖然被逐出
[00:05:56.920 --> 00:05:57.960]  但是
[00:05:57.960 --> 00:06:00.880]  我仍然要仰望上帝的聖殿
[00:06:00.880 --> 00:06:04.560]  藥拿說我要祈禱到達上帝的面前
[00:06:04.560 --> 00:06:07.560]  藥拿說那些信奉虛無偶像
[00:06:07.560 --> 00:06:09.120]  即是那幫外邦人
[00:06:09.120 --> 00:06:10.360]  拜別神的
[00:06:10.360 --> 00:06:12.560]  他們離棄他們的忠誠
[00:06:12.560 --> 00:06:13.480]  但是我呢
[00:06:13.480 --> 00:06:15.960]  我要獻祭和許願
[00:06:15.960 --> 00:06:18.760]  其實全部東西看下去都不錯
[00:06:18.760 --> 00:06:21.000]  我們再看多一件事
[00:06:21.000 --> 00:06:24.120]  藥拿是一個很熟悉聖經的人
[00:06:24.120 --> 00:06:26.560]  不知道教會有沒有什麼靈劍比賽
[00:06:26.560 --> 00:06:28.400]  是不是太舊了這件事
[00:06:28.400 --> 00:06:30.280]  靈劍比賽即是那些叫什麼
[00:06:30.280 --> 00:06:31.640]  就是背一下金句
[00:06:31.640 --> 00:06:34.520]  即是你要背一下聖經
[00:06:34.520 --> 00:06:37.240]  哇 如果藥拿今天參與靈劍比賽
[00:06:37.240 --> 00:06:38.440]  他一定贏
[00:06:38.440 --> 00:06:39.800]  為什麼這麼說呢
[00:06:39.800 --> 00:06:41.520]  他差不多每一句
