
[00:00:00.000 --> 00:00:02.600]  各位好,感恩節快樂
[00:00:02.600 --> 00:00:05.880]  我們繼續看以巴衝突
[00:00:05.880 --> 00:00:08.220]  今次是第四講,應該做完了
[00:00:08.220 --> 00:00:12.540]  我知道在世界當地發生很多不同的事
[00:00:12.540 --> 00:00:14.540]  我們都需要處理一下
[00:00:14.540 --> 00:00:17.180]  但亦不能夠經常處理那件事
[00:00:17.180 --> 00:00:21.180]  但在處理以巴衝突
[00:00:21.180 --> 00:00:23.380]  想起這些事情,反思的時候
[00:00:23.380 --> 00:00:30.380]  我們都相信對聖經和信仰的認識可以深一點
[00:00:30.380 --> 00:00:33.880]  我們一直以來都在處理五個命題
[00:00:33.880 --> 00:00:36.380]  今次是處理第四個和第五個
[00:00:36.380 --> 00:00:37.880]  第四個是什麼呢?
[00:00:37.880 --> 00:00:43.880]  很多時候在我們對聖經的體會和了解
[00:00:43.880 --> 00:00:46.880]  我們會覺得神的子民有兩個
[00:00:46.880 --> 00:00:48.880]  一個就是血統上的猶太人
[00:00:48.880 --> 00:00:53.880]  一個就是外邦人,即非猶太人
[00:00:53.880 --> 00:00:56.880]  我想華人教會,特別是上一代
[00:00:56.880 --> 00:01:00.380]  就受一個所謂神學思想的影響
[00:01:00.380 --> 00:01:02.380]  叫做時代論
[00:01:02.380 --> 00:01:03.880]  Dispensationalism
[00:01:03.880 --> 00:01:05.380]  可能你未聽過這東西
[00:01:05.380 --> 00:01:07.380]  如果未聽過,上帝祝福你
[00:01:07.380 --> 00:01:09.880]  不需要去想這些
[00:01:09.880 --> 00:01:10.880]  時代論是什麼意思呢?
[00:01:10.880 --> 00:01:16.880]  就是將整個舊恩的歷史分成很多不同的時代
[00:01:16.880 --> 00:01:19.880]  有一個時代,大家可能會聽過
[00:01:19.880 --> 00:01:22.880]  就是我們不再是律法時代
[00:01:22.880 --> 00:01:24.880]  現在是恩典時代
[00:01:24.880 --> 00:01:25.880]  有沒有聽過?
[00:01:25.880 --> 00:01:29.880]  這個是時代論遺下來的一些思想
[00:01:29.880 --> 00:01:32.880]  或者一些不太清楚的概念
[00:01:32.880 --> 00:01:36.880]  無論如何,我們受這個概念影響的時候
[00:01:36.880 --> 00:01:37.880]  我們就很多時候想
[00:01:37.880 --> 00:01:41.880]  上帝在地上的人類的計劃是有兩個的
[00:01:41.880 --> 00:01:44.880]  Plan A就是給血統上的猶太人
[00:01:44.880 --> 00:01:47.880]  即阿巴罕以色列的後裔
[00:01:47.880 --> 00:01:48.880]  血統上的
[00:01:48.880 --> 00:01:51.880]  Plan A就是給他們的計劃
[00:01:51.880 --> 00:01:54.880]  然後Plan B就是給一些像我們這樣
[00:01:54.880 --> 00:01:56.880]  外邦人作為教會
[00:01:56.880 --> 00:01:58.880]  所以我們今時今日就是教會時代
[00:01:58.880 --> 00:02:02.880]  一個主要外邦人的時代
[00:02:02.880 --> 00:02:04.880]  所以如果這樣看的時候
[00:02:04.880 --> 00:02:07.880]  我就發現上帝是有兩個的子民
[00:02:07.880 --> 00:02:11.880]  福音是猶太人而出的,Plan A
[00:02:11.880 --> 00:02:13.880]  但是當耶穌基督死而復活,升天之後
[00:02:13.880 --> 00:02:15.880]  多不多猶太人信主?
[00:02:15.880 --> 00:02:17.880]  很少,是吧?
[00:02:17.880 --> 00:02:19.880]  所以上帝有一個Plan B
[00:02:19.880 --> 00:02:24.880]  所以福音就去到外邦人的人群當中
[00:02:24.880 --> 00:02:26.880]  教會時代就是今時今日
[00:02:26.880 --> 00:02:28.880]  直到基督再臨的時候
[00:02:28.880 --> 00:02:31.880]  猶太人是絕少的
[00:02:31.880 --> 00:02:34.880]  外邦人是更多更多
[00:02:34.880 --> 00:02:36.880]  這個就是教會時代
[00:02:36.880 --> 00:02:37.880]  我們在等什麼呢?
[00:02:37.880 --> 00:02:39.880]  這個時代論不代表聖經
[00:02:39.880 --> 00:02:40.880]  一定是這樣說的
[00:02:40.880 --> 00:02:41.880]  等一下我們處理一下
[00:02:41.880 --> 00:02:43.880]  我們在等什麼呢?
[00:02:43.880 --> 00:02:45.880]  等基督再臨
[00:02:45.880 --> 00:02:46.880]  因為基督再臨的時候
[00:02:46.880 --> 00:02:47.880]  神秘地再臨
[00:02:47.880 --> 00:02:49.880]  然後教會就會被提
[00:02:49.880 --> 00:02:51.880]  我們就會突然消失
[00:02:51.880 --> 00:02:53.880]  然後七年大災難就會出現
[00:02:53.880 --> 00:02:57.880]  七年大災難說到那些很轟天動地
[00:02:57.880 --> 00:02:59.880]  一些災殃會淋到地上
[00:02:59.880 --> 00:03:03.880]  那些的描述在哪裡找到呢?
[00:03:03.880 --> 00:03:05.880]  是在啟示錄裡找到的
[00:03:05.880 --> 00:03:08.880]  然後亂局一輪
[00:03:08.880 --> 00:03:10.880]  敵基督就出現
[00:03:10.880 --> 00:03:12.880]  然後統治整個全球
[00:03:12.880 --> 00:03:14.880]  有七年的大災難
[00:03:14.880 --> 00:03:18.880]  當七年大災難的時候就非常困難
[00:03:18.880 --> 00:03:24.880]  剩下來的就是一些不信主的人和猶太人
[00:03:24.880 --> 00:03:27.880]  上帝對他們有一些恩典
[00:03:27.880 --> 00:03:30.880]  七年大災難完了之後
[00:03:30.880 --> 00:03:32.880]  敵基督被消滅
[00:03:32.880 --> 00:03:33.880]  撒旦被消滅
[00:03:33.880 --> 00:03:35.880]  然後千禧國道等等
