
[00:00:00.000 --> 00:00:01.000]   Good morning.
[00:00:01.000 --> 00:00:02.000]   Is that on?
[00:00:02.000 --> 00:00:03.000]   Yeah.
[00:00:03.000 --> 00:00:04.000]   All right.
[00:00:04.000 --> 00:00:05.000]   Awesome.
[00:00:05.000 --> 00:00:06.000]   How y'all doing today?
[00:00:06.000 --> 00:00:07.000]   Good?
[00:00:07.000 --> 00:00:08.000]   Yeah.
[00:00:08.000 --> 00:00:09.000]   Thanks for having me.
[00:00:09.000 --> 00:00:10.000]   It's always a blessing to be here and a real great opportunity.
[00:00:10.000 --> 00:00:11.000]   So I'm thankful to you guys.
[00:00:11.000 --> 00:00:12.000]   Our text this morning is coming from Romans chapter 8, 18 through 30.
[00:00:12.000 --> 00:00:13.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:00:13.000 --> 00:00:14.000]   of God, the glory of Jesus.
[00:00:14.000 --> 00:00:15.000]   Because as we're going to get to a lot of the things that we're going to be talking about,
[00:00:15.000 --> 00:00:16.000]   we're going to be talking about the glory of God.
[00:00:16.000 --> 00:00:17.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:00:17.000 --> 00:00:18.000]   of God, the glory of Jesus.
[00:00:18.000 --> 00:00:19.000]   Because as we're going to get to a lot of the things that we're going to be talking about,
[00:00:19.000 --> 00:00:34.000]   we're going to be talking about the glory of God.
[00:00:34.000 --> 00:01:01.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:01:01.000 --> 00:01:08.000]   of God, the glory of Jesus.
[00:01:08.000 --> 00:01:27.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:01:27.000 --> 00:01:37.000]   of God, the glory of Jesus.
[00:01:37.000 --> 00:01:48.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:01:48.000 --> 00:01:58.000]   of God, the glory of Jesus.
[00:01:58.000 --> 00:02:09.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:02:09.000 --> 00:02:19.000]   of God, the glory of Jesus.
[00:02:19.000 --> 00:02:30.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:02:30.000 --> 00:02:36.000]   of God, the glory of Jesus.
[00:02:36.000 --> 00:02:47.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:02:47.000 --> 00:02:53.000]   of God, the glory of Jesus.
[00:02:53.000 --> 00:03:02.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:03:02.000 --> 00:03:07.000]   of God, the glory of Jesus.
[00:03:07.000 --> 00:03:17.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:03:17.000 --> 00:03:23.000]   of God, the glory of Jesus.
[00:03:23.000 --> 00:03:33.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:03:33.000 --> 00:03:39.000]   of God, the glory of Jesus.
[00:03:39.000 --> 00:03:48.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:03:48.000 --> 00:03:54.000]   of God, the glory of Jesus.
[00:03:54.000 --> 00:04:01.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:04:01.000 --> 00:04:07.000]   of God, the glory of Jesus.
[00:04:07.000 --> 00:04:14.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:04:14.000 --> 00:04:20.000]   of God, the glory of Jesus.
[00:04:20.000 --> 00:04:27.000]   And I love that a lot of the songs we sang this morning were centered around the glory
[00:04:27.000 --> 00:04:32.000]   of God, the glory of Jesus.
