
[00:00:00.000 --> 00:00:10.000]   [no audio]
[00:00:10.000 --> 00:00:15.000]   Well, good morning. I just want to start by saying how grateful I am to be here
[00:00:15.000 --> 00:00:18.000]   and how grateful I am to you all for having me and my family here.
[00:00:18.000 --> 00:00:24.000]   [Cantonese]
[00:00:24.000 --> 00:00:31.000]   We love Urban Voice and love the time that we've spent here, and being here today is really special for us.
[00:00:31.000 --> 00:00:36.000]   It feels like a little reunion seeing a lot of good friends again, so it's a blessing.
[00:00:36.000 --> 00:00:43.000]   [Cantonese]
[00:00:43.000 --> 00:00:50.000]   And this time of year is a special time of year, time of year that I enjoy when we celebrate Christmas.
[00:00:50.000 --> 00:00:55.000]   [Cantonese]
[00:00:55.000 --> 00:01:01.000]   I enjoy the get-togethers like today, the food, the decorations, all of those things.
[00:01:01.000 --> 00:01:06.000]   [Cantonese]
[00:01:06.000 --> 00:01:15.000]   I even like the Christmas movies, all the good ones and the cheesy ones that are on TV all the time this year.
[00:01:15.000 --> 00:01:23.000]   [Cantonese]
[00:01:23.000 --> 00:01:31.000]   But this morning I want us to think a little bit about the meaning of Christmas and what the heart of the meaning is.
[00:01:31.000 --> 00:01:36.000]   [Cantonese]
[00:01:36.000 --> 00:01:44.000]   Because Christmas is much more than just the gifts and the decorations and the lights and the time with family and friends.
[00:01:44.000 --> 00:01:49.000]   Those things are wonderful, but the meaning is deeper than that.
[00:01:49.000 --> 00:01:57.000]   [Cantonese]
[00:01:57.000 --> 00:02:01.000]   So let's look at a few verses in the book of Luke, chapter 2.
[00:02:01.000 --> 00:02:05.000]   [Cantonese]
[00:02:05.000 --> 00:02:08.000]   We're going to read verses 8 to 14.
[00:02:08.000 --> 00:02:11.000]   [Cantonese]
[00:02:11.000 --> 00:02:15.000]   These verses come from right after the birth of Jesus.
[00:02:15.000 --> 00:02:20.000]   [Cantonese]
[00:02:20.000 --> 00:02:24.000]   Jesus has just been born in Bethlehem in the stable.
[00:02:24.000 --> 00:02:27.000]   [Cantonese]
[00:02:27.000 --> 00:02:34.000]   And the Bible tells us that there were shepherds living out in the fields nearby, keeping watch over their flocks at night.
[00:02:34.000 --> 00:02:38.000]   [Cantonese]
[00:02:38.000 --> 00:02:44.000]   An angel of the Lord appeared to them, and the glory of the Lord shone around them, and they were terrified.
[00:02:44.000 --> 00:02:50.000]   [Cantonese]
[00:02:50.000 --> 00:02:54.000]   But the angel said to them, "Do not be afraid.
[00:02:54.000 --> 00:02:56.000]   [Cantonese]
[00:02:56.000 --> 00:03:01.000]   I bring you good news of great joy that will be for all the people.
[00:03:01.000 --> 00:03:05.000]   [Cantonese]
[00:03:05.000 --> 00:03:09.000]   Today, in the town of David, a Savior has been born to you.
[00:03:09.000 --> 00:03:12.000]   [Cantonese]
[00:03:12.000 --> 00:03:15.000]   He is Christ, the Lord.
[00:03:15.000 --> 00:03:19.000]   This will be a sign to you.
[00:03:19.000 --> 00:03:23.000]   You will find a baby wrapped in cloths and lying in a manger.
[00:03:23.000 --> 00:03:27.000]   [Cantonese]
[00:03:27.000 --> 00:03:32.000]   Suddenly, a great company of the heavenly host appeared with the angel.
[00:03:32.000 --> 00:03:35.000]   [Cantonese]
[00:03:35.000 --> 00:03:40.000]   Praising God and saying, "Glory to God in the highest."
[00:03:40.000 --> 00:03:43.000]   [Cantonese]
[00:03:43.000 --> 00:03:48.000]   And on earth, peace to men, among whom his favor rests.
[00:03:48.000 --> 00:03:51.000]   [Cantonese]
[00:03:51.000 --> 00:03:57.000]   Now these verses tell us that the birth of Jesus was good news, really good news.
[00:03:57.000 --> 00:04:01.000]   [Cantonese]
