
[00:00:00.000 --> 00:00:02.720]  我們現在看伊利亞背景
[00:00:02.720 --> 00:00:06.880]  上一次我們提到伊利亞背景
[00:00:06.880 --> 00:00:09.880]  我們需要了解當時最大的假神
[00:00:09.880 --> 00:00:13.320]  最大的宗教、文化
[00:00:13.320 --> 00:00:18.480]  對當時的政局的影響有多大
[00:00:18.480 --> 00:00:23.240]  最大的宗教、影響力
[00:00:23.240 --> 00:00:26.480]  就是巴力這個假神
[00:00:26.480 --> 00:00:33.520]  在巴力的宗教背景下
[00:00:33.520 --> 00:00:36.960]  我們了解到為何聖經會這樣記載
[00:00:36.960 --> 00:00:41.520]  以及伊利亞會遇見不同的情況
[00:00:41.520 --> 00:00:44.080]  伊利亞有很多不同的故事
[00:00:44.080 --> 00:00:46.880]  包括之後的伊麗莎的故事
[00:00:46.880 --> 00:00:52.480]  為何會有這樣的神蹟故事
[00:00:52.480 --> 00:00:55.280]  有這樣的主題在裡面
[00:00:55.280 --> 00:00:58.240]  我們需要先了解背景
[00:00:58.240 --> 00:01:01.680]  我們提過巴力的神話
[00:01:01.680 --> 00:01:03.920]  巴力循環
[00:01:03.920 --> 00:01:09.760]  我們提過巴力當時最大的假神
[00:01:09.760 --> 00:01:17.360]  其中一個的綽號是駕駛者
[00:01:17.360 --> 00:01:21.200]  就是Rider of the Clouds
[00:01:21.200 --> 00:01:25.520]  他掌控著帶來雨水的雨雲
[00:01:25.520 --> 00:01:26.960]  所以叫駕駛者
[00:01:26.960 --> 00:01:30.160]  他也操控當時的雨水
[00:01:30.160 --> 00:01:34.160]  所以當時人們一定要去拜巴力
[00:01:34.160 --> 00:01:37.360]  因為拜巴力的時候就得到巴力的權能
[00:01:37.360 --> 00:01:39.360]  能夠有巴力的祝福
[00:01:39.360 --> 00:01:41.360]  能夠巴力降雨給他們
[00:01:41.360 --> 00:01:43.360]  供應他們的需要等等
[00:01:43.360 --> 00:01:47.200]  同時也控制了金路
[00:01:47.200 --> 00:01:52.800]  金路在巴勒斯坦的氣候是很重要的
[00:01:52.800 --> 00:01:54.800]  最難熬的幾個月
[00:01:54.800 --> 00:01:57.200]  寒季夏天的時候
[00:01:57.200 --> 00:02:00.640]  就是需要有金路
[00:02:00.640 --> 00:02:02.640]  Morning Dew
[00:02:02.640 --> 00:02:08.160]  以致農作物能夠得到收割
[00:02:08.160 --> 00:02:10.160]  能夠成熟能夠收割
[00:02:10.160 --> 00:02:15.680]  他也操控著生與死的權能
[00:02:15.680 --> 00:02:17.680]  巴力的故事
[00:02:17.680 --> 00:02:20.960]  起碼巴力的故事的循環
[00:02:20.960 --> 00:02:22.960]  每年雨季的時候
[00:02:22.960 --> 00:02:25.920]  就等於他復生10月至4月
[00:02:25.920 --> 00:02:27.920]  每年到寒季的時候
[00:02:27.920 --> 00:02:29.120]  沒有雨水的時候
[00:02:29.120 --> 00:02:30.560]  他就死亡
