
[00:00:00.000 --> 00:00:03.040]  上一集我們講到在鑒嵐山
[00:00:03.040 --> 00:00:05.040]  耶穌騎上路
[00:00:05.040 --> 00:00:07.520]  祂就是所謂的榮晉耶路撒冷
[00:00:07.520 --> 00:00:10.480]  現在我們看到的位置大概就是這樣
[00:00:10.480 --> 00:00:13.840]  我們站在鑒嵐山的山頂
[00:00:13.840 --> 00:00:16.320]  前面就是看到耶路撒冷
[00:00:16.320 --> 00:00:19.680]  現在看到的當然是耶路撒冷的舊城
[00:00:19.680 --> 00:00:21.680]  眼前所見的
[00:00:21.680 --> 00:00:23.680]  這裡就是全世界
[00:00:23.680 --> 00:00:26.320]  政治、民族或者宗教的
[00:00:26.320 --> 00:00:32.000]  是全世界政治、民族或者宗教上最敏感的地方
[00:00:32.000 --> 00:00:34.560]  我們今天看到的耶路撒冷
[00:00:34.560 --> 00:00:38.000]  最矚目的地方當然就是這個金頂清真寺
[00:00:38.000 --> 00:00:39.600]  或者盆石清真寺
[00:00:39.600 --> 00:00:40.720]  Doom of the Rock
[00:00:40.720 --> 00:00:43.200]  事實上這個不是一個墓地
[00:00:43.200 --> 00:00:44.240]  不是清真寺
[00:00:44.240 --> 00:00:46.880]  因為清真寺是以色列教徒去聚集
[00:00:46.880 --> 00:00:48.240]  去祈禱的地方
[00:00:48.240 --> 00:00:50.240]  實際上很少會在這裡聚集
[00:00:50.240 --> 00:00:53.840]  事實上這裡是一個宗教的座標
[00:00:53.840 --> 00:00:56.480]  一個所謂的神社
[00:00:56.480 --> 00:01:01.840]  去紀念以色列教第三個大的聖城
[00:01:01.840 --> 00:01:04.400]  耶路撒冷就是第三個聖城
[00:01:04.400 --> 00:01:09.360]  除了在沙特阿拉伯的麥加和麥丁娜
[00:01:09.360 --> 00:01:17.280]  在這個金頂下就是耶路撒冷東山最高的一個盆石的地方
[00:01:17.280 --> 00:01:21.040]  也是猶太人的第一第二聖殿
[00:01:21.040 --> 00:01:23.040]  知聖所在的地方
[00:01:23.040 --> 00:01:25.040]  先講一下歷史背景
[00:01:25.040 --> 00:01:27.760]  大概公元後70年的時候
[00:01:27.760 --> 00:01:29.760]  大家知道就是耶路撒冷的聖殿
[00:01:29.760 --> 00:01:31.280]  猶太人的聖殿被毀
[00:01:31.280 --> 00:01:33.760]  當時有很多猶太人被驅逐
[00:01:33.760 --> 00:01:35.760]  他們離開了耶路撒冷
[00:01:35.760 --> 00:01:38.400]  所以這個地方多年來是被荒廢的
[00:01:38.400 --> 00:01:42.240]  猶太人只准每年一次回來這個地方
[00:01:42.240 --> 00:01:45.520]  在他們的聖殿被毀紀念日
[00:01:45.520 --> 00:01:46.880]  Tishab Av
[00:01:46.880 --> 00:01:51.440]  大約是我們西歷7月8月左右的時間
[00:01:51.440 --> 00:01:55.120]  來到這個地方他們在西面的牆上祈禱
[00:01:55.120 --> 00:01:57.600]  因為那裡是知聖所最近的
[00:01:57.600 --> 00:02:01.680]  歷史上的猶太人來到西牆上祈禱的時候
[00:02:01.680 --> 00:02:05.200]  因為他們紀念到聖殿被毀的災難
[00:02:05.200 --> 00:02:07.200]  所以他們就在那裡痛哭
[00:02:07.200 --> 00:02:10.800]  所以叫做哭牆
[00:02:10.800 --> 00:02:13.200]  但是現在很少人叫做哭牆
[00:02:13.200 --> 00:02:15.200]  因為特別到1967年之後
[00:02:15.200 --> 00:02:17.840]  以色列軍重奪耶路撒冷
[00:02:17.840 --> 00:02:21.360]  猶太人自由地來到西牆祈禱
[00:02:21.360 --> 00:02:23.280]  所以較多人叫做西牆
[00:02:23.280 --> 00:02:24.880]  或者希伯來文叫做Catel
[00:02:24.880 --> 00:02:27.040]  無論如何在一世紀之後
[00:02:27.040 --> 00:02:29.520]  被毀之後荒廢了好幾百年
[00:02:29.520 --> 00:02:32.160]  直到638年的時候
[00:02:32.160 --> 00:02:36.400]  伊斯蘭軍隊征服了中東和耶路撒冷
[00:02:36.400 --> 00:02:41.520]  他們就在這個地方建立了一個金頂的盆石清真寺
[00:02:41.520 --> 00:02:43.280]  就是我們現在看到的這個
