
[00:00:00.000 --> 00:00:04.000]  上次提到約瑟原生家庭的問題
[00:00:04.000 --> 00:00:08.000]  是造成主角約瑟被兄長埋的原因
[00:00:08.000 --> 00:00:12.000]  究竟約瑟的原生家庭問題在哪裏呢?
[00:00:12.000 --> 00:00:17.000]  而家庭的問題又怎會導致約瑟被埋呢?
[00:00:17.000 --> 00:00:22.000]  約瑟的家庭裏面兄弟之間出現問題
[00:00:22.000 --> 00:00:27.000]  主要原因是兄長對約瑟的疾度
[00:00:27.000 --> 00:00:30.000]  而造成兄長對約瑟的疾度
[00:00:30.000 --> 00:00:35.000]  是因為他們親生父親雅各一夫多妻
[00:00:35.000 --> 00:00:39.000]  造成同父異母一共12個兒子
[00:00:39.000 --> 00:00:43.000]  但親生父親雅各最愛的妻子
[00:00:43.000 --> 00:00:46.000]  就只有約瑟的親生母親
[00:00:46.000 --> 00:00:49.000]  所以造成其餘10個兒子
[00:00:49.000 --> 00:00:55.000]  就是一個既關係複雜又不健康的家庭裏成長
[00:00:55.000 --> 00:00:57.000]  雅各的10個兒子
[00:00:57.000 --> 00:01:01.000]  自幼的自我形象已經很低
[00:01:01.000 --> 00:01:03.000]  又缺乏安全感
[00:01:03.000 --> 00:01:08.000]  10個兄長自我形象低加上沒有安全感
[00:01:08.000 --> 00:01:13.000]  都是造成日後約瑟被疾度和被排擠
[00:01:13.000 --> 00:01:17.000]  還有就是約瑟年少又無知
[00:01:17.000 --> 00:01:21.000]  經常來向父親告發兄長的罪行
[00:01:21.000 --> 00:01:25.000]  引致兄長更痛恨約瑟
[00:01:25.000 --> 00:01:29.000]  10兄長自我形象低、無安全感
[00:01:29.000 --> 00:01:33.000]  除了造成疾度、排擠、約瑟外
[00:01:33.000 --> 00:01:38.000]  加上兄長很擔心、亦很害怕
[00:01:38.000 --> 00:01:43.000]  父親終有一日將家族的繼承權傳給約瑟
[00:01:43.000 --> 00:01:47.000]  引致雅各10個兒子為了爭父愛
[00:01:47.000 --> 00:01:49.000]  又為了爭繼承權
[00:01:49.000 --> 00:01:53.000]  於是就疾度約瑟、排擠約瑟
[00:01:53.000 --> 00:01:58.000]  甚至有殺他的念頭、賣他的行動
[00:01:58.000 --> 00:02:00.000]  頂姐妹
[00:02:00.000 --> 00:02:05.000]  人出生之前有很多事的確不由自主
[00:02:05.000 --> 00:02:10.000]  我們不能選擇自己出生時的父母是誰
[00:02:10.000 --> 00:02:13.000]  自己出生排行第幾
[00:02:13.000 --> 00:02:17.000]  在什麼年代、什麼家庭背景出生
[00:02:17.000 --> 00:02:24.000]  不過人出生後並不是每樣東西都不能選擇或改
[00:02:24.000 --> 00:02:29.000]  當然我們無法指改變原生家庭
[00:02:29.000 --> 00:02:33.000]  但人可以有自由選擇
[00:02:33.000 --> 00:02:40.000]  用什麼方式、用什麼態度、用什麼想法和行動
[00:02:40.000 --> 00:02:43.000]  去面對和處理
[00:02:43.000 --> 00:02:48.000]  就好像故事中雅各這10個兒子
[00:02:48.000 --> 00:02:54.000]  雖然他們無法只改變他們出生的家庭背景
[00:02:54.000 --> 00:03:00.000]  例如人出生就在一個一夫多妻制的家庭裡長大
[00:03:00.000 --> 00:03:07.000]  一個父親的愛同時要和幾個不同母親的兄弟分享
[00:03:07.000 --> 00:03:12.000]  而自己的親母又不是父親摯愛的妻子
[00:03:12.000 --> 00:03:18.000]  10兄弟至少就在一個缺乏安全感的環境裡長大
[00:03:18.000 --> 00:03:20.000]  頂姐妹
[00:03:20.000 --> 00:03:23.000]  雖然現實有很多人和事
[00:03:23.000 --> 00:03:28.000]  是無法只隨著自己的心意來成就或改變
[00:03:28.000 --> 00:03:31.000]  不過我們可以改變我們自己
[00:03:31.000 --> 00:03:36.000]  改變我們自己對人、對事的想法和看法
[00:03:36.000 --> 00:03:41.000]  亦有自由來選擇自己的反應和行動
[00:03:41.000 --> 00:03:44.000]  例如約瑟的10個兄長
[00:03:44.000 --> 00:03:48.000]  雖然無法只改變自己原生家庭
[00:03:48.000 --> 00:03:53.000]  但他們可以有自由改變自己
[00:03:53.000 --> 00:03:59.000]  例如對親弟約瑟的質度、想法
[00:03:59.000 --> 00:04:04.000]  和對親弟殺和賣的反應行動
[00:04:04.000 --> 00:04:07.000]  不過人的確很軟弱
[00:04:07.000 --> 00:04:12.000]  就像聖經的拜子和墨子的比喻
[00:04:12.000 --> 00:04:18.000]  墨子被這個世界周圍的拜子影響
[00:04:18.000 --> 00:04:23.000]  墨子的成長受到身邊拜子的影響變得非常受虐
[00:04:23.000 --> 00:04:25.000]  人其實一樣
[00:04:25.000 --> 00:04:28.000]  在這個聚的世界生活
[00:04:28.000 --> 00:04:33.000]  不能單靠自己的力量就勝過聚的人有
[00:04:33.000 --> 00:04:37.000]  約瑟的兄長就像這個例子
[00:04:37.000 --> 00:04:41.000]  他們警隊親弟來動殺機
[00:04:41.000 --> 00:04:42.000]  大家試想一下
[00:04:42.000 --> 00:04:46.000]  約瑟當時只是一個17歲的少年人
[00:04:46.000 --> 00:04:50.000]  大家回想一下當年自己16、17歲的時候
[00:04:50.000 --> 00:04:55.000]  我們說了多少錯的說話得罪了人
