
[00:00:00.000 --> 00:00:05.240]  所以我們不需要怕這些事情,正如我們之前說過
[00:00:05.240 --> 00:00:07.920]  有相似的地方不等於抄襲
[00:00:07.920 --> 00:00:12.680]  不等於哪個B一定抄A,或者遲來的一定是錯的
[00:00:12.680 --> 00:00:14.440]  或者遲來的一定是劣貨
[00:00:14.440 --> 00:00:17.160]  早來的就一定是好一點,不一定的
[00:00:17.160 --> 00:00:22.200]  正如我所說,最好就想一個現代的例子
[00:00:22.200 --> 00:00:25.640]  譬如我之前曾經提過911
[00:00:25.640 --> 00:00:28.280]  911剛剛發生之後,有很多人寫書
[00:00:28.280 --> 00:00:32.640]  特別是一些陰謀論
[00:00:32.640 --> 00:00:36.080]  有很多這樣的報導,有很多這樣的故事出來
[00:00:36.080 --> 00:00:40.720]  令到大家對這件事很混亂
[00:00:40.720 --> 00:00:46.720]  過幾年之後才有人寫一本真正的歷史書
[00:00:46.720 --> 00:00:49.080]  去到議政試聽
[00:00:49.080 --> 00:00:53.880]  所以那本書才是權威
[00:00:53.880 --> 00:01:01.040]  而不是剛剛出現的頭一兩個月的亂說的理論
[00:01:01.040 --> 00:01:03.800]  所以我們比對研究就是在做這件事
[00:01:03.800 --> 00:01:09.160]  將聖經放回在它的背景下
[00:01:09.160 --> 00:01:12.360]  我們不妨把這一點再拿出來
[00:01:12.360 --> 00:01:15.440]  就是一些經外文獻,一些歷史的背景
[00:01:15.440 --> 00:01:17.680]  文化地理或者考古的背景
[00:01:17.680 --> 00:01:23.160]  可以幫助我們明白聖經背後的世界
[00:01:23.160 --> 00:01:27.120]  以致我們看聖經的時候不會那麼利地
[00:01:27.120 --> 00:01:31.600]  因為聖經也是在回應當時的一些故事和說法
[00:01:31.600 --> 00:01:33.320]  所謂的議政試聽
[00:01:33.320 --> 00:01:38.000]  來講出神所啟示的版本
[00:01:38.000 --> 00:01:40.840]  那個解釋才是最有權威的
[00:01:40.840 --> 00:01:43.520]  特別是講到洪水的故事
[00:01:43.520 --> 00:01:45.240]  當然不只是單單是洪水故事
[00:01:45.240 --> 00:01:48.080]  聶王記上下也有很多其他的故事
[00:01:48.080 --> 00:01:50.520]  譬如亞述帝國來入侵等等
[00:01:50.520 --> 00:01:52.920]  巴比倫帝國也來入侵
[00:01:52.920 --> 00:01:58.440]  先知也會講出一些議政試聽的說法
[00:01:58.440 --> 00:02:02.680]  神的啟示,講出真正神在做什麼
[00:02:02.680 --> 00:02:05.400]  所以我們看看背後的世界是怎樣
[00:02:05.400 --> 00:02:10.120]  這次我們特別去看一個史詩
[00:02:10.120 --> 00:02:11.400]  叫做《基加尾獸》
[00:02:11.400 --> 00:02:13.200]  這個表曾經出現過
[00:02:13.200 --> 00:02:14.400]  之前打錯了這個字
[00:02:14.400 --> 00:02:16.280]  現在是11的,應該是11
[00:02:16.280 --> 00:02:18.600]  這塊泥板
[00:02:18.600 --> 00:02:21.040]  叫做《Mission Epic》第11塊
[00:02:21.040 --> 00:02:22.960]  有很多相似的地方
[00:02:22.960 --> 00:02:26.360]  相似的地方,無論你信聖經也好
[00:02:26.360 --> 00:02:27.880]  不信聖經也好
[00:02:27.880 --> 00:02:30.640]  你都不可以想成什麼呢?
[00:02:30.640 --> 00:02:31.680]  就是抄襲
[00:02:31.680 --> 00:02:36.840]  因為抄襲是我們現代人版權的概念
[00:02:36.840 --> 00:02:40.080]  古代的文士沒有這樣的概念
[00:02:40.080 --> 00:02:42.360]  完全不會問這個問題
[00:02:42.360 --> 00:02:46.360]  因為他們寫作的文化是不同我們的
[00:02:46.360 --> 00:02:48.200]  所以我們不要將我們現代
[00:02:48.200 --> 00:02:52.880]  甚至西方的文化扼到古舊文獻上
[00:02:52.880 --> 00:02:55.840]  包括聖經,舊的聖經也是一樣
[00:02:55.840 --> 00:02:58.560]  如果這樣做的話,我們就非常幼稚
[00:02:58.560 --> 00:03:03.280]  或者我們根本不明白古代世界的文書文化是怎樣
[00:03:03.280 --> 00:03:05.600]  我們以為我們那個才對
[00:03:05.600 --> 00:03:07.600]  我們的看法才對
[00:03:07.600 --> 00:03:09.840]  所以比對研究其實是好的
