
[00:00:00.000 --> 00:00:02.000]  很感謝麗仙的介紹
[00:00:02.000 --> 00:00:05.640]  其實她太過高舉我
[00:00:05.640 --> 00:00:08.440]  我只是第一次介紹自己
[00:00:08.440 --> 00:00:10.440]  是一個渾身都沒有張力的人
[00:00:10.440 --> 00:00:12.920]  也很感謝城匯教會
[00:00:12.920 --> 00:00:16.000]  感謝Mark Sir給我機會今天跟大家見面
[00:00:16.000 --> 00:00:20.440]  分享一些值得跟大家分享的訊息
[00:00:20.440 --> 00:00:27.160]  五月和六月是父母的大日子
[00:00:27.160 --> 00:00:31.320]  上星期我們剛剛慶祝了母親節
[00:00:31.320 --> 00:00:33.680]  下個月就慶祝父親節
[00:00:33.680 --> 00:00:35.680]  所以今天想跟大家說一下
[00:00:35.680 --> 00:00:39.560]  父母對子女會有什麼期望
[00:00:39.560 --> 00:00:42.240]  以及我們可以怎樣幫助子女
[00:00:42.240 --> 00:00:43.720]  甚至幫助自己
[00:00:43.720 --> 00:00:47.880]  來得到我們想要的就是智慧
[00:00:47.880 --> 00:00:54.240]  我想有哪個父母不想子女成龍成鳳
[00:00:54.240 --> 00:00:57.880]  想子女蠢蠢地、隨隨便便
[00:00:57.880 --> 00:01:01.200]  騙吃騙喝、混混樂樂過一生就算了
[00:01:01.200 --> 00:01:02.760]  我想沒有的
[00:01:02.760 --> 00:01:05.920]  做父母的我們每一個人都是希望望子成龍
[00:01:05.920 --> 00:01:07.720]  望女成鳳
[00:01:07.720 --> 00:01:08.920]  現在男女平等
[00:01:08.920 --> 00:01:13.760]  所以以前就說望女兒不用那麼厲害
[00:01:13.760 --> 00:01:14.840]  嫁得好就算了
[00:01:14.840 --> 00:01:16.160]  現在不會了
[00:01:16.160 --> 00:01:17.440]  當然望她厲害
[00:01:17.440 --> 00:01:20.680]  但我們怎樣可以令子女厲害
[00:01:20.680 --> 00:01:23.560]  可以令他們成龍成鳳
[00:01:23.560 --> 00:01:25.560]  成龍成鳳
[00:01:25.560 --> 00:01:30.200]  我想一個最基本的條件就是要有智慧
[00:01:30.200 --> 00:01:32.400]  這件事沒有人會反駁吧
[00:01:32.400 --> 00:01:34.960]  你沒有智慧很難成龍成鳳
[00:01:34.960 --> 00:01:38.320]  可能你家裡被父二代混混樂樂
[00:01:38.320 --> 00:01:41.480]  不休息、不休住也說不定
[00:01:41.480 --> 00:01:45.200]  但你想他可以做到一些有價值的事
[00:01:45.200 --> 00:01:48.680]  他們就需要有智慧才能做到
[00:01:48.680 --> 00:01:51.840]  對子女的期望
[00:01:51.840 --> 00:01:55.640]  智慧是我們第一樣需要的東西
[00:01:55.640 --> 00:01:56.840]  這在聖經裡
[00:01:56.840 --> 00:01:59.960]  在《針研》裡已經說得很清楚了
[00:01:59.960 --> 00:02:01.640]  所羅門這樣說
