
[00:00:00.000 --> 00:00:02.000]  歡迎大家,以後時間交給Mark Sir
[00:00:02.000 --> 00:00:10.000]  (字幕提供)
[00:00:10.000 --> 00:00:21.000]  大家好,剛剛我做了兩個星期假,回來嘗試去休息一下,因為放假之後又要再放假
[00:00:21.000 --> 00:00:26.000]  大家都有詢問過,大家很關心到底那兩個星期假發生了什麼事
[00:00:26.000 --> 00:00:33.000]  也有很多弟兄姊妹很關心和禱告,在這裡特別多謝各位
[00:00:33.000 --> 00:00:42.000]  今天我想嘗試講一下我的經歷,然後看看有什麼可以學習到,我真的學習了很多東西
[00:00:42.000 --> 00:00:49.000]  大家知道我很少放長假,這次放長假是一個很大的經歷
[00:00:49.000 --> 00:00:54.000]  話說第一部分我先講我的經歷,然後再講一下我自己學到什麼
[00:00:54.000 --> 00:00:58.000]  希望在這個經歷裡面大家都能夠學習
[00:00:58.000 --> 00:01:09.000]  10月25日我們有聖誕節崇拜,我們完成崇拜的時候已經很快去收拾東西趕著走
[00:01:09.000 --> 00:01:18.000]  因為那天大概3點多我就要去機場,因為聖誕節崇拜,又要拿禮物,又要玩White Elephant
[00:01:18.000 --> 00:01:25.000]  要拿完禮物才走,我回去的時候已經差不多2點多,我是完全沒有收拾東西
[00:01:25.000 --> 00:01:34.000]  我一家大小有4個人,3個都已經收拾好東西了,我隨便找一些衣服,然後就丟到行李箱裡
[00:01:34.000 --> 00:01:38.000]  然後拿完證件,拿完信用卡,最重要是拿信用卡
[00:01:38.000 --> 00:01:46.000]  然後我就馬上叫了Ivan,就載了我們去機場
[00:01:46.000 --> 00:01:53.000]  原本我們想著可以私私然去,誰知道我們的親友就一味去Tag我
[00:01:53.000 --> 00:01:56.000]  大佬,你知不知道Southwest發生什麼事?
[00:01:56.000 --> 00:02:02.000]  因為我們搭Southwest的航空公司有很大的Meltdown
[00:02:02.000 --> 00:02:09.000]  我一邊檢查那個App的時候,就發現那個飛機都OK的
[00:02:09.000 --> 00:02:15.000]  他還延遲了半個小時,延遲了半個小時我就說好啊,因為我趕嘛
[00:02:15.000 --> 00:02:22.000]  我打算慢慢來,誰知道他的親友就一直在提醒我,你肯定你的飛機沒事的嗎?
[00:02:22.000 --> 00:02:27.000]  我一邊檢查的時候,他就一直延遲了15分鐘,再延遲15分鐘
[00:02:27.000 --> 00:02:30.000]  我說不行,然後我就上去電腦再檢查
[00:02:30.000 --> 00:02:36.000]  原來那個電腦上檢查的時間和我手機上檢查的時間是兩回事,差一點點
[00:02:36.000 --> 00:02:43.000]  我說不行,我就跟家人說,我想我們一定要早點去
[00:02:43.000 --> 00:02:48.000]  然後我們就去那個機場問清楚他,到底那部飛機是怎樣
[00:02:48.000 --> 00:02:54.000]  因為我原本是從芝加哥飛到菲尼克,然後菲尼克那邊不夠一個小時就要轉機
[00:02:54.000 --> 00:03:01.000]  就要搭Sacramento,因為第一部飛機的第一站就一直延遲
[00:03:01.000 --> 00:03:05.000]  所以我說如果趕不到第二部飛機,那我就很糟糕
[00:03:05.000 --> 00:03:11.000]  所以我們就叫了Ivan載我們去Midway的機場
[00:03:11.000 --> 00:03:18.000]  我們一下車的時候,我們去到那個機場已經大排長龍
[00:03:18.000 --> 00:03:24.000]  那裡起碼有幾百人,我們就馬上,總之有龍我就排隊
