
[00:00:00.000 --> 00:00:01.760]  我們繼續看《史徒行傳》
[00:00:01.760 --> 00:00:02.640]  《史徒行傳》裏面
[00:00:02.640 --> 00:00:08.000]  我們講過記載了保羅三次宣教的旅程
[00:00:08.000 --> 00:00:10.840]  在《史徒行傳》裏面
[00:00:10.840 --> 00:00:12.320]  有很多故事
[00:00:12.320 --> 00:00:13.920]  就是傳福音的故事
[00:00:13.920 --> 00:00:16.640]  就是教會去到將福音廣傳
[00:00:16.640 --> 00:00:17.920]  教會在不同的地方
[00:00:17.920 --> 00:00:19.520]  來到被建立的時候
[00:00:19.520 --> 00:00:21.640]  這些不同大大小小的故事
[00:00:21.640 --> 00:00:22.840]  在不同的城市
[00:00:22.840 --> 00:00:24.080]  不同的城鎮
[00:00:24.080 --> 00:00:26.120]  遇見了一些經歷
[00:00:26.120 --> 00:00:28.600]  這些都集合在這本書
[00:00:28.600 --> 00:00:29.720]  叫做《史徒行傳》
[00:00:29.720 --> 00:00:32.160]  就是新約第五本書
[00:00:32.160 --> 00:00:35.040]  我們今天會看第十七章
[00:00:35.040 --> 00:00:37.440]  經文是第十七章
[00:00:37.440 --> 00:00:40.400]  這個是保羅的第二次宣教
[00:00:40.400 --> 00:00:42.920]  就是這個地圖所表示的
[00:00:42.920 --> 00:00:45.560]  大家看看第二次宣教發生什麼事
[00:00:45.560 --> 00:00:47.560]  你看到一字嗎
[00:00:47.560 --> 00:00:50.320]  我記得上次給大家看地圖
[00:00:50.320 --> 00:00:52.840]  看到大家一頭雲
[00:00:52.840 --> 00:00:54.360]  但是這次一二三四
[00:00:54.360 --> 00:00:56.000]  第一發生什麼事
[00:00:56.000 --> 00:00:57.560]  就是在安特拉教會
[00:00:57.560 --> 00:01:01.480]  他們差派了保羅和巴拿巴
[00:01:01.480 --> 00:01:03.400]  他們再一次上路
[00:01:03.400 --> 00:01:05.200]  然後去到不同的教會
[00:01:05.200 --> 00:01:07.120]  去做一些探訪
[00:01:07.120 --> 00:01:08.640]  然後傳福音
[00:01:08.640 --> 00:01:11.600]  但是因為馬可這個人
[00:01:11.600 --> 00:01:12.880]  他們兩個
[00:01:12.880 --> 00:01:15.240]  保羅和巴拿巴就有些爭執
[00:01:15.240 --> 00:01:16.120]  記不記得
[00:01:16.120 --> 00:01:16.720]  有些爭執
[00:01:16.720 --> 00:01:18.840]  然後他們就兵分兩路
[00:01:18.840 --> 00:01:20.800]  巴拿巴就帶著馬可
[00:01:20.800 --> 00:01:23.280]  跟著黃色橙色那條虛線
[00:01:23.280 --> 00:01:25.720]  就去了今天的塞浦路斯
[00:01:25.720 --> 00:01:27.520]  塞浦路斯或者居比路
[00:01:27.520 --> 00:01:31.440]  然後保羅帶著西拉和他的團隊成員
[00:01:31.440 --> 00:01:34.400]  他們就去今天的所謂的土耳其
[00:01:34.400 --> 00:01:36.240]  看到安提阿瑪在右邊
[00:01:36.240 --> 00:01:38.680]  他們跟著那些綠色的路線
[00:01:38.680 --> 00:01:40.200]  迂迴曲折的
[00:01:40.200 --> 00:01:41.880]  經過大素去到特比
[00:01:41.880 --> 00:01:44.560]  然後路斯德等等
[00:01:44.560 --> 00:01:46.800]  他們想南下去到伊弗所
[00:01:46.800 --> 00:01:48.600]  但是聖靈阻止
[00:01:48.600 --> 00:01:50.680]  但是接著他們就想北上
[00:01:50.680 --> 00:01:53.040]  想去上面另一個省加拉大
[00:01:53.040 --> 00:01:54.840]  還有比推尼
[00:01:54.840 --> 00:01:56.640]  然後聖靈又禁止他們
[00:01:56.640 --> 00:01:59.600]  就逼了他們走去哪裏
