
[00:00:00.000 --> 00:00:14.600]  今天我們繼續我們三個星期的一個 topic(話題)
[00:00:14.600 --> 00:00:17.400]  就是叫做教會藍圖
[00:00:17.400 --> 00:00:19.700]  教會藍圖講什麼呢?
[00:00:19.700 --> 00:00:21.560]  教會藍圖是講
[00:00:21.560 --> 00:00:24.400]  我不知道為什麼有 Abraham(阿博)出來
[00:00:24.400 --> 00:00:28.700]  這是英文課我講到的講道
[00:00:28.700 --> 00:00:31.200]  在 folder(文件夾)裡面有其他的 slide(slide)
[00:00:31.200 --> 00:00:33.500]  Anyway 先關掉它
[00:00:33.500 --> 00:00:36.000]  我可以沒有 powerpoint(電子顯示)也講得到
[00:00:36.000 --> 00:00:38.400]  我們講教會藍圖是做什麼呢?
[00:00:38.400 --> 00:00:40.400]  就是我們看看新約的文件
[00:00:40.400 --> 00:00:42.200]  新約的聖經裡面
[00:00:42.200 --> 00:00:44.200]  告訴我們到底
[00:00:44.200 --> 00:00:46.900]  教會在一個不利的環境裡面
[00:00:46.900 --> 00:00:48.700]  要怎麼去生存
[00:00:48.700 --> 00:00:49.900]  怎麼去立足
[00:00:49.900 --> 00:00:52.400]  特別是教會做得不是很好
[00:00:52.400 --> 00:00:54.200]  很多時候教會有醜聞
[00:00:54.200 --> 00:00:56.500]  教會有一些失見症的地方
[00:00:56.500 --> 00:00:58.200]  我們跌倒的地方
[00:00:58.200 --> 00:01:01.000]  其實這些是很不奇怪的事情
[00:01:01.000 --> 00:01:04.100]  只不過很多時候新聞的媒體
[00:01:04.100 --> 00:01:06.400]  他們把它放大而已
[00:01:06.400 --> 00:01:09.300]  教會也是一群聚人走在一起的地方
[00:01:09.300 --> 00:01:11.500]  不是因為我們碰到所以走在一起
[00:01:11.500 --> 00:01:12.600]  而是因為我們碰不到
[00:01:12.600 --> 00:01:15.600]  我們需要神給我們的恩典和赦免
[00:01:15.600 --> 00:01:18.600]  我們要學做一個像基督的人
[00:01:18.600 --> 00:01:21.400]  所以很多時候跌跌碰碰我們會跌倒
[00:01:21.400 --> 00:01:23.200]  在不利的環境裡面
[00:01:23.200 --> 00:01:24.100]  怎麼也好
[00:01:24.100 --> 00:01:27.500]  怎麼可以在教會裡面立足呢?
[00:01:27.500 --> 00:01:30.600]  新約有一堆書信
[00:01:30.600 --> 00:01:32.500]  叫做教穆書信
[00:01:32.500 --> 00:01:34.500]  有三卷書
[00:01:34.500 --> 00:01:36.100]  是提摩太前書
[00:01:36.100 --> 00:01:37.400]  提摩太後書
[00:01:37.400 --> 00:01:39.400]  以及提多書
[00:01:39.400 --> 00:01:42.300]  這三卷書信是講什麼的呢?
