
[00:00:00.000 --> 00:00:03.160]   (audience applauding)
[00:00:03.160 --> 00:00:06.500]   - Thank you, good morning to all of you guys.
[00:00:06.500 --> 00:00:08.460]   And for those who are sitting here,
[00:00:08.460 --> 00:00:11.620]   those who are watching, my name is Tommy Lee.
[00:00:11.620 --> 00:00:14.260]   It is always an honor to really be here
[00:00:14.260 --> 00:00:16.020]   with all of you guys.
[00:00:16.020 --> 00:00:17.500]   I graduated from business school,
[00:00:17.500 --> 00:00:19.620]   and then from that point, I spent about 10 years
[00:00:19.620 --> 00:00:22.140]   building cell towers, and that's what I thought
[00:00:22.140 --> 00:00:23.860]   I was gonna do all my life.
[00:00:23.860 --> 00:00:26.420]   Then from that point, I was a pastor for about three years,
[00:00:26.420 --> 00:00:29.060]   actually working in a Korean church.
[00:00:29.060 --> 00:00:31.060]   And I was there, I realized,
[00:00:31.060 --> 00:00:33.180]   and Pastor Mark does a great job as a pastor,
[00:00:33.180 --> 00:00:35.940]   I realized being called to be a pastor
[00:00:35.940 --> 00:00:38.540]   just wasn't something that God was calling me to do.
[00:00:38.540 --> 00:00:42.020]   I love the Lord, I wasn't called to be a pastor.
[00:00:42.020 --> 00:00:45.620]   And then after that, I got hired at this big Bible institute
[00:00:45.620 --> 00:00:48.040]   called Moody Bible Institute here in the city.
[00:00:48.040 --> 00:00:50.580]   So I worked for the president's office, Dr. Michael Easley,
[00:00:50.580 --> 00:00:53.580]   I said, "Okay, this is what you're calling me to do, Lord."
[00:00:53.580 --> 00:00:56.980]   And I realized, after spending about four years there
[00:00:56.980 --> 00:01:01.260]   working with the bigger ministry, it was very top-down,
[00:01:01.260 --> 00:01:03.220]   it probably wasn't for me as well, too.
[00:01:03.220 --> 00:01:05.180]   And so when Dr. Easley transitioned out,
[00:01:05.180 --> 00:01:06.900]   I transitioned out with him.
[00:01:06.900 --> 00:01:08.940]   So now these days, I get a chance, I realize,
[00:01:08.940 --> 00:01:12.740]   I fit in this thing where I could do multiple things.
[00:01:12.740 --> 00:01:14.620]   We started Resource Global that works
[00:01:14.620 --> 00:01:16.740]   with young Christian marketplace leaders
[00:01:16.740 --> 00:01:21.020]   in Singapore, in Malaysia, in Nairobi, in South Africa,
[00:01:21.020 --> 00:01:25.020]   and Austin, Texas, and also in Indonesia.
[00:01:25.020 --> 00:01:27.780]   Now I also then got hired to work with Northern Seminary,
[00:01:27.780 --> 00:01:30.140]   where I get a chance to partner with Pastor Mark
[00:01:30.140 --> 00:01:32.260]   under the Growth Center for Church and Missions,
[00:01:32.260 --> 00:01:34.060]   their executive director.
[00:01:34.060 --> 00:01:35.700]   Then I got hired by Family Foundation
[00:01:35.700 --> 00:01:38.860]   to run Together LA initiative over in Los Angeles,
[00:01:38.860 --> 00:01:41.740]   and most recently as the managing director
[00:01:41.740 --> 00:01:45.060]   of the Wheaton Center for Faith and Innovation
[00:01:45.060 --> 00:01:46.380]   at Wheaton College.
[00:01:46.380 --> 00:01:48.280]   And I realized I actually do better
