
[00:00:00.000 --> 00:00:28.000]  我們繼續看C篇,我們知道在人生當中有不同的階段,有不同的經歷,在150首詩歌裡面,總有一首是講到我們人生裡面不同的經歷,不同的情況。
[00:00:28.000 --> 00:00:38.000]  所以我們會看不同的詩篇,以致詩歌能夠幫助我們,面對我們人生不同的階段。
[00:00:38.000 --> 00:00:51.000]  我們今天會看C篇第58篇,如果你有聖經的話請你現在打開,電話的聖經也好,手上拿著的聖經也好。
[00:00:51.000 --> 00:01:00.000]  C篇第58篇,這篇的C篇有11節,我們先看這段的C篇。
[00:01:00.000 --> 00:01:08.000]  我用的是新的譯本,所以我們現在開始讀。
[00:01:08.000 --> 00:01:14.000]  如果你看不到畫面,如果你還沒有聖經的話,可以跟旁邊的分享。
[00:01:14.000 --> 00:01:20.000]  或者你聽一聽這段的聖經的詩人的情緒是怎樣。
[00:01:20.000 --> 00:01:30.000]  C篇第58篇第一節。
[00:01:30.000 --> 00:01:40.000]  (閩南語)
[00:01:40.000 --> 00:01:50.000]  (閩南語)
[00:01:50.000 --> 00:02:00.000]  (閩南語)
[00:02:00.000 --> 00:02:10.000]  (閩南語)
[00:02:10.000 --> 00:02:20.000]  (閩南語)
[00:02:20.000 --> 00:02:30.000]  (閩南語)
[00:02:30.000 --> 00:02:40.000]  (閩南語)
[00:02:40.000 --> 00:02:50.000]  (閩南語)
[00:02:50.000 --> 00:03:00.000]  (閩南語)
[00:03:00.000 --> 00:03:10.000]  (閩南語)
[00:03:10.000 --> 00:03:20.000]  (閩南語)
[00:03:20.000 --> 00:03:30.000]  (閩南語)
[00:03:30.000 --> 00:03:40.000]  (閩南語)
[00:03:40.000 --> 00:03:50.000]  (閩南語)
[00:03:50.000 --> 00:04:00.000]  (閩南語)
[00:04:00.000 --> 00:04:10.000]  (閩南語)
[00:04:10.000 --> 00:04:20.000]  (閩南語)
[00:04:20.000 --> 00:04:30.000]  (閩南語)
[00:04:30.000 --> 00:04:40.000]  (閩南語)
[00:04:40.000 --> 00:04:50.000]  (閩南語)
[00:04:50.000 --> 00:05:00.000]  (閩南語)
[00:05:00.000 --> 00:05:10.000]  (閩南語)
[00:05:10.000 --> 00:05:20.000]  (閩南語)
[00:05:20.000 --> 00:05:30.000]  (閩南語)
[00:05:30.000 --> 00:05:40.000]  (閩南語)
[00:05:40.000 --> 00:05:50.000]  (閩南語)
[00:05:50.000 --> 00:06:00.000]  (閩南語)
[00:06:00.000 --> 00:06:10.000]  (閩南語)
[00:06:10.000 --> 00:06:20.000]  (閩南語)
[00:06:20.000 --> 00:06:30.000]  (閩南語)
[00:06:30.000 --> 00:06:40.000]  (閩南語)
[00:06:40.000 --> 00:06:50.000]  (閩南語)
[00:06:50.000 --> 00:07:00.000]  (閩南語)
[00:07:00.000 --> 00:07:10.000]  (閩南語)
[00:07:10.000 --> 00:07:20.000]  (閩南語)
[00:07:20.000 --> 00:07:30.000]  (閩南語)
[00:07:30.000 --> 00:07:40.000]  (閩南語)
[00:07:40.000 --> 00:07:50.000]  (閩南語)
[00:07:50.000 --> 00:08:00.000]  (閩南語)
[00:08:00.000 --> 00:08:10.000]  (閩南語)
[00:08:10.000 --> 00:08:20.000]  (閩南語)
[00:08:20.000 --> 00:08:30.000]  (閩南語)
[00:08:30.000 --> 00:08:40.000]  (閩南語)
[00:08:40.000 --> 00:08:50.000]  (閩南語)
[00:08:50.000 --> 00:09:00.000]  (閩南語)
[00:09:00.000 --> 00:09:10.000]  (閩南語)
[00:09:10.000 --> 00:09:20.000]  (閩南語)
[00:09:20.000 --> 00:09:30.000]  (閩南語)
[00:09:30.000 --> 00:09:40.000]  (閩南語)
[00:09:40.000 --> 00:09:50.000]  (閩南語)
[00:09:50.000 --> 00:10:00.000]  (閩南語)
[00:10:00.000 --> 00:10:10.000]  (閩南語)
[00:10:10.000 --> 00:10:20.000]  (閩南語)
[00:10:20.000 --> 00:10:30.000]  (閩南語)
[00:10:30.000 --> 00:10:40.000]  (閩南語)
