
[00:00:00.000 --> 00:00:05.680]  各位好,我們今天來到第四集,我們繼續聖地望上行
[00:00:05.680 --> 00:00:08.960]  上一次講到耶穌在施洗約翰那裡受洗
[00:00:08.960 --> 00:00:12.000]  然後四十天在猶大曠野受試探
[00:00:12.000 --> 00:00:14.560]  那時候他還沒有正式公開傳道
[00:00:14.560 --> 00:00:16.800]  馬可方第一章十四節怎麼說呢?
[00:00:16.800 --> 00:00:19.200]  他說施洗約翰被捕以後
[00:00:19.200 --> 00:00:23.760]  耶穌才去到加利利宣講神的福音
[00:00:23.760 --> 00:00:27.520]  他說時而後近,神的國近了,應當悔改來相信福音
[00:00:27.520 --> 00:00:31.120]  所以是講到施洗約翰被逮捕之後
[00:00:31.120 --> 00:00:34.560]  為什麼呢?我們要交代一下那個證字
[00:00:34.560 --> 00:00:37.520]  我們如果再重溝一下時間表的話
[00:00:37.520 --> 00:00:41.440]  我們知道耶穌一直在猶太地跟約翰同工
[00:00:41.440 --> 00:00:44.960]  不久之後施洗約翰就北上到薩馬利亞省附近
[00:00:44.960 --> 00:00:49.280]  一個叫做靠近撒冷的艾亂斯西
[00:00:49.280 --> 00:00:52.160]  約翰福音第三章二十三節這樣說
[00:00:52.160 --> 00:00:56.080]  然後約翰又將他的工作擴展到加利利省
[00:00:56.080 --> 00:00:59.600]  所以一步一步北上到加利利的時候就發生了一些事情
[00:00:59.600 --> 00:01:03.920]  因為那裡施洗約翰譴責希律王安提柏王
[00:01:03.920 --> 00:01:05.280]  發生什麼事情呢?
[00:01:05.280 --> 00:01:08.560]  本來安提柏王Helotantipus
[00:01:08.560 --> 00:01:13.360]  他的原配就是阿拉伯的一個民族叫做Neptunian的公主
[00:01:13.360 --> 00:01:15.440]  他居然去幽妻
[00:01:15.440 --> 00:01:19.200]  然後另娶同父異母的兄弟
[00:01:19.200 --> 00:01:20.800]  肥力的太太
[00:01:20.800 --> 00:01:23.120]  太太的名字叫希羅底
[00:01:23.120 --> 00:01:24.800]  娶了他為妻
[00:01:24.800 --> 00:01:28.960]  可想而知這件事情是多麼讓猶太人不滿
[00:01:28.960 --> 00:01:31.440]  一來猶太人很注重婚姻
[00:01:31.440 --> 00:01:38.800]  另外這個舉動是犯了猶太人認為不能夠犯的家族的亂倫
[00:01:38.800 --> 00:01:41.520]  所以施洗約翰就公開去指責
[00:01:41.520 --> 00:01:46.320]  指責的本質不單單說他是淫蕩或者不道德
[00:01:46.320 --> 00:01:50.480]  而是說希律安提柏王是不配做猶太人的王
[00:01:50.480 --> 00:01:52.640]  這個說法就很不得了
[00:01:52.640 --> 00:01:54.960]  因為施洗約翰作為一個民間的領袖
[00:01:54.960 --> 00:01:57.760]  他們想顛覆王權
[00:01:57.760 --> 00:02:00.720]  指責希律王或者去詆毀他
[00:02:00.720 --> 00:02:03.280]  當然不單是王很憎恨他
[00:02:03.280 --> 00:02:07.920]  皇后希羅底也視他為眼中釘
[00:02:07.920 --> 00:02:11.920]  因為約翰在民間的勢力越來越大
[00:02:11.920 --> 00:02:14.160]  所以就將他收監
[00:02:14.160 --> 00:02:16.160]  但怎知道到某一天
[00:02:16.160 --> 00:02:18.960]  就是希律王生日他舉辦了一個生日會
[00:02:18.960 --> 00:02:20.400]  福音書怎麼記載呢
[00:02:20.400 --> 00:02:23.040]  公主薩諾米在眾人面前跳舞
[00:02:23.040 --> 00:02:26.000]  可能她跳得很好或者艷麗非常風采
[00:02:26.000 --> 00:02:28.400]  大得王的歡心
[00:02:28.400 --> 00:02:31.680]  開心之際希律王竟然發誓
[00:02:31.680 --> 00:02:35.360]  說這個公主求什麼他就給什麼她
[00:02:35.360 --> 00:02:40.800]  皇后就去叫女兒施洗約翰的人頭
[00:02:40.800 --> 00:02:42.320]  最毒就是婦人心
[00:02:42.320 --> 00:02:45.040]  馬達福音第十四章有這樣記載
[00:02:45.040 --> 00:02:48.240]  希律王最後放棄
[00:02:48.240 --> 00:02:51.440]  打發人在監獄裡斬了約翰
[00:02:51.440 --> 00:02:54.560]  將約翰的頭放在盤子上拿給女兒
[00:02:54.560 --> 00:02:58.320]  女兒就拿給皇后母親
[00:02:58.320 --> 00:03:02.400]  施洗約翰的門徒就將屍首埋葬
[00:03:02.400 --> 00:03:04.880]  然後就告訴耶穌
[00:03:04.880 --> 00:03:08.320]  約翰被處斬這件事不單單是聖經有提到
[00:03:08.320 --> 00:03:12.560]  第一世紀的猶太歷史學家約瑟夫也有提過這件事
[00:03:12.560 --> 00:03:18.000]  他說約翰被處斬的地方是在約旦河東的希律王王宮堡壘
[00:03:18.000 --> 00:03:22.240]  那個地方叫做馬基魯
[00:03:22.240 --> 00:03:26.720]  這個王宮位於今天的約旦王國
[00:03:26.720 --> 00:03:30.000]  在死海東邊的一個山頭上
[00:03:30.000 --> 00:03:33.760]  今天你去的那個地方你也可以看到馬基魯的遺跡
[00:03:33.760 --> 00:03:50.560]  (音樂)
[00:03:50.560 --> 00:03:55.280]  耶穌回到加里尼接續施洗約翰的運動
[00:03:55.280 --> 00:03:56.720]  既然他已經下監
[00:03:56.720 --> 00:04:00.080]  那群眾就需要有一位領袖出來
[00:04:00.080 --> 00:04:01.920]  所以耶穌就上了去
