
[00:00:00.000 --> 00:00:05.880]  我們繼續講洪水有關的背景
[00:00:05.880 --> 00:00:09.980]  上一次我們有少少的基礎
[00:00:09.980 --> 00:00:12.540]  我們講到一些聖經考古學的東西
[00:00:12.540 --> 00:00:14.340]  為什麼需要講這些東西呢?
[00:00:14.340 --> 00:00:15.860]  為什麼不直接講經文呢?
[00:00:15.860 --> 00:00:18.180]  因為背後有些背景
[00:00:18.180 --> 00:00:20.220]  或者有些工具我們需要了解的
[00:00:20.220 --> 00:00:24.580]  所以特別講到經文和歷史之間的關係
[00:00:24.580 --> 00:00:27.140]  我們上次提過考古學
[00:00:27.140 --> 00:00:31.240]  可以幫助我們最重要的是背景
[00:00:31.240 --> 00:00:35.340]  有時候確認東西未必可以確定很多
[00:00:35.340 --> 00:00:37.120]  確定到有些歷史性
[00:00:37.120 --> 00:00:39.680]  但是裡面有很多屬靈的真理
[00:00:39.680 --> 00:00:42.240]  神學真理都不能夠用歷史方法
[00:00:42.240 --> 00:00:45.580]  科學方法、考古方法來證明出來
[00:00:45.580 --> 00:00:47.620]  但是有時候
[00:00:47.620 --> 00:00:51.980]  一些考古學的發現或者一些證據
[00:00:51.980 --> 00:00:53.760]  等我們羅列了之後
[00:00:53.760 --> 00:00:55.560]  其實可以修正到我們
[00:00:55.560 --> 00:00:59.140]  幫助我們更加清楚去看聖經
[00:00:59.140 --> 00:01:01.960]  所以我們一直在講
[00:01:01.960 --> 00:01:03.760]  我基於這本書開始
[00:01:03.760 --> 00:01:06.060]  這本書就是《Lost World of the Flood》
[00:01:06.060 --> 00:01:08.620]  我相信現在只有英文
[00:01:08.620 --> 00:01:12.200]  但是它的分段很簡單
[00:01:12.200 --> 00:01:15.280]  每一個的提案、每一個命題
[00:01:15.280 --> 00:01:17.580]  講到創世紀
[00:01:17.580 --> 00:01:19.620]  特別是講到洪水的故事
[00:01:19.620 --> 00:01:23.200]  我們可能從小到大聽了這個故事的時候
[00:01:23.200 --> 00:01:25.000]  或者一些小孩的聖經
[00:01:25.000 --> 00:01:28.580]  而我們覺得我們有一個印象
[00:01:28.580 --> 00:01:30.640]  但是我們要知道
[00:01:30.640 --> 00:01:32.420]  由我們第一章開始創世紀
[00:01:32.420 --> 00:01:37.300]  我們就說聖經是古代近東的文獻
[00:01:37.300 --> 00:01:39.340]  當然有人說
[00:01:39.340 --> 00:01:41.640]  我不單單是古代文獻
[00:01:41.640 --> 00:01:43.440]  不單單是古代近東的文獻
[00:01:43.440 --> 00:01:45.480]  當然啦,這個是上帝啟示
[00:01:45.480 --> 00:01:50.340]  但是你要知道上帝啟示是藉著什麼去啟示出來的
[00:01:50.340 --> 00:01:53.420]  就是藉著當時的人寫作的手法
